date,year,vix,ivr,ivp,iv_signal,trend,regime,strategy_key_actual,state
2000-01-07,2000,21.72,27.6,16.3,LOW,BULLISH,NORMAL,,a_double_blocked
2000-01-10,2000,21.71,27.6,16.3,LOW,BULLISH,NORMAL,,a_double_blocked
2000-01-13,2000,21.71,29.5,16.3,LOW,BULLISH,NORMAL,,a_double_blocked
2000-01-14,2000,19.66,15.4,2.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-01-18,2000,21.5,28.1,14.7,LOW,BULLISH,NORMAL,,a_double_blocked
2000-01-19,2000,21.72,29.6,17.9,LOW,BULLISH,NORMAL,,a_double_blocked
2000-01-20,2000,21.75,29.8,19.1,LOW,BULLISH,NORMAL,,a_double_blocked
2000-01-21,2000,20.82,24.4,8.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-02-08,2000,21.25,28.9,12.7,LOW,BULLISH,NORMAL,,a_double_blocked
2000-03-16,2000,20.77,29.2,9.2,LOW,BULLISH,NORMAL,,a_double_blocked
2000-03-21,2000,21.7,37.3,20.3,LOW,BULLISH,NORMAL,,a_double_blocked
2000-03-22,2000,21.49,35.5,17.1,LOW,BULLISH,NORMAL,,a_double_blocked
2000-06-02,2000,21.48,25.3,16.7,LOW,BULLISH,NORMAL,,a_double_blocked
2000-06-13,2000,21.67,26.4,20.7,LOW,BULLISH,NORMAL,,a_double_blocked
2000-06-14,2000,21.48,25.3,16.7,LOW,BULLISH,NORMAL,,a_double_blocked
2000-06-15,2000,20.68,20.3,8.4,LOW,BULLISH,NORMAL,,a_double_blocked
2000-06-16,2000,20.5,19.2,7.6,LOW,BULLISH,NORMAL,,a_double_blocked
2000-06-19,2000,20.63,20.0,8.4,LOW,BULLISH,NORMAL,,a_double_blocked
2000-06-20,2000,20.88,21.5,11.2,LOW,BULLISH,NORMAL,,a_double_blocked
2000-06-21,2000,20.61,19.9,8.4,LOW,BULLISH,NORMAL,,a_double_blocked
2000-06-28,2000,20.29,17.9,6.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-06-30,2000,19.54,13.2,2.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-03,2000,19.83,15.0,5.2,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-06,2000,20.94,21.9,11.6,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-07,2000,19.22,11.2,2.0,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-10,2000,20.33,18.1,6.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-11,2000,20.11,16.7,5.6,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-12,2000,20.03,16.2,5.2,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-13,2000,20.03,16.2,4.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-14,2000,19.32,1.7,1.6,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-17,2000,19.45,2.4,2.0,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-18,2000,19.75,4.5,3.6,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-19,2000,19.65,3.8,2.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-20,2000,18.94,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-21,2000,18.94,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2000-07-25,2000,19.39,3.1,2.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-07,2000,19.03,2.8,1.2,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-08,2000,18.79,1.1,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-14,2000,17.88,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-15,2000,17.98,0.6,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-16,2000,18.02,0.9,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-17,2000,17.48,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-18,2000,17.05,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-21,2000,17.35,1.8,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-22,2000,17.47,2.6,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-23,2000,17.38,2.0,0.8,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-24,2000,17.04,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-25,2000,16.53,0.0,0.0,LOW,BULLISH,NORMAL,,a_double_blocked
2000-08-28,2000,16.54,0.1,0.4,LOW,BULLISH,NORMAL,,a_double_blocked
