entry_date,exit_date,hold_days,entry_spx,exit_spx,entry_vix,exit_vix,long_strike,short_strike,long_entry_prem,short_entry_prem,long_exit_prem,short_exit_prem,entry_debit_per_share,entry_debit_usd,pnl_per_share,pnl_usd,period_roe,ivp_at_entry,ivr_at_entry
2003-04-17,2003-05-12,25,893.58,945.11,21.5,19.52,855,935,64.53,12.77,98.88,23.77,51.76,5176.5,23.35,2334.75,0.451,9.2,13.9
2003-05-13,2003-06-06,24,942.3,987.76,19.91,21.25,905,985,63.26,11.9,95.11,22.54,51.36,5135.92,21.21,2120.88,0.413,4.0,8.1
2003-06-10,2003-07-07,27,984.84,1004.42,20.64,20.06,945,1030,67.91,13.17,74.85,8.62,54.74,5473.9,11.49,1148.82,0.2099,6.4,8.4
2003-07-08,2003-08-01,24,1007.84,980.15,19.48,20.75,970,1050,65.56,13.17,43.05,2.1,52.39,5238.57,-11.44,-1144.38,-0.2185,4.0,4.0
2003-08-18,2003-09-11,24,999.74,1016.42,18.18,19.25,965,1040,60.95,11.91,68.92,10.11,49.05,4904.82,9.76,976.05,0.199,0.8,1.7
2003-09-12,2003-10-06,24,1018.63,1034.35,18.68,19.51,985,1060,61.82,12.66,68.3,10.01,49.16,4916.2,9.12,912.34,0.1856,7.6,3.7
2003-10-07,2003-10-31,24,1039.25,1050.71,19.41,16.1,1000,1085,67.63,12.86,65.33,5.16,54.77,5476.96,5.41,540.79,0.0987,17.1,7.6
2003-11-03,2003-11-28,25,1059.02,1058.2,16.55,16.32,1025,1100,59.77,10.97,52.7,3.69,48.8,4879.72,0.21,21.07,0.0043,1.2,2.4
2003-12-01,2003-12-26,25,1070.12,1095.89,16.77,17.45,1035,1110,61.3,11.8,75.86,12.63,49.5,4949.88,13.73,1373.07,0.2774,4.8,3.6
2003-12-29,2004-01-22,24,1109.48,1143.94,17.09,14.71,1075,1150,62.87,12.9,80.65,14.37,49.97,4996.58,16.32,1631.54,0.3265,12.4,7.9
2004-01-27,2004-02-20,24,1144.05,1144.11,15.35,16.04,1110,1185,60.42,11.1,55.56,4.85,49.32,4931.87,1.39,139.28,0.0282,2.4,5.1
2004-02-23,2004-03-18,24,1140.99,1122.32,16.29,18.53,1105,1185,63.45,11.5,48.49,3.02,51.94,5194.34,-6.47,-647.21,-0.1246,10.0,10.1
2004-04-02,2004-04-26,24,1141.81,1135.53,15.64,14.77,1110,1180,59.42,12.25,47.41,3.26,47.17,4717.04,-3.02,-301.56,-0.0639,9.6,8.8
2004-06-01,2004-06-25,24,1121.2,1134.43,16.3,15.19,1085,1160,62.93,12.56,65.2,7.59,50.36,5036.33,7.25,724.73,0.1439,23.1,26.3
2004-06-28,2004-07-22,24,1133.35,1096.84,16.07,15.75,1100,1175,60.99,11.69,31.31,0.67,49.3,4930.34,-18.66,-1866.31,-0.3785,25.1,23.9
2004-10-08,2004-11-01,24,1122.14,1130.51,15.05,16.27,1090,1160,57.85,11.12,60.04,7.46,46.72,4672.15,5.86,586.38,0.1255,24.3,26.0
2008-04-16,2008-05-12,26,1364.71,1403.58,20.53,17.79,1310,1425,93.51,18.7,109.97,14.73,74.81,7481.48,20.43,2042.89,0.2731,39.8,41.9
2008-05-13,2008-06-06,24,1403.04,1360.68,17.98,23.56,1355,1460,84.59,16.24,61.6,4.38,68.35,6835.03,-11.13,-1113.06,-0.1628,22.3,26.8
2008-08-28,2008-09-22,25,1300.68,1207.09,19.43,33.85,1255,1355,82.42,16.94,51.68,3.44,65.47,6547.41,-17.23,-1723.37,-0.2632,17.1,20.5
2009-10-15,2009-11-09,25,1096.56,1093.08,21.72,23.15,1050,1150,79.08,15.24,71.11,6.1,63.84,6384.04,1.18,117.65,0.0184,0.0,0.0
2009-11-18,2009-12-14,26,1109.8,1114.11,21.63,21.15,1065,1165,78.34,15.0,72.51,5.66,63.34,6333.79,3.52,351.92,0.0556,1.6,1.6
2009-12-15,2010-01-08,24,1107.93,1144.98,21.49,18.13,1065,1160,76.77,15.62,93.58,14.31,61.16,6115.83,18.12,1811.66,0.2962,3.6,2.8
2010-01-11,2010-02-04,24,1146.98,1063.11,17.55,26.08,1110,1190,66.79,13.67,30.63,1.08,53.12,5311.74,-23.57,-2357.11,-0.4438,0.0,0.0
2010-03-02,2010-03-26,24,1118.31,1166.59,19.06,17.77,1080,1165,69.51,14.06,99.25,21.88,55.45,5545.24,21.91,2191.41,0.3952,3.2,4.5
2010-03-29,2010-04-22,24,1173.22,1208.67,17.59,16.47,1135,1220,68.65,13.26,87.93,15.05,55.4,5539.86,17.47,1747.24,0.3154,4.0,4.2
2010-04-23,2010-05-17,24,1217.28,1136.94,16.62,30.84,1180,1265,67.63,12.55,44.28,3.15,55.08,5508.1,-13.95,-1394.69,-0.2532,4.4,4.6
2010-08-06,2010-08-30,24,1121.64,1048.92,21.74,27.21,1075,1175,80.28,15.97,39.86,1.3,64.31,6430.64,-25.75,-2574.98,-0.4004,35.5,20.4
2010-09-03,2010-09-27,24,1104.51,1142.16,21.31,22.54,1060,1155,77.31,15.72,100.57,19.88,61.59,6159.1,19.1,1909.62,0.31,30.7,19.0
2010-10-05,2010-10-29,24,1160.75,1183.26,21.76,21.2,1115,1215,81.48,16.83,89.41,12.44,64.65,6464.86,12.32,1231.74,0.1905,38.2,20.5
2010-11-02,2010-11-26,24,1193.57,1189.4,21.57,22.22,1145,1250,84.39,16.85,74.5,6.6,67.54,6753.84,0.36,35.55,0.0053,39.8,19.8
2010-12-02,2010-12-27,25,1221.53,1257.54,19.39,17.67,1175,1275,79.71,15.17,97.57,14.26,64.54,6454.38,18.77,1876.62,0.2908,27.1,12.6
2010-12-28,2011-01-21,24,1258.51,1283.35,17.52,18.47,1215,1310,75.17,13.76,88.36,12.9,61.41,6141.31,14.05,1405.13,0.2288,12.0,6.8
2011-01-24,2011-02-17,24,1290.84,1340.43,17.65,16.59,1250,1340,74.87,15.33,104.95,22.92,59.54,5954.33,22.49,2249.07,0.3777,20.7,7.3
2011-02-18,2011-03-14,24,1343.01,1296.39,16.43,21.13,1300,1395,75.44,13.72,48.82,2.47,61.72,6171.96,-15.37,-1536.76,-0.249,10.0,3.2
2011-03-29,2011-04-25,27,1319.44,1335.25,18.16,15.77,1275,1375,79.47,15.01,78.39,5.84,64.45,6445.29,8.1,809.66,0.1256,28.3,8.9
2011-04-26,2011-05-20,24,1347.24,1333.27,15.62,17.43,1310,1395,69.87,13.65,56.88,4.46,56.22,5622.01,-3.8,-379.98,-0.0676,2.0,3.0
2011-05-31,2011-06-24,24,1345.2,1268.45,15.45,21.1,1305,1390,71.38,14.17,33.22,1.04,57.22,5721.77,-25.04,-2503.91,-0.4376,2.4,3.8
2011-07-01,2011-07-25,24,1339.67,1337.43,15.87,19.35,1300,1390,71.8,13.19,69.88,7.8,58.61,5860.94,3.47,346.95,0.0592,6.0,8.3
2012-01-20,2012-02-13,24,1315.38,1351.77,18.28,19.04,1270,1370,80.21,15.37,101.55,17.84,64.84,6483.72,18.87,1887.02,0.291,30.7,11.0
2012-02-14,2012-03-09,24,1350.5,1370.87,19.54,17.11,1300,1410,87.85,16.91,90.52,9.09,70.94,7093.76,10.5,1049.79,0.148,39.4,14.7
2012-03-12,2012-04-05,24,1371.09,1398.08,15.64,16.7,1330,1420,73.28,13.84,88.4,14.28,59.44,5944.3,14.67,1466.97,0.2468,3.6,3.1
2012-04-09,2012-05-03,24,1382.2,1391.57,18.81,17.56,1335,1440,85.22,16.93,81.16,7.65,68.29,6829.08,5.22,521.59,0.0764,39.4,13.5
2012-06-29,2012-07-23,24,1362.16,1350.52,17.08,18.62,1320,1415,77.05,14.95,64.43,5.17,62.1,6209.81,-2.84,-283.7,-0.0457,12.0,8.4
2012-07-26,2012-08-20,25,1360.02,1418.13,17.53,14.02,1315,1415,79.92,15.06,114.53,21.66,64.86,6485.83,28.01,2801.27,0.4319,17.9,9.7
2012-08-21,2012-09-14,24,1413.17,1465.77,15.02,14.51,1375,1460,71.23,14.2,105.17,25.02,57.03,5703.19,23.12,2312.35,0.4054,4.4,4.9
