entry,exit_days,exit_reason,entry_spx,entry_vix,exit_spx,exit_vix,short_strike,long_strike,width,credit_per_share,max_loss_per_share,pnl_per_share,pnl_usd,roe_on_max_loss,win,state_ivp,state_ivr,state_iv_signal,range_252d,year
2004-10-27,9,dte_roll,1125.4,15.72,1166.17,13.84,1105,1080,25,6.05,18.95,5.45,545.21,0.2878,True,42.6,33.6,NEUTRAL,8.83,2004
2004-10-29,10,profit_target,1130.2,16.27,1164.89,13.8,1105,1080,25,5.55,19.45,4.98,497.51,0.2558,True,55.4,39.9,NEUTRAL,8.83,2004
2004-11-01,9,dte_roll,1130.51,16.27,1162.91,13.08,1110,1080,30,7.08,22.92,6.24,624.0,0.2722,True,55.4,39.9,NEUTRAL,8.83,2004
2006-08-01,9,dte_roll,1270.92,15.05,1271.81,14.46,1245,1220,25,5.61,19.39,1.26,126.32,0.0652,True,82.9,35.3,HIGH,13.54,2006
2006-08-07,9,dte_roll,1275.77,15.23,1295.43,12.41,1250,1225,25,5.72,19.28,4.26,425.66,0.2208,True,82.9,36.6,HIGH,13.54,2006
2006-08-08,9,dte_roll,1271.48,15.23,1297.48,12.24,1250,1220,30,7.17,22.83,5.82,581.79,0.2549,True,82.5,36.6,HIGH,13.54,2006
2006-08-09,9,dte_roll,1265.95,15.2,1302.3,11.64,1240,1215,25,5.65,19.35,5.24,523.9,0.2707,True,82.1,36.4,HIGH,13.54,2006
2007-07-05,11,profit_target,1525.4,15.48,1549.52,15.59,1495,1460,35,7.83,27.17,4.74,474.0,0.1744,True,90.4,57.4,HIGH,9.74,2007
2007-07-09,9,dte_roll,1531.85,15.16,1546.17,16.0,1505,1470,35,8.26,26.74,2.96,296.34,0.1108,True,87.6,54.1,HIGH,9.74,2007
2007-07-12,11,dte_roll,1547.7,15.54,1541.57,16.81,1520,1485,35,8.39,26.61,-0.16,-15.91,-0.006,False,90.0,58.0,HIGH,9.74,2007
2007-07-13,10,dte_roll,1552.5,15.15,1541.57,16.81,1525,1490,35,8.24,26.76,-1.42,-142.35,-0.0532,False,86.1,54.0,HIGH,9.74,2007
2007-07-16,9,dte_roll,1549.52,15.59,1518.09,18.1,1520,1485,35,8.14,26.86,-5.7,-569.86,-0.2121,False,91.2,58.5,HIGH,9.74,2007
2007-07-17,9,dte_roll,1549.37,15.63,1482.66,20.74,1520,1485,35,8.18,26.82,-12.67,-1266.63,-0.4723,False,91.6,58.9,HIGH,9.74,2007
2007-07-18,9,dte_roll,1546.17,16.0,1458.95,24.17,1515,1480,35,8.08,26.92,-15.29,-1529.1,-0.568,False,93.2,62.7,HIGH,9.74,2007
2007-07-19,8,stop_loss,1553.08,15.23,1458.95,24.17,1525,1490,35,8.2,26.8,-16.42,-1641.79,-0.6125,False,87.3,54.8,HIGH,9.74,2007
2007-07-20,10,dte_roll,1534.1,16.95,1473.91,20.87,1500,1465,35,8.05,26.95,-10.8,-1079.68,-0.4006,False,96.4,72.5,HIGH,9.74,2007
2007-07-23,9,dte_roll,1541.57,16.81,1465.81,23.67,1510,1470,40,9.2,30.8,-15.09,-1508.53,-0.4897,False,96.0,71.0,HIGH,9.74,2007
2007-09-18,9,dte_roll,1519.78,20.35,1531.38,17.0,1480,1435,45,10.4,34.6,5.38,537.6,0.1554,True,85.3,50.0,HIGH,20.94,2007
2007-09-19,9,dte_roll,1529.03,20.03,1526.75,18.0,1490,1445,45,10.41,34.59,2.46,245.51,0.071,True,84.9,48.4,HIGH,20.94,2007
2007-09-20,11,profit_target,1518.75,20.45,1547.04,17.84,1480,1435,45,10.61,34.39,7.36,735.61,0.2139,True,85.3,50.4,HIGH,20.94,2007
2007-09-21,10,dte_roll,1525.75,19.0,1547.04,17.84,1490,1450,40,9.57,30.43,5.21,521.19,0.1713,True,83.7,43.5,HIGH,20.94,2007
2007-09-24,9,dte_roll,1517.73,19.37,1539.59,18.8,1480,1440,40,9.41,30.59,4.7,469.66,0.1535,True,83.7,45.3,HIGH,20.94,2007
2007-09-25,9,dte_roll,1517.21,18.6,1542.84,18.44,1480,1440,40,9.11,30.89,4.92,492.38,0.1594,True,82.1,41.6,HIGH,20.94,2007
2007-09-26,9,dte_roll,1525.42,17.63,1557.59,16.91,1490,1455,35,8.14,26.86,5.31,531.12,0.1977,True,80.1,37.0,HIGH,20.94,2007
2007-09-27,11,dte_roll,1531.38,17.0,1552.58,17.46,1500,1460,40,9.28,30.72,4.75,474.58,0.1545,True,78.5,34.0,HIGH,20.94,2007
2007-09-28,10,dte_roll,1526.75,18.0,1552.58,17.46,1490,1455,35,8.13,26.87,4.79,479.32,0.1784,True,80.1,38.7,HIGH,20.94,2007
2007-10-01,9,dte_roll,1547.04,17.84,1562.47,16.67,1510,1475,35,8.11,26.89,3.84,384.21,0.1429,True,79.7,38.0,HIGH,20.94,2007
2007-10-02,9,dte_roll,1546.63,18.49,1554.41,18.88,1510,1470,40,9.3,30.7,2.44,243.56,0.0793,True,81.3,41.1,HIGH,20.94,2007
2007-10-03,9,dte_roll,1539.59,18.8,1561.8,17.73,1505,1460,45,10.54,34.46,5.63,562.74,0.1633,True,82.5,42.6,HIGH,20.94,2007
2007-10-04,11,dte_roll,1542.84,18.44,1548.71,19.25,1505,1465,40,9.07,30.93,2.39,238.76,0.0772,True,80.5,40.8,HIGH,20.94,2007
2007-10-05,10,dte_roll,1557.59,16.91,1548.71,19.25,1525,1485,40,9.17,30.83,-1.13,-112.94,-0.0366,False,75.7,33.5,HIGH,20.94,2007
2007-10-08,9,dte_roll,1552.58,17.46,1541.24,18.54,1520,1480,40,9.44,30.56,-1.15,-114.61,-0.0375,False,77.3,36.2,HIGH,20.94,2007
2007-10-09,9,dte_roll,1565.15,16.12,1540.08,18.5,1535,1500,35,8.38,26.62,-4.23,-422.61,-0.1588,False,72.1,29.8,HIGH,20.94,2007
2007-10-10,9,dte_roll,1562.47,16.67,1500.63,22.96,1530,1495,35,8.29,26.71,-10.97,-1097.33,-0.4108,False,73.7,32.4,HIGH,20.94,2007
2007-10-11,11,dte_roll,1554.41,18.88,1506.33,21.64,1520,1475,45,10.71,34.29,-9.38,-937.57,-0.2734,False,82.5,42.9,HIGH,20.94,2007
2007-10-12,10,dte_roll,1561.8,17.73,1506.33,21.64,1525,1490,35,8.17,26.83,-9.29,-928.75,-0.3461,False,77.7,37.4,HIGH,20.94,2007
2007-10-15,9,dte_roll,1548.71,19.25,1515.88,20.8,1510,1470,40,9.38,30.62,-4.97,-497.15,-0.1623,False,83.3,44.7,HIGH,20.94,2007
2007-10-16,9,dte_roll,1538.53,20.02,1514.4,21.17,1500,1455,45,10.54,34.46,-3.37,-337.09,-0.0978,False,84.1,48.4,HIGH,20.94,2007
2007-10-17,9,dte_roll,1541.24,18.54,1535.28,19.56,1505,1465,40,9.36,30.64,-0.02,-1.73,-0.0006,False,79.7,41.3,HIGH,20.94,2007
2007-10-18,11,dte_roll,1540.08,18.5,1540.98,19.87,1505,1465,40,9.51,30.49,1.34,133.9,0.0439,True,79.3,41.1,HIGH,20.94,2007
2007-10-23,9,dte_roll,1519.59,20.41,1508.44,23.21,1480,1435,45,10.46,34.54,-1.55,-154.84,-0.0448,False,84.1,50.2,HIGH,20.94,2007
2007-10-24,9,dte_roll,1515.88,20.8,1509.65,23.01,1475,1430,45,10.43,34.57,-0.4,-40.31,-0.0117,False,85.3,52.1,HIGH,20.94,2007
2007-10-25,11,dte_roll,1514.4,21.17,1502.17,24.31,1475,1430,45,10.84,34.16,-1.38,-138.11,-0.0404,False,85.7,53.9,HIGH,20.94,2007
2007-10-26,10,dte_roll,1535.28,19.56,1502.17,24.31,1495,1455,40,9.22,30.78,-5.63,-563.45,-0.1831,False,81.3,46.2,HIGH,20.94,2007
2007-10-29,9,dte_roll,1540.98,19.87,1475.62,26.49,1500,1460,40,9.3,30.7,-11.34,-1134.28,-0.3695,False,81.7,47.7,HIGH,20.94,2007
2007-10-30,9,dte_roll,1531.02,21.07,1474.77,26.16,1490,1445,45,10.64,34.36,-10.34,-1034.44,-0.3011,False,85.3,53.4,HIGH,20.94,2007
2007-10-31,9,dte_roll,1549.38,18.53,1453.7,28.5,1515,1475,40,9.68,30.32,-16.6,-1660.18,-0.5476,False,76.1,41.3,HIGH,20.94,2007
2007-12-26,9,dte_roll,1497.66,18.66,1411.63,23.94,1465,1425,40,9.74,30.26,-16.32,-1631.77,-0.5392,False,63.7,41.4,NEUTRAL,21.2,2007
2008-04-22,9,dte_roll,1375.94,20.87,1409.34,18.88,1340,1300,40,9.54,30.46,6.58,658.05,0.2161,True,42.6,42.5,NEUTRAL,19.79,2008
2008-04-30,9,dte_roll,1385.59,20.79,1388.28,19.41,1350,1310,40,9.62,30.38,2.58,257.65,0.0848,True,41.4,41.2,NEUTRAL,19.48,2008
2010-12-01,9,dte_roll,1206.07,21.36,1240.4,17.61,1175,1135,40,9.43,30.57,7.55,754.95,0.247,True,41.4,19.1,NEUTRAL,30.21,2010
2011-01-28,10,profit_target,1276.34,20.04,1319.05,16.28,1245,1210,35,8.47,26.53,7.42,741.89,0.2796,True,41.4,15.1,NEUTRAL,30.34,2011
2011-02-25,10,dte_roll,1319.88,19.22,1310.13,20.66,1290,1250,40,9.42,30.58,-0.86,-86.15,-0.0282,False,42.6,12.4,NEUTRAL,30.34,2011
2011-03-04,10,dte_roll,1321.15,19.06,1296.39,21.13,1290,1255,35,8.35,26.65,-3.84,-383.6,-0.1439,False,40.6,11.9,NEUTRAL,30.34,2011
2011-07-25,9,dte_roll,1337.43,19.35,1260.34,23.38,1305,1270,35,8.36,26.64,-14.07,-1407.15,-0.5283,False,57.4,32.0,NEUTRAL,14.78,2011
2011-07-26,9,dte_roll,1331.94,20.23,1200.07,31.66,1300,1260,40,9.62,30.38,-22.41,-2240.82,-0.7376,False,65.7,38.0,NEUTRAL,14.78,2011
2011-12-21,9,dte_roll,1243.72,21.43,1257.6,23.4,1210,1170,40,9.28,30.72,2.76,276.2,0.0899,True,55.8,20.4,NEUTRAL,33.38,2011
