stratum,n,mean_pnl,median_pnl,worst_pnl,best_pnl,win_rate,mean_roe
narrow (252d width < 20.9),114,3.6097,5.235,-44.69,37.39,0.7105,0.0436
mid    (252d width 20.9-26.7),79,-0.3485,2.39,-56.81,26.26,0.519,-0.0036
wide   (252d width ≥ 26.7),164,6.9588,6.73,-46.64,41.3,0.6768,0.0739
year 2024,65,3.7449,4.05,-36.45,40.62,0.5538,0.0241
year 2025,49,12.0406,15.07,-46.64,41.3,0.7347,0.0933
year 2007,41,-2.8634,-1.15,-16.6,7.36,0.3902,-0.1007
year 2015,37,2.4878,4.13,-14.44,11.45,0.7027,0.0658
year 2019,27,4.4911,7.17,-14.79,14.51,0.6667,0.0878
year 2013,25,3.1396,4.78,-12.71,10.06,0.76,0.1016
year 2026,25,18.0728,24.86,-41.08,37.39,0.84,0.1253
year 2014,17,3.1241,4.62,-12.18,11.74,0.8235,0.0848
year 2016,15,5.714,5.77,-0.95,11.6,0.8,0.1469
year 2022,15,-9.4867,-16.07,-56.81,24.01,0.3333,-0.0924
ALL n=357,357,4.2724,5.21,-56.81,41.3,0.6527,0.0471
