mean_pnl_per_contract,median_pnl_per_contract,n,sortino,stratum,win_rate,worst_pnl_per_contract,year
435.0,653.0,166,,,0.7169,-2662.0,2021
155.0,222.0,152,,,0.7105,-646.0,2003
132.0,270.0,116,,,0.7672,-1335.0,2010
131.0,241.0,110,,,0.6818,-1028.0,2012
354.0,680.0,79,,,0.6835,-3501.0,2023
-23.0,-4.0,70,,,0.5,-1138.0,2011
934.0,1216.0,62,,,0.8065,-3101.0,2025
-216.0,-195.0,58,,,0.3966,-1837.0,2000
134.0,237.0,54,,,0.6296,-473.0,2004
26.0,97.0,31,,,0.5484,-743.0,2008
-16.0,,330,-0.021,narrow < 22.2,0.5545,-4828.0,
220.0,,308,0.374,mid 22.2-30.2,0.6818,-5377.0,
279.0,,384,0.549,wide ≥ 30.2,0.7031,-3397.0,
