entry,exit_days,exit_reason,entry_spx,entry_vix,exit_spx,exit_vix,short_strike,long_strike,width,credit_per_share,max_loss_per_share,pnl_per_share,pnl_usd,roe_on_max_loss,win,state_ivp,state_ivr,state_iv_signal,range_252d,year
2000-01-07,11,dte_roll,1441.47,21.72,1455.14,21.5,1400,1360,40,9.49,30.51,3.91,391.09,0.1282,True,16.3,27.6,LOW,15.56,2000
2000-01-10,9,dte_roll,1457.6,21.71,1455.9,21.72,1420,1375,45,11.02,33.98,1.37,137.15,0.0404,True,16.3,27.6,LOW,15.56,2000
2000-01-13,11,dte_roll,1449.68,21.71,1401.53,24.07,1410,1365,45,10.64,34.36,-8.44,-844.09,-0.2457,False,16.3,29.5,LOW,15.56,2000
2000-01-14,10,dte_roll,1465.15,19.66,1401.53,24.07,1430,1390,40,9.64,30.36,-11.85,-1185.2,-0.3904,False,2.8,15.4,LOW,14.53,2000
2000-01-18,9,dte_roll,1455.14,21.5,1398.56,23.54,1415,1370,45,10.5,34.5,-10.4,-1039.85,-0.3014,False,14.7,28.1,LOW,14.53,2000
2000-01-19,9,dte_roll,1455.9,21.72,1360.16,26.14,1415,1370,45,10.49,34.51,-18.37,-1837.42,-0.5325,False,17.9,29.6,LOW,14.53,2000
2000-01-20,11,dte_roll,1445.57,21.75,1394.46,24.95,1405,1360,45,10.49,34.51,-9.18,-918.09,-0.266,False,19.1,29.8,LOW,14.53,2000
2000-01-21,10,dte_roll,1441.36,20.82,1394.46,24.95,1405,1360,45,10.68,34.32,-9.05,-904.86,-0.2637,False,8.8,24.4,LOW,14.53,2000
2000-02-08,9,dte_roll,1441.72,21.25,1388.26,23.17,1405,1360,45,10.84,34.16,-10.08,-1007.83,-0.295,False,12.7,28.9,LOW,13.94,2000
2000-03-16,11,profit_target,1458.47,20.77,1523.86,24.53,1420,1375,45,10.42,34.58,7.61,761.24,0.2202,True,9.2,29.2,LOW,11.48,2000
2000-03-21,9,dte_roll,1493.87,21.7,1487.92,25.47,1455,1405,50,11.87,38.13,-1.05,-104.73,-0.0275,False,20.3,37.3,LOW,11.48,2000
2000-03-22,9,dte_roll,1500.64,21.49,1498.58,24.11,1460,1415,45,10.71,34.29,0.13,12.64,0.0037,True,17.1,35.5,LOW,11.48,2000
2000-06-02,10,dte_roll,1477.26,21.48,1446.0,22.32,1435,1390,45,10.31,34.69,-4.26,-425.83,-0.1227,False,16.7,25.3,LOW,16.07,2000
2000-06-13,9,dte_roll,1469.44,21.67,1452.18,22.0,1430,1385,45,10.79,34.21,-1.55,-155.09,-0.0453,False,20.7,26.4,LOW,16.07,2000
2000-06-14,9,dte_roll,1470.54,21.48,1441.48,22.34,1430,1385,45,10.53,34.47,-4.08,-407.92,-0.1183,False,16.7,25.3,LOW,16.07,2000
2000-06-15,11,dte_roll,1478.73,20.68,1455.31,22.45,1440,1395,45,10.47,34.53,-3.09,-308.8,-0.0894,False,8.4,20.3,LOW,16.07,2000
2000-06-16,10,dte_roll,1464.46,20.5,1455.31,22.45,1425,1385,40,9.38,30.62,-0.6,-59.89,-0.0196,False,7.6,19.2,LOW,16.07,2000
2000-06-19,9,dte_roll,1486.0,20.63,1454.82,20.29,1445,1405,40,9.34,30.66,-3.83,-382.87,-0.1249,False,8.4,20.0,LOW,16.07,2000
2000-06-20,9,dte_roll,1475.95,20.88,1442.39,19.7,1435,1395,40,9.4,30.6,-4.03,-402.72,-0.1316,False,11.2,21.5,LOW,16.07,2000
2000-06-21,9,dte_roll,1479.13,20.61,1454.6,19.54,1440,1400,40,9.56,30.44,-2.35,-234.93,-0.0772,False,8.4,19.9,LOW,16.07,2000
2000-06-28,9,dte_roll,1454.82,20.29,1478.9,19.22,1420,1375,45,10.76,34.24,5.83,583.08,0.1703,True,6.8,17.9,LOW,16.07,2000
2000-06-30,10,dte_roll,1454.6,19.54,1475.62,20.33,1420,1380,40,9.61,30.39,4.27,427.16,0.1406,True,2.8,13.2,LOW,16.07,2000
2000-07-03,9,dte_roll,1469.54,19.83,1492.92,20.03,1435,1390,45,10.66,34.34,5.08,507.73,0.1479,True,5.2,15.0,LOW,16.07,2000
2000-07-06,11,profit_target,1456.67,20.94,1510.49,19.45,1420,1375,45,10.79,34.21,8.94,894.18,0.2614,True,11.6,21.9,LOW,16.07,2000
2000-07-07,10,dte_roll,1478.9,19.22,1510.49,19.45,1445,1405,40,9.71,30.29,5.72,572.1,0.1889,True,2.0,11.2,LOW,16.07,2000
2000-07-10,9,dte_roll,1475.62,20.33,1481.96,19.65,1440,1395,45,10.78,34.22,3.08,308.41,0.0901,True,6.8,18.1,LOW,16.07,2000
2000-07-11,9,dte_roll,1480.88,20.11,1495.57,18.94,1445,1400,45,10.66,34.34,4.62,462.34,0.1346,True,5.6,16.7,LOW,16.07,2000
2000-07-12,9,dte_roll,1492.92,20.03,1480.19,18.94,1455,1415,40,9.55,30.45,-0.14,-14.26,-0.0047,False,5.2,16.2,LOW,16.07,2000
2000-07-13,11,dte_roll,1495.84,20.03,1464.29,19.92,1460,1415,45,10.72,34.28,-4.44,-444.16,-0.1296,False,4.8,16.2,LOW,16.07,2000
2000-07-14,10,dte_roll,1509.98,19.32,1464.29,19.92,1475,1430,45,10.58,34.42,-8.47,-846.56,-0.2459,False,1.6,1.7,LOW,16.07,2000
2000-07-17,9,dte_roll,1510.49,19.45,1452.42,19.67,1475,1430,45,10.56,34.44,-11.5,-1149.92,-0.3339,False,2.0,2.4,LOW,14.42,2000
2000-07-18,9,dte_roll,1493.74,19.75,1449.62,19.6,1455,1415,40,9.3,30.7,-6.94,-693.89,-0.2261,False,3.6,4.5,LOW,14.38,2000
2000-07-19,9,dte_roll,1481.96,19.65,1419.89,20.84,1445,1405,40,9.46,30.54,-11.33,-1132.77,-0.3709,False,2.8,3.8,LOW,14.38,2000
2000-07-20,11,dte_roll,1495.57,18.94,1430.83,20.74,1460,1420,40,9.4,30.6,-12.38,-1237.94,-0.4046,False,0.0,0.0,LOW,14.38,2000
2000-07-21,10,dte_roll,1480.19,18.94,1430.83,20.74,1445,1405,40,9.38,30.62,-8.97,-896.63,-0.2928,False,0.0,0.0,LOW,14.55,2000
2000-07-25,9,dte_roll,1474.47,19.39,1452.56,19.99,1440,1400,40,9.67,30.33,-2.82,-281.65,-0.0929,False,2.8,3.1,LOW,14.55,2000
2000-08-07,9,dte_roll,1479.32,19.03,1479.85,18.02,1445,1405,40,9.55,30.45,2.07,206.84,0.0679,True,1.2,2.8,LOW,14.87,2000
2000-08-08,9,dte_roll,1482.8,18.79,1496.07,17.48,1450,1410,40,9.7,30.3,4.18,417.8,0.1379,True,0.4,1.1,LOW,14.87,2000
2000-08-14,9,dte_roll,1491.56,17.88,1505.97,17.38,1460,1420,40,9.49,30.51,3.95,395.31,0.1296,True,0.0,0.0,LOW,14.94,2000
2000-08-15,9,dte_roll,1484.43,17.98,1508.31,17.04,1450,1415,35,8.24,26.76,4.71,471.14,0.1761,True,0.4,0.6,LOW,15.61,2000
2000-08-16,9,dte_roll,1479.85,18.02,1506.45,16.53,1445,1410,35,8.18,26.82,5.2,520.03,0.1939,True,0.8,0.9,LOW,15.61,2000
2000-08-17,11,dte_roll,1496.07,17.48,1514.09,16.54,1465,1425,40,9.39,30.61,5.12,512.3,0.1674,True,0.0,0.0,LOW,15.61,2000
2000-08-18,10,dte_roll,1491.72,17.05,1514.09,16.54,1460,1425,35,8.25,26.75,4.65,464.8,0.1737,True,0.0,0.0,LOW,16.01,2000
2000-08-21,9,dte_roll,1499.48,17.35,1502.59,17.69,1465,1430,35,8.02,26.98,1.57,157.27,0.0583,True,0.4,1.8,LOW,16.44,2000
2000-08-22,9,dte_roll,1498.13,17.47,1517.68,16.84,1465,1430,35,8.26,26.74,4.16,416.38,0.1557,True,0.8,2.6,LOW,16.44,2000
2000-08-23,9,dte_roll,1505.97,17.38,1520.77,17.53,1475,1435,40,9.41,30.59,3.67,366.84,0.1199,True,0.8,2.0,LOW,16.44,2000
2000-08-24,12,dte_roll,1508.31,17.04,1507.08,19.82,1475,1440,35,8.09,26.91,0.39,38.64,0.0144,True,0.0,0.0,LOW,16.44,2000
2000-08-25,11,dte_roll,1506.45,16.53,1507.08,19.82,1475,1440,35,8.11,26.89,0.21,21.22,0.0079,True,0.0,0.0,LOW,16.45,2000
2000-08-28,9,dte_roll,1514.09,16.54,1492.25,20.79,1485,1445,40,9.32,30.68,-4.67,-467.48,-0.1524,False,0.4,0.1,LOW,16.96,2000
2000-08-29,9,dte_roll,1509.84,16.89,1502.51,19.42,1480,1440,40,9.36,30.64,-1.18,-118.45,-0.0387,False,0.8,2.1,LOW,16.96,2000
2000-08-30,9,dte_roll,1502.59,17.69,1494.5,18.46,1470,1430,40,9.29,30.71,-0.39,-39.0,-0.0127,False,3.6,6.8,LOW,16.96,2000
2000-08-31,11,dte_roll,1517.68,16.84,1489.26,18.4,1485,1450,35,8.13,26.87,-4.27,-427.45,-0.1591,False,0.8,1.8,LOW,16.96,2000
2000-09-01,10,dte_roll,1520.77,17.53,1489.26,18.4,1485,1450,35,8.02,26.98,-4.48,-448.24,-0.1661,False,4.0,5.9,LOW,16.96,2000
2000-09-05,9,dte_roll,1507.08,19.82,1480.87,18.26,1470,1425,45,10.47,34.53,-2.8,-279.51,-0.081,False,15.1,19.4,LOW,16.96,2000
2000-09-06,9,dte_roll,1492.25,20.79,1465.81,18.52,1455,1410,45,10.85,34.15,-2.48,-247.59,-0.0725,False,24.3,25.1,LOW,16.96,2000
2000-09-07,11,dte_roll,1502.51,19.42,1444.51,20.25,1465,1425,40,9.38,30.62,-10.38,-1038.04,-0.339,False,11.6,17.0,LOW,16.96,2000
2000-09-08,10,dte_roll,1494.5,18.46,1444.51,20.25,1460,1420,40,9.33,30.67,-9.27,-927.42,-0.3024,False,6.0,11.4,LOW,16.96,2000
2000-09-11,9,dte_roll,1489.26,18.4,1451.34,19.93,1455,1415,40,9.31,30.69,-6.63,-662.96,-0.216,False,6.0,11.0,LOW,16.96,2000
2001-01-23,9,dte_roll,1360.4,21.57,1373.47,21.66,1325,1280,45,10.66,34.34,3.74,374.01,0.1089,True,32.7,29.7,LOW,16.96,2001
2001-02-01,11,dte_roll,1373.47,21.66,1330.31,21.92,1335,1295,40,9.49,30.51,-6.64,-664.35,-0.2178,False,33.5,30.2,LOW,16.96,2001
2001-02-02,10,dte_roll,1349.47,21.95,1330.31,21.92,1310,1270,40,9.31,30.69,-1.56,-155.84,-0.0508,False,36.3,32.0,LOW,16.96,2001
2001-02-06,9,dte_roll,1352.26,21.98,1326.61,20.27,1315,1275,40,9.68,30.32,-2.52,-252.14,-0.0831,False,36.3,32.1,LOW,16.96,2001
2001-05-16,9,dte_roll,1284.99,21.89,1277.89,20.6,1250,1210,40,9.55,30.45,0.85,85.1,0.028,True,34.3,29.5,LOW,18.19,2001
2001-05-17,12,dte_roll,1288.49,21.47,1267.93,22.14,1255,1215,40,9.64,30.36,-2.13,-213.28,-0.0702,False,29.5,27.2,LOW,18.19,2001
2001-05-18,11,dte_roll,1291.96,21.23,1267.93,22.14,1255,1220,35,8.21,26.79,-2.71,-271.28,-0.1012,False,27.9,25.8,LOW,18.19,2001
