entry,is_down,baseline_pnl,bracket_pnl,delta_pnl
2003-07-17,False,3.59,3.59,0.0
2003-08-26,False,4.32,4.32,0.0
2003-09-03,False,-0.03,-0.03,0.0
2003-09-11,False,1.95,1.95,0.0
2003-09-15,False,-0.47,-0.47,0.0
2003-10-08,False,2.62,2.62,0.0
2004-01-12,False,5.0,5.0,0.0
2004-06-28,True,-1.7,-6.89,-5.19
2004-10-12,True,-1.86,-7.03,-5.17
2007-10-30,True,-10.34,-17.37,-7.03
2010-11-17,False,2.69,2.69,0.0
2010-11-29,False,7.04,7.04,0.0
2010-12-01,False,7.55,7.55,0.0
2011-01-20,False,1.65,1.65,0.0
2011-07-21,True,-11.23,-16.82,-5.59
2011-07-22,True,-11.38,-16.63,-5.25
2012-04-09,False,1.8,1.8,0.0
2012-04-17,False,4.2,4.2,0.0
2012-08-01,False,7.67,7.67,0.0
2012-08-30,False,6.1,6.1,0.0
2012-08-31,False,4.99,4.99,0.0
2012-10-01,False,-0.9,-0.9,0.0
2012-12-12,False,0.51,0.51,0.0
2015-02-11,False,8.82,8.82,0.0
2018-05-29,False,14.48,14.48,0.0
2019-06-18,False,2.76,2.76,0.0
2019-06-24,False,11.38,11.38,0.0
2019-06-28,False,7.97,7.97,0.0
2025-09-22,False,7.83,7.83,0.0
2025-09-24,False,15.51,15.51,0.0
