entry_date,exit_date,hold_days,strike,entry_spx,exit_spx,entry_vix,exit_vix,entry_debit_usd,pnl_usd,period_roe
2003-07-21,2003-08-14,24,980,978.8,990.51,19.78,18.47,1334.1,220.3,0.1651
2003-08-15,2003-09-08,24,990,990.67,1031.64,18.27,18.26,1266.59,79.35,0.0626
2003-09-24,2003-10-20,26,1010,1009.38,1044.68,21.22,17.04,1457.99,-91.07,-0.0625
2003-11-18,2003-12-12,24,1035,1034.15,1074.14,19.11,16.41,1370.62,-76.59,-0.0559
2004-03-09,2004-04-02,24,1140,1140.58,1141.81,16.6,15.64,1351.23,226.64,0.1677
2004-04-07,2004-05-03,26,1140,1140.53,1117.49,15.76,16.62,1297.44,242.98,0.1873
2004-05-25,2004-06-18,24,1115,1113.05,1135.02,15.96,14.99,1276.96,173.41,0.1358
2004-07-06,2004-07-30,24,1115,1116.21,1101.72,16.25,15.32,1300.68,146.12,0.1123
2004-08-30,2004-09-23,24,1100,1099.15,1108.36,15.44,14.8,1229.79,226.35,0.1841
2004-10-15,2004-11-08,24,1110,1108.2,1164.89,15.04,13.8,1214.17,-202.23,-0.1666
2008-05-23,2008-06-16,24,1375,1375.93,1360.14,19.55,20.95,1858.2,513.06,0.2761
2008-08-06,2008-09-02,27,1290,1289.19,1277.58,20.23,21.99,1790.15,628.92,0.3513
2010-02-02,2010-02-26,24,1105,1103.32,1104.49,21.48,19.5,1609.64,224.72,0.1396
2010-03-01,2010-03-25,24,1115,1115.71,1165.73,19.26,18.4,1488.56,0.77,0.0005
2010-11-23,2010-12-17,24,1180,1180.73,1243.91,20.63,16.11,1666.37,-427.4,-0.2565
2011-03-23,2011-04-18,26,1300,1297.54,1305.14,19.17,16.96,1723.43,249.02,0.1445
2011-04-19,2011-05-13,24,1315,1312.62,1337.77,15.83,17.07,1496.23,424.07,0.2834
2011-05-16,2011-06-09,24,1330,1329.47,1289.0,18.24,17.77,1697.08,13.81,0.0081
2011-06-29,2011-07-25,26,1305,1307.41,1337.43,17.27,19.35,1598.37,519.89,0.3253
2012-04-18,2012-05-14,26,1385,1385.14,1338.35,18.64,21.87,1799.56,434.02,0.2412
2012-06-18,2012-07-12,24,1345,1344.78,1334.76,18.32,18.33,1722.8,360.34,0.2092
2012-07-25,2012-08-20,26,1340,1337.89,1418.13,19.34,14.02,1790.1,-674.63,-0.3769
2012-10-10,2012-11-05,26,1435,1432.56,1417.26,16.29,18.42,1670.21,570.96,0.3418
2012-11-29,2012-12-24,25,1415,1415.95,1426.66,15.06,17.84,1555.41,654.77,0.421
2016-05-13,2016-06-06,24,2045,2046.61,2109.41,15.04,13.65,2246.01,-19.46,-0.0087
2016-07-05,2016-07-29,24,2090,2088.55,2173.6,15.58,11.87,2353.33,-562.81,-0.2392
2021-03-24,2021-04-19,26,3890,3889.14,4163.26,21.2,17.29,5613.46,-1849.16,-0.3294
2021-09-23,2021-10-18,25,4450,4448.98,4486.46,18.63,16.31,5777.14,670.68,0.1161
2022-12-21,2023-01-17,27,3880,3878.44,3990.97,20.07,19.36,5350.76,900.23,0.1682
2023-01-18,2023-02-13,26,3930,3928.86,4137.29,20.34,20.34,5480.22,152.09,0.0278
2023-02-23,2023-03-20,25,4010,4012.32,3951.57,21.14,24.15,5777.86,2087.96,0.3614
2023-03-21,2023-04-14,24,4005,4002.87,4137.64,21.38,17.07,5818.1,-416.72,-0.0716
2023-05-04,2023-05-30,26,4060,4061.22,4205.52,20.09,17.46,5608.0,-33.05,-0.0059
2023-08-15,2023-09-08,24,4440,4437.86,4457.49,16.46,13.84,5220.46,357.62,0.0685
2023-11-02,2023-11-27,25,4320,4317.78,4550.43,15.66,12.69,4885.12,-1504.39,-0.308
