date,vix,atm_iv,d30_iv,d15_iv,d30_off_vs_vix,d15_off_vs_vix,atm_off_vs_vix
2026-05-29,15.32,11.40,13.35,15.68,-1.97,0.36,-3.92
2026-06-01,16.05,11.83,14.02,17.04,-2.03,0.99,-4.22
2026-06-02,15.77,11.72,13.88,16.68,-1.89,0.91,-4.05
2026-06-03,16.06,12.14,14.50,17.52,-1.56,1.46,-3.92
2026-06-04,15.40,11.38,13.63,16.30,-1.77,0.90,-4.02
2026-06-05,21.51,15.72,18.85,23.17,-2.66,1.66,-5.79
2026-06-08,18.92,14.18,16.96,20.12,-1.96,1.20,-4.74
2026-06-09,19.87,14.79,17.78,21.09,-2.09,1.22,-5.08
2026-06-10,22.22,16.69,19.65,23.24,-2.57,1.02,-5.53
2026-06-11,19.44,14.97,17.21,20.33,-2.23,0.89,-4.47
2026-06-12,17.68,13.44,15.71,18.43,-1.97,0.75,-4.24
2026-06-15,16.20,12.00,14.11,16.93,-2.09,0.73,-4.20
2026-06-16,16.41,12.28,14.71,17.29,-1.70,0.88,-4.13
2026-06-17,18.44,13.78,16.32,19.65,-2.12,1.21,-4.66
2026-06-18,16.40,12.13,14.62,17.45,-1.78,1.05,-4.27
2026-06-22,17.28,13.06,15.56,18.78,-1.72,1.50,-4.22
2026-06-23,19.49,14.79,17.63,21.11,-1.86,1.62,-4.70
2026-06-24,18.63,13.95,16.57,19.84,-2.06,1.21,-4.68
2026-06-25,18.89,14.28,16.92,20.32,-1.97,1.43,-4.61
2026-06-26,18.41,14.17,16.63,19.47,-1.78,1.06,-4.24
2026-06-30,16.45,11.93,14.46,16.78,-1.99,0.33,-4.52
2026-07-01,16.59,12.14,14.23,17.06,-2.36,0.47,-4.45
2026-07-02,16.15,11.42,14.35,16.40,-1.80,0.25,-4.73
