signal,stratum,mean_diff_bp_fwd1,mean_diff_bp_fwd21,mean_diff_bp_fwd31,mean_diff_bp_fwd5,p_fwd1,p_fwd21,p_fwd31,p_fwd5,survives_at
F10_spyvol_hi,A_all,0.7375,1.7723,12.3720,0.3370,0.8251,0.9070,0.5522,0.9760,
F10_spyvol_hi,B_norm_bull,9.3757,35.8072,89.6490,4.5392,0.0455,0.2339,0.0235,0.7126,
F1_adx25,A_all,3.6410,55.4014,73.6280,14.8212,0.0405,0.0640,0.0590,0.0685,
F1_adx25,B_norm_bull,2.7058,47.0067,9.6120,17.0508,0.3443,0.2749,0.8751,0.1469,
F1_donchian55,A_all,-4.0435,-51.6890,-45.4180,-18.9602,0.3598,0.1339,0.3443,0.1339,
F1_donchian55,B_norm_bull,-2.2020,-22.3235,-4.6550,-11.6833,0.7271,0.6767,0.9470,0.5047,
F1_macd_pos,A_all,-0.2793,-2.6616,-14.1150,-3.3464,0.8396,0.8426,0.3848,0.5357,
F1_macd_pos,B_norm_bull,1.5004,-1.8591,-6.6930,0.0619,0.4363,0.9205,0.8041,0.9910,
F1_sma10_20,A_all,-1.1243,-11.9466,-18.7426,-3.8792,0.2589,0.3983,0.2774,0.3938,
F1_sma10_20,B_norm_bull,0.3376,7.7888,10.6974,2.5440,0.8256,0.7111,0.7321,0.6837,
F1_sma200,A_all,0.0375,13.2110,21.4830,2.4187,0.9625,0.4818,0.4128,0.5987,
F1_sma200,B_norm_bull,0.4814,20.8425,32.0530,1.6381,0.7461,0.4148,0.3658,0.7996,
F1_sma20_50,A_all,-0.6665,-17.0127,-17.3817,-4.1156,0.5122,0.3058,0.4608,0.3768,
F1_sma20_50,B_norm_bull,-0.9462,-3.2630,4.1738,-3.6582,0.5247,0.8901,0.8955,0.5597,
F1_sma50_200,A_all,0.8381,18.1084,25.8040,3.9871,0.3578,0.3383,0.3398,0.4068,
F1_sma50_200,B_norm_bull,-0.1265,10.9034,24.4740,-2.2433,0.9315,0.6707,0.5052,0.7356,
F1_sma5_10,A_all,-3.3180,-7.0101,-14.9242,-6.4061,0.0020,0.5307,0.2659,0.1649,fwd1
F1_sma5_10,B_norm_bull,-0.5135,8.6006,4.3876,-1.3102,0.7511,0.6137,0.8461,0.8076,
F1_tsmom_12_1,A_all,0.8878,14.5685,21.8890,4.2264,0.3258,0.4743,0.4338,0.3963,
F1_tsmom_12_1,B_norm_bull,1.0123,11.5934,15.2020,1.5120,0.4908,0.6697,0.6752,0.8451,
F1_tsmom_3m,A_all,-0.4140,-2.6457,-9.3240,-1.0442,0.6362,0.8721,0.6817,0.7966,
F1_tsmom_3m,B_norm_bull,-0.2665,2.9207,-2.7070,-0.3031,0.8531,0.9025,0.9420,0.9625,
F1_tsmom_6m,A_all,0.4400,6.1804,14.0880,2.3196,0.6397,0.7576,0.6147,0.6047,
F1_tsmom_6m,B_norm_bull,0.4341,12.9302,21.0090,0.1808,0.7826,0.5917,0.5402,0.9805,
F2_d126low_near,A_all,1.0650,4.7850,4.7170,0.2485,0.3943,0.8431,0.8935,0.9675,
F2_d126low_near,B_norm_bull,3.7957,-13.6158,-25.4420,5.1439,0.0640,0.6902,0.6097,0.5997,
F2_d63low_near,A_all,1.0187,10.5410,12.4880,0.2184,0.4463,0.6472,0.7236,0.9735,
F2_d63low_near,B_norm_bull,1.0805,-53.3603,-48.3640,-16.1264,0.5952,0.1094,0.3113,0.0555,
F2_gap_up,A_all,-1.5792,19.1223,35.8210,14.8513,0.7101,0.5167,0.4053,0.1474,
F2_gap_up,B_norm_bull,0.5848,11.6407,30.2660,15.8319,0.9215,0.7551,0.5697,0.2354,
F2_near52wh,A_all,-2.1119,-29.4131,-38.9580,-8.2472,0.1894,0.2799,0.2933,0.2354,
F2_near52wh,B_norm_bull,-2.1726,-1.4163,-4.1460,-6.7807,0.3433,0.9745,0.9280,0.4963,
F2_pmhigh_brk,A_all,-3.6882,-13.1271,-8.6680,-9.4254,0.0520,0.5952,0.7971,0.2129,
F2_pmhigh_brk,B_norm_bull,-0.7963,24.0513,33.0540,-1.2986,0.7831,0.5412,0.5337,0.9040,
F2_swing_near,A_all,0.8435,11.9683,8.9780,-1.9406,0.5287,0.4683,0.6812,0.7116,
F2_swing_near,B_norm_bull,-3.4584,-7.7626,-24.3780,-14.9395,0.0780,0.7521,0.5058,0.0470,
F3_down3,A_all,22.9029,63.5581,76.0310,40.8270,0.0005,0.0085,0.0085,0.0015,"fwd1,fwd21,fwd31,fwd5"
F3_down3,B_norm_bull,13.8771,54.9752,119.6070,70.4127,0.0390,0.2209,0.0265,0.0010,fwd5
F3_ibs_low,A_all,13.0528,26.4064,28.9490,23.5099,0.0005,0.0415,0.0865,0.0005,"fwd1,fwd5"
F3_ibs_low,B_norm_bull,12.3051,58.1104,44.2800,31.3824,0.0040,0.0075,0.1214,0.0005,"fwd1,fwd21,fwd5"
F3_pctb_low,A_all,24.2732,100.1401,134.9880,61.8786,0.0010,0.0125,0.0075,0.0010,"fwd1,fwd31,fwd5"
F3_rsi14_os,A_all,58.0805,270.9952,311.1440,112.9021,0.0005,0.0015,0.0065,0.0020,"fwd1,fwd21,fwd31,fwd5"
F3_rsi2_os,A_all,22.3843,75.5481,86.8620,43.7667,0.0005,0.0035,0.0045,0.0010,"fwd1,fwd21,fwd31,fwd5"
F3_rsi2_os,B_norm_bull,11.1120,100.1645,157.9410,57.7195,0.0755,0.0110,0.0025,0.0005,"fwd31,fwd5"
F3_z5_low,A_all,10.2656,50.8376,59.1340,27.7318,0.0025,0.1139,0.1469,0.0225,fwd1
F3_z5_low,B_norm_bull,19.5348,-79.6756,-105.0400,29.9714,0.0005,0.0910,0.0954,0.0755,fwd1
F4_engulf,A_all,5.8843,-15.9310,-18.6490,-25.1279,0.5052,0.6357,0.6847,0.1439,
F4_engulf,B_norm_bull,-15.9890,-104.2208,-118.1530,-56.1157,0.1879,0.0960,0.1459,0.0295,
F4_hammer,A_all,13.0560,-44.0221,-10.1390,-0.7365,0.2364,0.3793,0.8586,0.9795,
F4_rev3,A_all,-12.0464,0.0144,4.4380,-6.0646,0.0040,0.9990,0.7351,0.3773,fwd1
F4_rev3,B_norm_bull,0.1342,21.0686,19.6250,-13.2706,0.9825,0.3633,0.5247,0.2464,
F5_atrp_low,A_all,-1.9179,-25.1677,-28.7620,-7.4550,0.1289,0.2559,0.3573,0.1964,
F5_atrp_low,B_norm_bull,-0.0618,24.2681,27.6890,4.3313,0.9690,0.5007,0.6407,0.5897,
F5_skew_high,A_all,-1.0091,-5.9263,-2.4070,1.8350,0.4558,0.7746,0.9460,0.7056,
F5_skew_high,B_norm_bull,1.5969,8.8602,-1.7980,4.3953,0.4468,0.7651,0.9695,0.5907,
F5_vix5d_dn,A_all,-1.5333,-5.1635,-16.9140,-8.5593,0.2504,0.5702,0.1219,0.0540,
F5_vix5d_dn,B_norm_bull,-2.5129,-22.8607,-35.6450,-12.9667,0.1929,0.1409,0.0880,0.0355,
F5_vixts_cont,A_all,-0.4796,-8.7641,-14.8140,-2.8386,0.6352,0.6437,0.6262,0.5592,
F5_vixts_cont,B_norm_bull,,,-0.5560,,,,0.9835,,
F5_vrp_rich,A_all,1.2365,16.8578,31.7260,2.1954,0.3743,0.3523,0.1874,0.7126,
F5_vrp_rich,B_norm_bull,1.0954,35.4642,51.7870,10.4943,0.6027,0.1994,0.1739,0.2104,
F5_vvix_low,A_all,-0.7493,2.5344,6.2080,0.5448,0.7471,0.9500,0.9091,0.9575,
F5_vvix_low,B_norm_bull,2.5380,34.5959,56.3230,4.4129,0.4183,0.4758,0.4123,0.7036,
F6_dxy_dn,A_all,0.2839,14.2585,33.4270,-0.5554,0.8106,0.5397,0.3158,0.9180,
F6_dxy_dn,B_norm_bull,0.1277,71.6650,107.7560,7.5978,0.9620,0.0405,0.0310,0.3808,
F6_gld_up,A_all,0.6995,15.7094,18.8800,3.0679,0.5987,0.5187,0.5972,0.6232,
F6_gld_up,B_norm_bull,-0.4999,-6.4976,3.4080,-4.5615,0.8546,0.8886,0.9535,0.6937,
F6_hyg_strong,A_all,-1.2239,12.2163,13.7990,-3.7134,0.4743,0.6917,0.7491,0.6437,
