signal,stratum,endpoint,n_on,mean_diff_bp,t,p,sign_consistent,bh_pass,survive
F7_fomc_pre,A_all,fwd1,216,15.18398,1.76233,0.06397,False,False,False
F7_fomc_pre,B_norm_bull,fwd1,53,24.10492,1.94955,0.05697,True,False,False
F8_cot_washed,A_all,fwd1,1870,1.82992,0.54137,0.52724,False,False,False
F8_cot_washed,B_norm_bull,fwd1,447,1.85324,0.38756,0.69765,True,False,False
F8_pc_high,A_all,fwd1,657,2.48503,0.33177,0.58521,False,False,False
F8_pc_high,B_norm_bull,fwd1,38,8.11714,0.55412,0.32784,False,False,False
F7_fomc_pre,A_all,fwd5,216,12.20667,0.70435,0.46327,False,False,False
F7_fomc_pre,B_norm_bull,fwd5,53,53.99946,2.60638,0.01199,True,True,True
F8_cot_washed,A_all,fwd5,1870,13.19768,1.98945,0.29985,True,False,False
F8_cot_washed,B_norm_bull,fwd5,447,28.44802,2.89518,0.08646,True,False,False
F8_pc_high,A_all,fwd5,657,22.14365,1.66082,0.33683,True,False,False
F8_pc_high,B_norm_bull,fwd5,38,14.53399,0.51168,0.42479,False,False,False
F7_fomc_pre,A_all,fwd21,215,25.43394,0.81173,0.19790,True,False,False
F7_fomc_pre,B_norm_bull,fwd21,53,129.94772,3.02631,0.00550,True,True,True
F8_cot_washed,A_all,fwd21,1856,63.95963,5.02588,0.15642,True,False,False
F8_cot_washed,B_norm_bull,fwd21,447,54.82581,2.36822,0.43978,False,False,False
F8_pc_high,A_all,fwd21,657,28.78383,1.21363,0.60220,False,False,False
F8_pc_high,B_norm_bull,fwd21,38,-204.95599,-2.43318,0.19640,True,False,False
F7_fomc_pre,A_all,fwd31,215,-3.02879,-0.07884,0.85007,False,False,False
F7_fomc_pre,B_norm_bull,fwd31,53,67.78819,0.92241,0.30385,True,False,False
F8_cot_washed,A_all,fwd31,1856,80.64915,5.19613,0.22889,False,False,False
F8_cot_washed,B_norm_bull,fwd31,447,72.27541,2.21841,0.53223,False,False,False
F8_pc_high,A_all,fwd31,657,9.49254,0.34981,0.77811,False,False,False
F8_pc_high,B_norm_bull,fwd31,38,-263.84391,-3.46580,0.15092,True,False,False
