signal,stratum,endpoint,n_on,mean_diff_bp,p,sign_consistent,on_ann_pct,off_ann_pct,flips_per_yr,bh_pass,survive
F1_sma5_10,A_all,nextday,3883,-3.31795,0.00200,True,-0.14719,20.33752,27.53909,True,True
F1_sma5_10,B_norm_bull,nextday,1129,-0.51348,0.75112,False,0.24410,5.44415,38.56287,False,False
F1_sma10_20,A_all,nextday,4077,-1.12433,0.25887,True,5.38073,12.86438,12.21399,False,False
F1_sma10_20,B_norm_bull,nextday,1286,0.33756,0.82559,False,2.38871,-3.50314,19.28144,False,False
F1_sma20_50,A_all,nextday,4262,-0.66651,0.51224,False,6.53444,11.32777,5.33882,False,False
F1_sma20_50,B_norm_bull,nextday,1318,-0.94615,0.52474,False,-0.84624,18.52451,10.56287,False,False
F1_sma200,A_all,nextday,4704,0.03746,0.96252,False,8.30843,7.97494,6.83676,False,False
F1_sma200,B_norm_bull,nextday,1372,0.48141,0.74613,False,2.75120,-11.16753,6.37126,False,False
F1_sma50_200,A_all,nextday,4686,0.83810,0.35782,False,10.32606,2.93570,0.92181,False,False
F1_sma50_200,B_norm_bull,nextday,1198,-0.12647,0.93153,False,1.21935,2.78987,3.01796,False,False
F1_tsmom_12_1,A_all,nextday,4907,0.88777,0.32584,False,10.45122,1.57689,5.06996,False,False
F1_tsmom_12_1,B_norm_bull,nextday,1183,1.01234,0.49075,True,4.08916,-7.89305,6.03593,False,False
F1_tsmom_3m,A_all,nextday,4397,-0.41400,0.63618,True,7.17077,10.33386,11.98354,False,False
F1_tsmom_3m,B_norm_bull,nextday,1342,-0.26645,0.85307,False,0.86660,7.13487,12.40719,False,False
F1_tsmom_6m,A_all,nextday,4607,0.43997,0.63968,False,9.32277,5.59997,6.60631,False,False
F1_tsmom_6m,B_norm_bull,nextday,1271,0.43413,0.78261,False,2.63206,-4.45538,6.70659,False,False
F1_donchian55,A_all,nextday,609,-4.04350,0.35982,True,-1.97557,9.25663,29.03704,False,False
F1_donchian55,B_norm_bull,nextday,224,-2.20196,0.72714,False,-4.01088,2.50988,43.59281,False,False
F1_adx25,A_all,nextday,2225,3.64105,0.04048,True,17.38949,3.50570,8.14266,False,False
F1_adx25,B_norm_bull,nextday,415,2.70585,0.34433,False,8.35680,-1.06284,10.56287,False,False
F1_macd_pos,A_all,nextday,3315,-0.27927,0.83958,True,7.51029,8.93275,21.27846,False,False
F1_macd_pos,B_norm_bull,nextday,892,1.50044,0.43628,False,5.31916,-3.98199,31.35329,False,False
F2_d63low_near,A_all,nextday,3284,1.01873,0.44628,True,10.78124,5.64136,16.09328,False,False
F2_d63low_near,B_norm_bull,nextday,341,1.08055,0.59520,False,4.26105,0.73897,19.78443,False,False
F2_d126low_near,A_all,nextday,3305,1.06498,0.39430,True,10.89779,5.48990,11.86831,False,False
F2_d126low_near,B_norm_bull,nextday,329,3.79568,0.06397,True,11.10317,-1.14246,15.25749,False,False
F2_swing_near,A_all,nextday,3303,0.84351,0.52874,False,10.33970,6.05902,27.11660,False,False
F2_swing_near,B_norm_bull,nextday,429,-3.45841,0.07796,True,-7.17713,5.01926,31.01796,False,False
F2_near52wh,A_all,nextday,2862,-2.11191,0.18941,True,2.89202,12.33181,16.24691,False,False
F2_near52wh,B_norm_bull,nextday,965,-2.17257,0.34333,True,-3.93682,11.35822,23.97605,False,False
F2_pmhigh_brk,A_all,nextday,2242,-3.68824,0.05197,True,-1.08032,13.03876,23.50617,False,False
F2_pmhigh_brk,B_norm_bull,nextday,825,-0.79627,0.78311,True,-0.46853,3.97970,38.39521,False,False
F2_gap_up,A_all,nextday,765,-1.57924,0.71014,True,4.23435,8.73931,47.78052,False,False
F2_gap_up,B_norm_bull,nextday,220,0.58481,0.92154,False,3.01179,1.28535,60.02395,False,False
F3_rsi2_os,A_all,nextday,666,22.38429,0.00050,True,64.62245,1.84118,28.42250,True,True
F3_rsi2_os,B_norm_bull,nextday,71,11.11204,0.07546,True,29.54040,0.14967,16.76647,False,False
F3_rsi14_os,A_all,nextday,126,58.08053,0.00050,True,154.57698,5.34819,4.99314,True,True
F3_rsi14_os,B_norm_bull,nextday,0,,,False,,,,False,False
F3_ibs_low,A_all,nextday,1374,13.05280,0.00050,True,41.10711,-0.49910,83.80796,True,True
F3_ibs_low,B_norm_bull,nextday,217,12.30508,0.00400,True,32.54685,-3.69438,61.36527,True,True
F3_pctb_low,A_all,nextday,332,24.27319,0.00100,True,69.38248,4.95382,14.74897,True,True
F3_pctb_low,B_norm_bull,nextday,0,,,False,,,,False,False
F3_down3,A_all,nextday,559,22.90291,0.00050,True,65.92938,2.83869,25.81070,True,True
F3_down3,B_norm_bull,nextday,74,13.87711,0.03898,True,36.50837,-0.27286,18.10778,False,False
F3_z5_low,A_all,nextday,913,10.26564,0.00250,True,34.08345,4.03225,26.96296,True,True
F3_z5_low,B_norm_bull,nextday,52,19.53484,0.00050,True,50.76584,-0.22614,12.40719,True,True
F4_engulf,A_all,nextday,178,5.88434,0.50525,False,23.04258,7.80052,13.67353,False,False
F4_engulf,B_norm_bull,nextday,44,-15.98898,0.18791,True,-38.75417,2.75317,14.75449,False,False
F4_hammer,A_all,nextday,111,13.05602,0.23638,True,41.11521,7.64784,8.14266,False,False
F4_hammer,B_norm_bull,nextday,0,,,False,,,,False,False
F4_rev3,A_all,nextday,749,-12.04635,0.00400,True,-22.14277,12.12616,57.49794,True,True
F4_rev3,B_norm_bull,nextday,154,0.13416,0.98251,False,1.87613,1.49946,51.64072,False,False
F5_vrp_rich,A_all,nextday,3319,1.23648,0.37431,True,11.23610,5.00519,28.16448,False,False
F5_vrp_rich,B_norm_bull,nextday,906,1.09543,0.60270,False,3.79527,-3.07191,33.76634,False,False
F5_atrp_low,A_all,nextday,3345,-1.91790,0.12894,True,3.38094,13.24101,9.98628,False,False
F5_atrp_low,B_norm_bull,nextday,1049,-0.06176,0.96902,False,1.38243,1.89765,10.73054,False,False
F5_vix5d_dn,A_all,nextday,3497,-1.53335,0.25037,False,4.35001,12.62414,57.26749,False,False
F5_vix5d_dn,B_norm_bull,nextday,893,-2.51286,0.19290,False,-4.79434,10.80827,61.70060,False,False
F5_skew_high,A_all,nextday,3334,-1.00913,0.45577,True,7.16569,12.55955,32.47876,False,False
F5_skew_high,B_norm_bull,nextday,924,1.59687,0.44678,True,6.44030,-4.22361,32.26415,False,False
F5_vixts_cont,A_all,nextday,4442,-0.47961,0.63518,True,9.85218,20.73408,15.28037,False,False
F5_vixts_cont,B_norm_bull,nextday,0,,,False,,,,False,False
F5_vvix_low,A_all,nextday,2262,-0.74931,0.74713,True,8.61794,12.12286,27.38907,False,False
F5_vvix_low,B_norm_bull,nextday,634,2.53798,0.41829,True,8.49278,-5.09245,37.65275,False,False
F6_xlu_weak,A_all,nextday,3462,-0.91092,0.43878,True,5.75954,10.53774,16.86808,False,False
F6_xlu_weak,B_norm_bull,nextday,974,-1.30249,0.47426,False,-2.24748,6.94411,24.61782,False,False
F6_rsp_strong,A_all,nextday,2891,1.22954,0.32934,True,13.68359,7.46947,14.37877,False,False
F6_rsp_strong,B_norm_bull,nextday,737,1.55697,0.56022,True,7.13401,-1.54557,15.17621,False,False
F6_tlt_up,A_all,nextday,3231,1.59535,0.24988,True,14.61835,5.90364,24.20007,False,False
F6_tlt_up,B_norm_bull,nextday,698,1.63851,0.46727,True,8.42551,0.25994,35.51558,False,False
F6_hyg_strong,A_all,nextday,3008,-1.22389,0.47426,False,7.32291,15.66038,15.99413,False,False
F6_hyg_strong,B_norm_bull,nextday,815,-0.44719,0.85907,False,1.20293,4.74042,21.70234,False,False
F6_dxy_dn,A_all,nextday,3277,0.28390,0.81059,True,8.77049,7.36266,14.90140,False,False
F6_dxy_dn,B_norm_bull,nextday,817,0.12767,0.96202,False,1.35654,0.65821,15.96832,False,False
F6_gld_up,A_all,nextday,3359,0.69952,0.59870,True,12.16739,7.46601,11.81690,False,False
F6_gld_up,B_norm_bull,nextday,815,-0.49985,0.85457,True,0.87289,4.78519,16.77205,False,False
F7_tom,A_all,nextday,2194,2.33879,0.26987,True,14.10780,5.25299,24.04390,False,False
F7_tom,B_norm_bull,nextday,508,5.18816,0.11244,True,14.61222,-5.13700,36.88623,False,False
F7_opex_wk,A_all,nextday,1506,-2.59554,0.34433,True,1.67329,10.16268,23.50617,False,False
F7_opex_wk,B_norm_bull,nextday,341,-6.31488,0.12494,True,-14.37545,6.20803,33.53293,False,False
F7_halloween,A_all,nextday,3209,1.13654,0.14993,False,11.07813,5.47214,1.99726,False,False
F7_halloween,B_norm_bull,nextday,759,2.30290,0.22839,False,7.34135,-4.38224,6.70659,False,False
