signal,stratum,endpoint,n_on,mean_diff_bp,p,sign_consistent
F1_sma5_10,A_all,fwd5,3882,-6.40614,0.16492,True
F1_sma5_10,A_all,fwd21,3875,-7.01010,0.53073,False
F1_sma5_10,B_norm_bull,fwd5,1129,-1.31018,0.80760,False
F1_sma5_10,B_norm_bull,fwd21,1129,8.60065,0.61369,True
F1_sma10_20,A_all,fwd5,4077,-3.87919,0.39380,False
F1_sma10_20,A_all,fwd21,4070,-11.94656,0.39830,False
F1_sma10_20,B_norm_bull,fwd5,1286,2.54402,0.68366,True
F1_sma10_20,B_norm_bull,fwd21,1286,7.78877,0.71114,False
F1_sma20_50,A_all,fwd5,4258,-4.11556,0.37681,True
F1_sma20_50,A_all,fwd21,4242,-17.01274,0.30585,True
F1_sma20_50,B_norm_bull,fwd5,1318,-3.65815,0.55972,True
F1_sma20_50,B_norm_bull,fwd21,1318,-3.26298,0.89005,False
F1_sma200,A_all,fwd5,4700,2.41870,0.59870,False
F1_sma200,A_all,fwd21,4684,13.21104,0.48176,False
F1_sma200,B_norm_bull,fwd5,1372,1.63810,0.79960,False
F1_sma200,B_norm_bull,fwd21,1372,20.84250,0.41479,True
F1_sma50_200,A_all,fwd5,4682,3.98713,0.40680,False
F1_sma50_200,A_all,fwd21,4666,18.10839,0.33833,False
F1_sma50_200,B_norm_bull,fwd5,1198,-2.24334,0.73563,False
F1_sma50_200,B_norm_bull,fwd21,1198,10.90342,0.67066,True
F1_tsmom_12_1,A_all,fwd5,4903,4.22635,0.39630,False
F1_tsmom_12_1,A_all,fwd21,4887,14.56852,0.47426,False
F1_tsmom_12_1,B_norm_bull,fwd5,1183,1.51200,0.84508,True
F1_tsmom_12_1,B_norm_bull,fwd21,1183,11.59339,0.66967,True
F1_tsmom_3m,A_all,fwd5,4393,-1.04416,0.79660,False
F1_tsmom_3m,A_all,fwd21,4377,-2.64569,0.87206,False
F1_tsmom_3m,B_norm_bull,fwd5,1342,-0.30312,0.96252,False
F1_tsmom_3m,B_norm_bull,fwd21,1342,2.92070,0.90255,True
F1_tsmom_6m,A_all,fwd5,4603,2.31961,0.60470,False
F1_tsmom_6m,A_all,fwd21,4587,6.18040,0.75762,False
F1_tsmom_6m,B_norm_bull,fwd5,1271,0.18077,0.98051,False
F1_tsmom_6m,B_norm_bull,fwd21,1271,12.93021,0.59170,True
F1_donchian55,A_all,fwd5,609,-18.96015,0.13393,True
F1_donchian55,A_all,fwd21,609,-51.68899,0.13393,True
F1_donchian55,B_norm_bull,fwd5,224,-11.68326,0.50475,True
F1_donchian55,B_norm_bull,fwd21,224,-22.32352,0.67666,True
F1_adx25,A_all,fwd5,2225,14.82122,0.06847,True
F1_adx25,A_all,fwd21,2216,55.40142,0.06397,True
F1_adx25,B_norm_bull,fwd5,415,17.05080,0.14693,False
F1_adx25,B_norm_bull,fwd21,415,47.00667,0.27486,False
F1_macd_pos,A_all,fwd5,3315,-3.34639,0.53573,True
F1_macd_pos,A_all,fwd21,3315,-2.66159,0.84258,False
F1_macd_pos,B_norm_bull,fwd5,892,0.06193,0.99100,False
F1_macd_pos,B_norm_bull,fwd21,892,-1.85911,0.92054,False
F2_d63low_near,A_all,fwd5,3284,0.21842,0.97351,False
F2_d63low_near,A_all,fwd21,3284,10.54100,0.64718,False
F2_d63low_near,B_norm_bull,fwd5,341,-16.12644,0.05547,True
F2_d63low_near,B_norm_bull,fwd21,341,-53.36035,0.10945,True
F2_d126low_near,A_all,fwd5,3305,0.24846,0.96752,True
F2_d126low_near,A_all,fwd21,3305,4.78504,0.84308,False
F2_d126low_near,B_norm_bull,fwd5,329,5.14389,0.59970,True
F2_d126low_near,B_norm_bull,fwd21,329,-13.61579,0.69015,True
