signal,stratum,endpoint,n_on,mean_diff_bp,t,p,sign_consistent,bh_pass,survive
F1_sma5_10,A_all,fwd1,3883,-8.12885,-2.47743,0.00600,True,False,False
F1_sma5_10,B_norm_bull,fwd1,1129,-2.06351,-0.38117,0.69215,False,False,False
F1_sma10_20,A_all,fwd1,4077,-2.96970,-0.85883,0.34033,True,False,False
F1_sma10_20,B_norm_bull,fwd1,1286,2.33804,0.36350,0.72014,False,False,False
F1_sma20_50,A_all,fwd1,4262,-1.90211,-0.51675,0.54323,False,False,False
F1_sma20_50,B_norm_bull,fwd1,1318,-7.68680,-1.26554,0.17591,False,False,False
F1_sma200,A_all,fwd1,4704,0.13234,0.02946,0.97701,False,False,False
F1_sma200,B_norm_bull,fwd1,1372,5.52330,0.56364,0.61819,False,False,False
F1_sma50_200,A_all,fwd1,4686,2.93268,0.71454,0.43678,False,False,False
F1_sma50_200,B_norm_bull,fwd1,1198,-0.62322,-0.10941,0.91204,False,False,False
F1_tsmom_12_1,A_all,fwd1,4907,3.52156,0.81381,0.44878,False,False,False
F1_tsmom_12_1,B_norm_bull,fwd1,1183,4.75484,0.83100,0.50125,True,False,False
F1_tsmom_3m,A_all,fwd1,4397,-1.25520,-0.31853,0.71614,True,False,False
F1_tsmom_3m,B_norm_bull,fwd1,1342,-2.48741,-0.31138,0.73113,False,False,False
F1_tsmom_6m,A_all,fwd1,4607,1.47730,0.34618,0.69865,False,False,False
F1_tsmom_6m,B_norm_bull,fwd1,1271,2.81248,0.43217,0.68516,False,False,False
F1_donchian55,A_all,fwd1,609,-4.45722,-1.70473,0.08546,True,False,False
F1_donchian55,B_norm_bull,fwd1,224,-2.58760,-0.61414,0.54573,False,False,False
F1_adx25,A_all,fwd1,2225,5.50944,1.53831,0.06847,True,False,False
F1_adx25,B_norm_bull,fwd1,415,3.73795,0.79258,0.43928,False,False,False
F1_macd_pos,A_all,fwd1,3315,-0.56447,-0.18889,0.82959,True,False,False
F1_macd_pos,B_norm_bull,fwd1,892,3.69093,0.82423,0.38231,False,False,False
F2_d63low_near,A_all,fwd1,3284,2.03964,0.68485,0.43828,True,False,False
F2_d63low_near,B_norm_bull,fwd1,341,1.39765,0.27537,0.76462,False,False,False
F2_d126low_near,A_all,fwd1,3305,2.14599,0.72194,0.38781,True,False,False
F2_d126low_near,B_norm_bull,fwd1,329,4.85938,0.94292,0.32334,True,False,False
F2_swing_near,A_all,fwd1,3303,1.69868,0.57116,0.51174,False,False,False
F2_swing_near,B_norm_bull,fwd1,429,-4.83984,-0.95146,0.32034,True,False,False
F2_near52wh,A_all,fwd1,2862,-3.74595,-1.36175,0.12944,True,False,False
F2_near52wh,B_norm_bull,fwd1,965,-6.06946,-1.29985,0.15742,True,False,False
F2_pmhigh_brk,A_all,fwd1,2242,-5.60281,-2.15053,0.01599,True,False,False
F2_pmhigh_brk,B_norm_bull,fwd1,825,-1.76517,-0.40938,0.67516,True,False,False
F2_gap_up,A_all,fwd1,765,-1.78768,-0.45783,0.63768,True,False,False
F2_gap_up,B_norm_bull,fwd1,220,0.68509,0.13426,0.89805,False,False,False
F3_rsi2_os,A_all,fwd1,666,24.91320,3.63953,0.00050,True,True,True
F3_rsi2_os,B_norm_bull,fwd1,71,11.66299,0.94468,0.33633,True,False,False
F3_rsi14_os,A_all,fwd1,126,59.21777,2.44535,0.01099,True,False,False
F3_rsi14_os,B_norm_bull,fwd1,0,,,,False,False,False
F3_ibs_low,A_all,fwd1,1374,16.51040,4.02692,0.00050,True,True,True
F3_ibs_low,B_norm_bull,fwd1,217,14.38144,2.35480,0.02299,True,False,False
F3_pctb_low,A_all,fwd1,332,25.56693,2.26482,0.01399,True,False,False
F3_pctb_low,B_norm_bull,fwd1,0,,,,False,False,False
F3_down3,A_all,fwd1,559,25.03599,3.64893,0.00050,True,True,True
F3_down3,B_norm_bull,fwd1,74,14.59573,1.23674,0.21489,True,False,False
F3_z5_low,A_all,fwd1,913,11.92508,1.85436,0.05647,True,False,False
F3_z5_low,B_norm_bull,fwd1,52,20.23491,1.27379,0.21989,True,False,False
F4_engulf,A_all,fwd1,178,6.04844,0.76627,0.45027,False,False,False
