signal,stratum,endpoint,n_on,mean_diff_bp,t,p,sign_consistent,bh_pass,survive
M_rsi2_ob,A_all,fwd1,1117,-6.52194,-2.22264,0.02099,True,True,True
M_rsi2_ob,B_norm_bull,fwd1,334,-5.54367,-1.30226,0.17791,True,False,False
M_rsi14_ob,A_all,fwd1,424,-6.97192,-2.15136,0.01749,True,True,True
M_rsi14_ob,B_norm_bull,fwd1,134,-6.76846,-1.16422,0.23138,False,False,False
M_ibs_high,A_all,fwd1,2104,-8.86404,-2.88174,0.00550,True,True,True
M_ibs_high,B_norm_bull,fwd1,550,-6.10167,-1.42068,0.15042,True,False,False
M_pctb_high,A_all,fwd1,251,-7.61619,-1.83726,0.05947,True,False,False
M_pctb_high,B_norm_bull,fwd1,76,-6.13332,-1.00997,0.31284,True,False,False
M_up3,A_all,fwd1,925,-8.23320,-2.41898,0.01699,True,True,True
M_up3,B_norm_bull,fwd1,268,-3.13446,-0.66338,0.50325,True,False,False
M_z5_high,A_all,fwd1,814,-9.16051,-2.06129,0.02999,True,True,True
M_z5_high,B_norm_bull,fwd1,152,-3.66336,-0.62645,0.51274,False,False,False
M_rsi2_ob,A_all,fwd5,1116,-14.57844,-2.36045,0.10445,True,False,False
M_rsi2_ob,B_norm_bull,fwd5,334,1.14190,0.11866,0.92904,False,False,False
M_rsi14_ob,A_all,fwd5,424,-20.35295,-2.86048,0.09895,True,False,False
M_rsi14_ob,B_norm_bull,fwd5,134,-7.25521,-0.62514,0.68316,True,False,False
M_ibs_high,A_all,fwd5,2102,-21.74827,-3.43323,0.00050,True,True,True
M_ibs_high,B_norm_bull,fwd5,550,-23.39881,-2.50409,0.01449,True,True,True
M_pctb_high,A_all,fwd5,251,-23.94624,-2.49449,0.07146,True,False,False
M_pctb_high,B_norm_bull,fwd5,76,-15.69810,-0.99469,0.41279,False,False,False
M_up3,A_all,fwd5,925,-6.88402,-1.01555,0.43828,False,False,False
M_up3,B_norm_bull,fwd5,268,8.25984,0.79981,0.51524,False,False,False
M_z5_high,A_all,fwd5,814,-18.47537,-2.20703,0.13493,False,False,False
M_z5_high,B_norm_bull,fwd5,152,-14.32768,-1.01008,0.43478,True,False,False
M_rsi2_ob,A_all,fwd21,1116,-2.98525,-0.22967,0.88506,False,False,False
M_rsi2_ob,B_norm_bull,fwd21,334,38.58390,1.62598,0.27986,True,False,False
M_rsi14_ob,A_all,fwd21,424,-8.56463,-0.57504,0.83208,False,False,False
M_rsi14_ob,B_norm_bull,fwd21,134,49.94390,1.76328,0.47676,True,False,False
M_ibs_high,A_all,fwd21,2100,-39.60701,-3.20950,0.00300,True,True,True
M_ibs_high,B_norm_bull,fwd21,550,-19.99203,-0.91334,0.37331,True,False,False
M_pctb_high,A_all,fwd21,251,-44.48110,-2.16754,0.13693,True,False,False
M_pctb_high,B_norm_bull,fwd21,76,-58.31152,-1.39570,0.29435,False,False,False
M_up3,A_all,fwd21,924,-1.27965,-0.09025,0.94903,False,False,False
M_up3,B_norm_bull,fwd21,268,21.63259,0.85067,0.56172,True,False,False
M_z5_high,A_all,fwd21,813,-15.67910,-0.87737,0.60020,False,False,False
M_z5_high,B_norm_bull,fwd21,152,-91.66118,-2.23748,0.14943,True,False,False
M_rsi2_ob,A_all,fwd31,1110,6.61947,0.41703,0.82459,False,False,False
M_rsi2_ob,B_norm_bull,fwd31,332,68.45297,2.23454,0.15292,True,False,False
M_rsi14_ob,A_all,fwd31,418,4.17158,0.21421,0.95202,False,False,False
M_rsi14_ob,B_norm_bull,fwd31,132,56.51868,1.41342,0.57821,True,False,False
M_ibs_high,A_all,fwd31,2098,-39.00994,-2.63916,0.01549,True,False,False
M_ibs_high,B_norm_bull,fwd31,549,1.02441,0.03570,0.96702,False,False,False
M_pctb_high,A_all,fwd31,251,-56.07615,-2.12617,0.12844,True,False,False
M_pctb_high,B_norm_bull,fwd31,76,-47.76445,-0.83602,0.52924,False,False,False
M_up3,A_all,fwd31,917,-11.83590,-0.65010,0.64268,False,False,False
M_up3,B_norm_bull,fwd31,265,30.03800,0.85121,0.55572,True,False,False
M_z5_high,A_all,fwd31,812,-36.47833,-1.65389,0.32584,True,False,False
M_z5_high,B_norm_bull,fwd31,151,-140.10229,-2.51222,0.12694,True,False,False
