arm,era,n,total_usd,mean_usd
incumbent,full,137,24536,179
incumbent,2000s,35,-3244,-93
incumbent,2010s,79,15823,200
incumbent,2020-23,7,-4958,-708
incumbent,2024+,16,16915,1057
incumbent,last24m,9,-753,-84
wait3,full,33,26884,815
wait3,2000s,5,-2640,-528
wait3,2010s,21,14689,699
wait3,2020-23,3,2210,737
wait3,2024+,4,12624,3156
wait3,last24m,2,5411,2706
wait5,full,48,20845,434
wait5,2000s,12,-5443,-454
wait5,2010s,26,10786,415
wait5,2020-23,4,4008,1002
wait5,2024+,6,11495,1916
wait5,last24m,4,4282,1070
wait10,full,66,29196,442
wait10,2000s,16,-3959,-247
wait10,2010s,37,11503,311
wait10,2020-23,4,4008,1002
wait10,2024+,9,17644,1960
wait10,last24m,5,4826,965
