rule,cap,era,n,paired_d_usd,t,win_pct,naked_days,cycles
wait5,0,full,63,384,1.05,51,11.7,2.25
wait5,0,<2013,19,158,0.89,53,11.5,2.32
wait5,0,>=2013,44,481,0.93,50,11.8,2.23
wait5,0,2024+,8,-1547,-1.61,12,11.9,2.25
wait5,0,last24m,5,-744,-1.13,20,13.0,2.2
retrace50,5,full,63,423,1.36,54,6.7,2.7
retrace50,5,<2013,19,170,0.96,58,8.9,2.53
retrace50,5,>=2013,44,532,1.21,52,5.7,2.77
retrace50,5,2024+,8,-871,-0.64,38,4.9,2.88
retrace50,5,last24m,5,52,0.03,40,3.6,3.0
retrace50,10,full,63,419,1.64,57,9.5,2.46
retrace50,10,<2013,19,367,2.06,68,11.3,2.37
retrace50,10,>=2013,44,441,1.23,52,8.8,2.5
retrace50,10,2024+,8,-147,-0.14,38,7.9,2.62
retrace50,10,last24m,5,-295,-0.18,40,6.2,2.8
prev_high,5,full,63,249,0.7,51,8.3,2.57
prev_high,5,<2013,19,177,1.02,63,10.2,2.42
prev_high,5,>=2013,44,280,0.56,45,7.5,2.64
prev_high,5,2024+,8,-1648,-1.5,38,6.9,2.75
prev_high,5,last24m,5,-1197,-1.32,40,6.4,2.8
prev_high,10,full,63,359,1.28,54,11.9,2.27
prev_high,10,<2013,19,435,2.02,68,13.4,2.21
prev_high,10,>=2013,44,326,0.83,48,11.2,2.3
prev_high,10,2024+,8,-1108,-1.42,25,12.1,2.25
prev_high,10,last24m,5,-1831,-1.84,20,13.0,2.2
prev_high_lit,0,full,63,150,0.53,54,16.7,1.97
prev_high_lit,0,<2013,19,192,0.68,68,19.5,1.84
prev_high_lit,0,>=2013,44,132,0.34,48,15.5,2.02
prev_high_lit,0,2024+,8,-924,-0.72,38,14.0,2.12
prev_high_lit,0,last24m,5,-2458,-1.71,20,15.0,2.0
