rule,cap,era,n,paired_d_usd,t,win_pct,naked_days,cycles
wait5,0,full,63,412,1.12,52,11.7,2.25
wait5,0,<2013,19,171,0.95,53,11.5,2.32
wait5,0,>=2013,44,516,0.99,52,11.8,2.23
wait5,0,2024+,8,-1488,-1.51,25,11.9,2.25
wait5,0,last24m,5,-667,-0.98,20,13.0,2.2
retrace50,5,full,63,437,1.4,54,6.7,2.7
retrace50,5,<2013,19,180,1.0,58,8.9,2.53
retrace50,5,>=2013,44,549,1.24,52,5.7,2.77
retrace50,5,2024+,8,-854,-0.62,38,4.9,2.88
retrace50,5,last24m,5,69,0.05,40,3.6,3.0
retrace50,10,full,63,444,1.73,57,9.5,2.46
retrace50,10,<2013,19,382,2.13,68,11.3,2.37
retrace50,10,>=2013,44,470,1.3,52,8.8,2.5
retrace50,10,2024+,8,-104,-0.1,38,7.9,2.62
retrace50,10,last24m,5,-262,-0.16,40,6.2,2.8
prev_high,5,full,63,265,0.74,51,8.3,2.57
prev_high,5,<2013,19,189,1.07,63,10.2,2.42
prev_high,5,>=2013,44,299,0.59,45,7.5,2.64
prev_high,5,2024+,8,-1627,-1.46,38,6.9,2.75
prev_high,5,last24m,5,-1174,-1.27,40,6.4,2.8
prev_high,10,full,63,391,1.39,54,11.9,2.27
prev_high,10,<2013,19,454,2.09,68,13.4,2.21
prev_high,10,>=2013,44,364,0.92,48,11.2,2.3
prev_high,10,2024+,8,-1037,-1.32,25,12.1,2.25
prev_high,10,last24m,5,-1755,-1.73,20,13.0,2.2
prev_high_lit,0,full,63,195,0.69,54,16.7,1.97
prev_high_lit,0,<2013,19,215,0.76,68,19.5,1.84
prev_high_lit,0,>=2013,44,186,0.48,48,15.5,2.02
prev_high_lit,0,2024+,8,-837,-0.65,38,14.0,2.12
prev_high_lit,0,last24m,5,-2368,-1.63,20,15.0,2.0
