window,pool0,q042_need,scenario,q042_n,main_pass,main_block_floor,main_block_cap,main_pnl_foregone,q042_pass,q042_block,q042_pnl_foregone,q042_overdraft,combined_breach,max_committed,main_block_delta,main_pnl_foregone_delta
3y,37000.0,canonical_62.5k,ISO,7,17,7,0,11824.183974061316,7,0,0.0,7,8,56046.48,0,0.0
3y,37000.0,canonical_62.5k,VIS,7,16,8,0,9397.981023657288,7,0,0.0,7,0,56046.48,1,-2426.0
3y,37000.0,canonical_62.5k,GOV,7,17,7,0,11824.183974061316,0,7,344278.55000000005,0,0,22001.0933686857,0,0.0
3y,37000.0,today_78.6k,ISO,7,17,7,0,11824.183974061316,7,0,0.0,7,8,72059.76000000001,0,0.0
3y,37000.0,today_78.6k,VIS,7,16,8,0,9397.981023657288,7,0,0.0,7,0,72059.76000000001,1,-2426.0
3y,37000.0,today_78.6k,GOV,7,17,7,0,11824.183974061316,0,7,423658.02999999997,0,0,22001.0933686857,0,0.0
3y,90000.0,canonical_62.5k,ISO,7,17,0,7,11824.183974061316,7,0,0.0,0,0,56046.48,0,0.0
3y,90000.0,canonical_62.5k,VIS,7,16,0,8,9397.981023657288,7,0,0.0,0,0,56046.48,1,-2426.0
3y,90000.0,canonical_62.5k,GOV,7,17,0,7,11824.183974061316,0,7,344278.55000000005,0,0,22001.0933686857,0,0.0
3y,90000.0,today_78.6k,ISO,7,17,0,7,11824.183974061316,7,0,0.0,0,1,72059.76000000001,0,0.0
3y,90000.0,today_78.6k,VIS,7,16,1,7,9397.981023657288,7,0,0.0,0,0,72059.76000000001,1,-2426.0
3y,90000.0,today_78.6k,GOV,7,17,0,7,11824.183974061316,0,7,423658.02999999997,0,0,22001.0933686857,0,0.0
3y,152000.0,canonical_62.5k,ISO,7,24,0,0,0.0,7,0,0.0,0,0,56046.48,0,0.0
3y,152000.0,canonical_62.5k,VIS,7,23,0,1,-2426.2029504040283,7,0,0.0,0,0,56046.48,1,-2426.0
3y,152000.0,canonical_62.5k,GOV,7,23,0,1,-2426.2029504040283,6,1,68246.28,0,0,56046.48,1,-2426.0
3y,152000.0,today_78.6k,ISO,7,24,0,0,0.0,7,0,0.0,0,0,72059.76000000001,0,0.0
3y,152000.0,today_78.6k,VIS,7,23,0,1,-2426.2029504040283,7,0,0.0,0,0,72059.76000000001,1,-2426.0
3y,152000.0,today_78.6k,GOV,7,23,0,1,-2426.2029504040283,6,1,90995.04000000001,0,0,72059.76000000001,1,-2426.0
3y,250000.0,canonical_62.5k,ISO,7,24,0,0,0.0,7,0,0.0,0,0,56046.48,0,0.0
3y,250000.0,canonical_62.5k,VIS,7,24,0,0,0.0,7,0,0.0,0,0,56046.48,0,0.0
3y,250000.0,canonical_62.5k,GOV,7,24,0,0,0.0,7,0,0.0,0,0,56046.48,0,0.0
3y,250000.0,today_78.6k,ISO,7,24,0,0,0.0,7,0,0.0,0,0,72059.76000000001,0,0.0
3y,250000.0,today_78.6k,VIS,7,24,0,0,0.0,7,0,0.0,0,0,72059.76000000001,0,0.0
3y,250000.0,today_78.6k,GOV,7,24,0,0,0.0,7,0,0.0,0,0,72059.76000000001,0,0.0
19y,37000.0,canonical_62.5k,ISO,35,77,30,0,88964.9686349566,35,0,0.0,35,42,82375.83019067945,0,0.0
19y,37000.0,canonical_62.5k,VIS,35,71,36,0,119740.55387425394,35,0,0.0,35,0,82375.83019067945,6,30776.0
19y,37000.0,canonical_62.5k,GOV,35,77,30,0,88964.9686349566,0,35,1165311.9300000002,0,0,22001.0933686857,0,0.0
19y,37000.0,today_78.6k,ISO,35,77,30,0,88964.9686349566,35,0,0.0,35,42,97469.85019067946,0,0.0
19y,37000.0,today_78.6k,VIS,35,71,36,0,119740.55387425394,35,0,0.0,35,0,97469.85019067946,6,30776.0
19y,37000.0,today_78.6k,GOV,35,77,30,0,88964.9686349566,0,35,1459665.8800000001,0,0,22001.0933686857,0,0.0
19y,90000.0,canonical_62.5k,ISO,35,77,0,30,88964.9686349566,35,0,0.0,0,0,82375.83019067945,0,0.0
19y,90000.0,canonical_62.5k,VIS,35,71,5,31,119740.55387425394,35,0,0.0,0,0,82375.83019067945,6,30776.0
19y,90000.0,canonical_62.5k,GOV,35,77,0,30,88964.9686349566,0,35,1165311.9300000002,0,0,22001.0933686857,0,0.0
19y,90000.0,today_78.6k,ISO,35,77,0,30,88964.9686349566,35,0,0.0,1,8,97469.85019067946,0,0.0
19y,90000.0,today_78.6k,VIS,35,71,8,28,119740.55387425394,35,0,0.0,2,0,97469.85019067946,6,30776.0
19y,90000.0,today_78.6k,GOV,35,77,0,30,88964.9686349566,0,35,1459665.8800000001,0,0,22001.0933686857,0,0.0
19y,152000.0,canonical_62.5k,ISO,35,107,0,0,0.0,35,0,0.0,0,0,82375.83019067945,0,0.0
19y,152000.0,canonical_62.5k,VIS,35,99,0,8,36015.761911390386,35,0,0.0,0,0,82375.83019067945,8,36016.0
19y,152000.0,canonical_62.5k,GOV,35,100,0,7,37338.02224643749,32,3,189339.63,0,0,62413.74,7,37338.0
19y,152000.0,today_78.6k,ISO,35,107,0,0,0.0,35,0,0.0,0,0,97469.85019067946,0,0.0
19y,152000.0,today_78.6k,VIS,35,99,0,8,36015.761911390386,35,0,0.0,0,0,97469.85019067946,8,36016.0
19y,152000.0,today_78.6k,GOV,35,100,0,7,37338.02224643749,32,3,243758.76,0,0,78595.08,7,37338.0
19y,250000.0,canonical_62.5k,ISO,35,107,0,0,0.0,35,0,0.0,0,0,82375.83019067945,0,0.0
19y,250000.0,canonical_62.5k,VIS,35,106,0,1,-1322.2603350470986,35,0,0.0,0,0,82375.83019067945,1,-1322.0
19y,250000.0,canonical_62.5k,GOV,35,106,0,1,-1322.2603350470986,35,0,0.0,0,0,82375.83019067945,1,-1322.0
19y,250000.0,today_78.6k,ISO,35,107,0,0,0.0,35,0,0.0,0,0,97469.85019067946,0,0.0
19y,250000.0,today_78.6k,VIS,35,106,0,1,-1322.2603350470986,35,0,0.0,0,0,97469.85019067946,1,-1322.0
19y,250000.0,today_78.6k,GOV,35,106,0,1,-1322.2603350470986,35,0,0.0,0,0,97469.85019067946,1,-1322.0
