q042_entry,q042_exit,q042_pnl_prod,q042_n_ct,hv_strategy,hv_entry,hv_exit,hv_pnl_research,overlap_days,strict_aftermath,era,both_neg
2007-07-27,2007-08-27,-61419.0,38,Iron Condor (High Vol),2007-08-20,2007-09-18,4814.0,8,True,pre2020,False
2007-07-27,2007-08-27,-61419.0,38,Iron Condor (High Vol),2007-08-21,2007-09-20,4603.0,7,True,pre2020,False
2007-10-22,2007-11-21,-61171.0,33,Iron Condor (High Vol),2007-11-02,2007-12-06,12849.0,20,False,pre2020,False
2007-10-22,2007-11-21,-61171.0,33,Iron Condor (High Vol),2007-11-13,2007-12-06,4936.0,9,True,pre2020,False
2015-08-21,2015-09-21,-62074.0,27,Iron Condor (High Vol),2015-08-26,2015-09-10,4660.0,16,True,pre2020,False
2015-08-21,2015-09-21,-62074.0,27,Iron Condor (High Vol),2015-08-27,2015-09-15,4536.0,20,True,pre2020,False
2015-08-21,2015-09-21,-62074.0,27,Iron Condor (High Vol),2015-09-10,2015-10-02,5295.0,12,True,pre2020,False
2018-02-06,2018-03-08,69133.0,20,Iron Condor (High Vol),2018-02-07,2018-02-22,6228.0,16,True,pre2020,False
2018-02-06,2018-03-08,69133.0,20,Iron Condor (High Vol),2018-02-08,2018-02-23,6343.0,16,True,pre2020,False
2020-02-25,2020-03-26,-60690.0,15,Iron Condor (High Vol),2020-03-02,2020-04-03,-6721.0,25,True,post2020,True
2020-02-25,2020-03-26,-60690.0,15,Iron Condor (High Vol),2020-03-04,2020-04-07,-4325.0,23,True,post2020,True
2020-09-08,2020-10-08,-26945.0,16,Iron Condor (High Vol),2020-08-19,2020-09-23,-42.0,16,False,post2020,True
2020-09-08,2020-10-08,-26945.0,16,Iron Condor (High Vol),2020-08-20,2020-09-24,162.0,17,False,post2020,False
2020-10-20,2020-11-19,57245.0,13,Bull Put Spread (High Vol),2020-11-06,2020-11-23,8848.0,14,True,post2020,False
2020-10-20,2020-11-19,57245.0,13,Iron Condor (High Vol),2020-11-05,2020-11-25,11522.0,15,True,post2020,False
2020-10-20,2020-11-19,57245.0,13,Iron Condor (High Vol),2020-11-09,2020-11-27,10790.0,11,True,post2020,False
2021-03-05,2021-04-05,54618.0,12,Bull Put Spread (High Vol),2021-02-18,2021-03-10,3666.0,6,False,post2020,False
2021-03-05,2021-04-05,54618.0,12,Iron Condor (High Vol),2021-03-05,2021-03-22,11133.0,18,True,post2020,False
2021-03-05,2021-04-05,54618.0,12,Iron Condor (High Vol),2021-03-08,2021-03-22,11155.0,15,True,post2020,False
2021-03-05,2021-04-05,54618.0,12,Bull Put Spread (High Vol),2021-03-10,2021-03-26,10432.0,17,True,post2020,False
2021-05-13,2021-06-14,59624.0,12,Bull Put Spread (High Vol),2021-05-19,2021-06-03,10287.0,16,False,post2020,False
2021-12-02,2022-01-03,61469.0,11,Iron Condor (High Vol),2021-12-02,2021-12-16,5368.0,15,True,post2020,False
2021-12-02,2022-01-03,61469.0,11,Iron Condor (High Vol),2021-12-20,2022-01-12,11609.0,15,False,post2020,False
2022-01-19,2022-02-18,-62160.0,11,Iron Condor (High Vol),2022-01-28,2022-02-16,4309.0,20,True,post2020,False
2022-01-19,2022-02-18,-62160.0,11,Iron Condor (High Vol),2022-01-31,2022-03-07,-1031.0,19,True,post2020,True
2022-01-19,2022-02-18,-62160.0,11,Iron Condor (High Vol),2022-02-16,2022-03-18,5050.0,3,True,post2020,False
2024-07-25,2024-08-26,68246.0,9,Iron Condor (High Vol),2024-08-06,2024-08-20,4791.0,15,True,post2020,False
2024-07-25,2024-08-26,68246.0,9,Iron Condor (High Vol),2024-08-07,2024-08-27,4604.0,20,True,post2020,False
2025-11-21,2025-12-22,55954.0,7,Iron Condor (High Vol),2025-11-17,2025-12-02,11682.0,12,False,post2020,False
2026-03-13,2026-04-13,58959.0,7,Iron Condor (High Vol),2026-03-09,2026-04-06,4542.0,25,True,post2020,False
2026-03-13,2026-04-13,58959.0,7,Iron Condor (High Vol),2026-03-10,2026-04-08,6083.0,27,True,post2020,False
