entry_date,exit_date,strategy,family,hv,era,entry_delta_pershare,contracts,exit_pnl,delta_pnl,residual,fidelity_err
2000-01-11,2000-02-01,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1002,17.1301,-2073.93,-1630.25,-443.68,0.0
2000-02-03,2000-03-03,Iron Condor (High Vol),IC,HV,pre2020,-0.0022,13.9472,11733.59,7225.76,4507.83,0.0
2000-02-07,2000-03-03,Iron Condor (High Vol),IC,HV,pre2020,-0.0026,13.4955,11696.38,6783.07,4913.31,0.0
2000-02-29,2000-03-22,Bear Call Spread (High Vol),BCS,HV,pre2020,-0.1003,11.9211,-20706.3,-19127.96,-1578.35,0.0
2000-03-09,2000-04-12,Iron Condor (High Vol),IC,HV,pre2020,0.0005,14.4808,34.7,6570.58,-6535.88,0.0
2000-03-23,2000-04-12,Bull Put Spread (High Vol),BPS,HV,pre2020,0.099,16.4415,-13289.99,-10895.33,-2394.66,0.0
2000-03-15,2000-04-18,Iron Condor (High Vol),IC,HV,pre2020,-0.001,14.1975,5087.35,16590.4,-11503.05,0.0
2000-04-12,2000-05-03,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1014,13.1873,-5505.65,-1522.13,-3983.51,0.0
2000-04-13,2000-05-12,Iron Condor (High Vol),IC,HV,pre2020,0.0001,10.1599,11147.8,9180.41,1967.38,0.0
2000-04-18,2000-05-15,Iron Condor (High Vol),IC,HV,pre2020,-0.0421,7.018,4435.34,2798.22,1637.13,0.0
2000-06-05,2000-06-23,Bull Put Spread (High Vol),BPS,HV,pre2020,0.0991,16.7764,67.58,-2118.3,2185.88,0.0
2000-06-06,2000-06-29,Iron Condor (High Vol),IC,HV,pre2020,-0.0001,13.1295,11157.88,2648.32,8509.55,0.0
2000-06-08,2000-06-30,Iron Condor (High Vol),IC,HV,pre2020,0.0003,13.5748,11207.91,3073.55,8134.36,0.0
2000-06-26,2000-07-11,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1011,16.7775,8699.84,5341.19,3358.66,0.0
2000-08-14,2000-09-15,Bull Call Diagonal,BCD,nonHV,pre2020,0.4012,2.5892,-2945.24,-3190.22,244.98,0.0
2000-10-03,2000-11-06,Iron Condor,IC,nonHV,pre2020,0.0002,15.2815,9338.98,7881.78,1457.2,0.0
2000-10-16,2000-11-14,Iron Condor (High Vol),IC,HV,pre2020,-0.0386,7.0961,4667.26,2640.49,2026.77,0.0
2000-10-19,2000-11-16,Iron Condor (High Vol),IC,HV,pre2020,-0.0383,7.7452,4600.85,2428.34,2172.51,0.0
2001-01-24,2001-02-13,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1011,18.2375,-5782.21,-8859.51,3077.31,0.0
2001-01-25,2001-03-01,Iron Condor (High Vol),IC,HV,pre2020,0.0017,14.742,-13253.03,-14296.54,1043.51,0.0
2001-01-26,2001-03-02,Iron Condor (High Vol),IC,HV,pre2020,-0.001,14.4385,-13632.71,-14325.05,692.34,0.0
2001-02-16,2001-03-09,Bear Call Spread (High Vol),BCS,HV,pre2020,-0.0999,13.3175,7130.54,7985.51,-854.96,0.0
2001-03-09,2001-03-23,Bear Call Spread (High Vol),BCS,HV,pre2020,-0.1002,11.8924,6963.76,9989.05,-3025.29,0.0
2001-03-06,2001-04-09,Iron Condor (High Vol),IC,HV,pre2020,-0.0001,13.4886,-10687.54,-5713.16,-4974.39,0.0
2001-05-23,2001-06-13,Bull Put Spread (High Vol),BPS,HV,pre2020,0.102,19.0615,-7257.51,-9926.47,2668.97,0.0
2001-05-30,2001-06-21,Iron Condor (High Vol),IC,HV,pre2020,0.0011,15.7642,11127.59,2833.5,8294.09,0.0
2001-05-29,2001-07-02,Iron Condor (High Vol),IC,HV,pre2020,0.0004,16.0535,12159.39,3031.96,9127.43,0.0
2001-06-14,2001-07-06,Bear Call Spread (High Vol),BCS,HV,pre2020,-0.1018,13.3142,7207.0,3722.26,3484.74,0.0
2001-07-09,2001-08-08,Bear Call Spread (High Vol),BCS,HV,pre2020,-0.0998,14.2746,7185.94,3258.75,3927.19,0.0
2001-08-08,2001-08-28,Bear Call Spread (High Vol),BCS,HV,pre2020,-0.1004,14.5468,6054.03,3598.04,2455.99,0.0
2001-08-28,2001-09-19,Bear Call Spread (High Vol),BCS,HV,pre2020,-0.0996,15.0808,6189.9,14621.34,-8431.44,0.0
2001-09-27,2001-10-31,Iron Condor (High Vol),IC,HV,pre2020,-0.0405,7.3215,4341.84,-471.26,4813.1,0.0
2001-09-28,2001-11-01,Iron Condor (High Vol),IC,HV,pre2020,-0.0409,7.5474,3984.56,-92.2,4076.76,0.0
2001-10-26,2001-11-13,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1012,17.9809,10118.43,7034.47,3083.97,0.0
2001-11-01,2001-11-21,Iron Condor (High Vol),IC,HV,pre2020,0.0016,12.1126,10977.34,-1068.32,12045.65,0.0
2001-11-09,2001-12-07,Iron Condor (High Vol),IC,HV,pre2020,-0.0009,13.8647,10906.31,1735.82,9170.49,0.0
2002-01-02,2002-01-23,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1007,20.968,-1223.13,-4791.9,3568.77,0.0
