start,end,len_td
2000-01-03,2000-01-27,18
2000-03-16,2000-04-12,20
2000-04-18,2000-05-09,15
2000-05-30,2000-07-12,31
2000-07-21,2000-08-16,19
2000-08-17,2000-09-15,21
2000-09-18,2000-10-09,16
2000-10-19,2000-11-10,17
2000-11-16,2000-12-14,20
2000-12-22,2001-01-22,19
2001-01-23,2001-02-15,18
2001-04-18,2001-05-15,20
2001-05-22,2001-06-12,15
2001-06-13,2001-07-10,19
2001-07-11,2001-08-20,29
2001-10-02,2001-11-05,25
2001-11-06,2002-01-28,56
2002-01-29,2002-03-01,23
2002-03-04,2002-04-10,27
2002-04-23,2002-05-16,18
2002-10-17,2002-11-08,17
2002-11-14,2002-12-06,16
2002-12-09,2003-01-03,18
2003-02-04,2003-03-07,23
2003-03-24,2003-04-16,18
2003-04-17,2003-05-09,16
2003-05-30,2003-08-29,65
2003-09-02,2003-10-13,30
2003-10-14,2003-12-17,46
2003-12-18,2004-01-20,21
2004-01-21,2004-03-19,42
2004-03-25,2004-05-07,31
2004-05-10,2004-06-04,19
2004-06-07,2004-07-22,32
2004-07-23,2004-09-01,29
2004-09-02,2004-11-03,44
2004-11-04,2005-03-03,82
2005-03-04,2005-03-28,16
2005-03-29,2005-05-25,42
2005-05-26,2005-10-11,96
2005-10-12,2005-11-16,26
2005-11-17,2006-03-16,81
2006-03-17,2006-05-22,46
2006-06-05,2006-08-15,51
2006-08-16,2006-10-11,40
2006-10-12,2007-01-23,69
2007-01-24,2007-03-01,26
2007-03-02,2007-04-05,25
2007-04-09,2007-05-15,27
2007-05-16,2007-07-26,50
2007-08-17,2007-09-17,21
2007-09-18,2007-11-06,36
2007-11-28,2008-01-03,25
2008-02-04,2008-03-05,22
2008-03-20,2008-04-17,20
2008-04-18,2008-06-10,37
2008-07-16,2008-08-08,18
2008-08-11,2008-09-03,17
2009-04-09,2009-04-30,15
2009-05-28,2009-06-19,17
2009-07-23,2009-08-20,21
2009-08-21,2009-09-11,15
2009-09-14,2009-10-13,22
2009-11-05,2009-12-23,34
2009-12-24,2010-01-21,18
2010-01-22,2010-02-26,25
2010-03-01,2010-03-22,16
2010-03-23,2010-05-05,31
2010-05-20,2010-06-14,17
2010-07-08,2010-07-30,17
2010-08-11,2010-09-02,17
2010-09-08,2010-10-04,19
2010-10-05,2010-11-03,22
2010-11-04,2010-12-09,25
2010-12-10,2011-01-26,32
2011-01-27,2011-02-17,16
2011-02-18,2011-03-15,17
2011-03-17,2011-04-25,27
2011-04-26,2011-06-03,28
2011-06-06,2011-06-30,19
2011-07-01,2011-07-29,20
2011-10-31,2011-11-18,15
2011-11-30,2011-12-30,22
2012-01-03,2012-02-02,22
2012-02-03,2012-03-23,35
2012-03-26,2012-05-11,34
2012-05-14,2012-06-15,24
2012-06-18,2012-07-26,28
2012-07-27,2012-09-06,29
2012-09-07,2012-11-07,42
2012-11-08,2012-12-10,22
2012-12-11,2013-01-16,25
2013-01-17,2013-03-13,38
2013-03-14,2013-05-06,37
2013-05-07,2013-06-21,33
2013-06-26,2013-07-17,15
2013-07-18,2013-09-17,43
2013-09-18,2013-10-17,22
2013-10-18,2013-12-24,47
2013-12-26,2014-01-31,25
2014-02-06,2014-03-03,17
