entry_date,exit_date,strategy,family,hv,era,entry_delta_pershare,contracts,exit_pnl,delta_pnl,residual,fidelity_err,in_ep,pos,tercile
2000-01-11,2000-02-01,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1002,17.1301,-2073.93,-1630.25,-443.68,0.0,True,0.5605046438491942,mid
2000-03-23,2000-04-12,Bull Put Spread (High Vol),BPS,HV,pre2020,0.099,16.4415,-13289.99,-10895.33,-2394.66,0.0,True,1.0,top
2000-04-12,2000-05-03,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1014,13.1873,-5505.65,-1522.13,-3983.51,0.0,True,0.0,bottom
2000-06-05,2000-06-23,Bull Put Spread (High Vol),BPS,HV,pre2020,0.0991,16.7764,67.58,-2118.3,2185.88,0.0,True,0.9068665124850511,top
2000-06-26,2000-07-11,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1011,16.7775,8699.84,5341.19,3358.66,0.0,True,0.31064851881505207,bottom
2000-08-14,2000-09-15,Bull Call Diagonal,BCD,nonHV,pre2020,0.4012,2.5892,-2945.24,-3190.22,244.98,0.0,True,1.0,top
2001-01-24,2001-02-13,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1011,18.2375,-5782.21,-8859.51,3077.31,0.0,True,1.0,top
2001-05-23,2001-06-13,Bull Put Spread (High Vol),BPS,HV,pre2020,0.102,19.0615,-7257.51,-9926.47,2668.97,0.0,True,0.6459211085947355,mid
2001-10-26,2001-11-13,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1012,17.9809,10118.43,7034.47,3083.97,0.0,True,1.0,top
2002-01-02,2002-01-23,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1007,20.968,-1223.13,-4791.9,3568.77,0.0,True,0.8475030414962695,top
2002-03-22,2002-04-09,Bull Call Diagonal,BCD,nonHV,pre2020,0.3985,3.4128,-3840.1,-4239.17,399.08,0.0,True,0.1060014051972078,bottom
2002-10-21,2002-11-06,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1007,19.2603,9389.47,5024.1,4365.37,0.0,True,1.0,top
2002-11-06,2002-11-21,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1008,20.1685,10187.08,4455.12,5731.96,0.0,True,1.0,top
2003-06-09,2003-06-26,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1002,25.3678,8714.86,5661.1,3053.76,0.0,True,0.7981818623125213,top
2003-07-25,2003-08-05,Bull Call Diagonal,BCD,nonHV,pre2020,0.3975,3.9353,-3263.99,-5002.42,1738.44,0.0,True,0.6845722500588493,top
2003-08-19,2003-09-23,Bull Call Diagonal,BCD,nonHV,pre2020,0.3978,3.8887,5498.04,4578.56,919.48,0.0,True,1.0,top
2003-10-13,2003-11-14,Bull Call Diagonal,BCD,nonHV,pre2020,0.3974,3.7807,980.35,914.0,66.35,0.0,True,1.0,top
2003-11-14,2003-12-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.3973,3.9059,7065.09,6702.95,362.14,0.0,True,0.6891344786081628,top
2003-12-19,2004-01-27,Bull Call Diagonal,BCD,nonHV,pre2020,0.4002,3.8503,9385.78,8289.49,1096.29,0.0,True,0.982740808264965,top
2004-01-27,2004-03-02,Bull Call Diagonal,BCD,nonHV,pre2020,0.4002,3.9065,888.34,1086.09,-197.75,0.0,True,0.6685230396379716,top
2004-03-02,2004-03-10,Bull Call Diagonal,BCD,nonHV,pre2020,0.4022,3.9888,-2404.77,-3967.82,1563.05,0.0,True,0.5361535192389421,mid
2004-04-02,2004-04-20,Bull Call Diagonal,BCD,nonHV,pre2020,0.4012,3.813,-3511.79,-3984.02,472.24,0.0,True,1.0,top
2004-04-23,2004-04-28,Bull Call Diagonal,BCD,nonHV,pre2020,0.4,4.2477,-2140.95,-2999.18,858.23,0.0,True,0.6924739442135068,top
2004-06-01,2004-07-07,Bull Call Diagonal,BCD,nonHV,pre2020,0.401,3.7639,-667.09,-1140.1,473.01,0.0,True,0.9978462073879026,top
2004-09-02,2004-10-07,Bull Call Diagonal,BCD,nonHV,pre2020,0.4039,4.2206,2728.48,3034.88,-306.41,0.0,True,1.0,top
2004-10-07,2004-10-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.3992,4.1583,-4633.83,-4741.34,107.5,0.0,True,0.7041262458892782,top
2004-11-02,2004-11-15,Bull Put Spread,BPS,nonHV,pre2020,0.154,30.6801,21690.81,17323.19,4367.62,0.0,True,1.0,top
2004-10-28,2004-12-02,Bull Call Diagonal,BCD,nonHV,pre2020,0.4003,3.9624,10594.07,10368.68,225.39,0.0,True,1.0,top
2004-12-02,2005-01-06,Bull Call Diagonal,BCD,nonHV,pre2020,0.4006,4.3797,-333.59,-84.73,-248.86,0.0,True,0.9505450492808135,top
2005-01-06,2005-01-13,Bull Call Diagonal,BCD,nonHV,pre2020,0.3983,4.2262,-2207.86,-1916.52,-291.34,0.0,True,0.13921557386447397,bottom
2005-01-18,2005-01-21,Bull Call Diagonal,BCD,nonHV,pre2020,0.3994,4.5266,-4132.5,-5043.27,910.77,0.0,True,0.5132958218927949,mid
2005-02-04,2005-02-22,Bull Call Diagonal,BCD,nonHV,pre2020,0.402,4.9641,-2967.69,-4127.39,1159.7,0.0,True,1.0,top
2005-02-24,2005-03-21,Bull Call Diagonal,BCD,nonHV,pre2020,0.4013,4.8301,-2502.18,-3173.83,671.64,0.0,True,0.6126798653399607,mid
2005-06-10,2005-07-15,Bull Call Diagonal,BCD,nonHV,pre2020,0.4,4.71,6326.56,6557.9,-231.33,0.0,True,0.588271173207983,mid
2005-07-15,2005-08-18,Bull Call Diagonal,BCD,nonHV,pre2020,0.399,5.3074,-388.66,-1725.86,1337.19,0.0,True,1.0,top
2005-11-03,2005-12-08,Bull Call Diagonal,BCD,nonHV,pre2020,0.4011,4.268,7003.38,7061.29,-57.91,0.0,True,1.0,top
2005-12-08,2006-01-13,Bull Call Diagonal,BCD,nonHV,pre2020,0.3999,4.3738,6336.05,6301.24,34.8,0.0,True,0.5123749316500869,mid
2006-01-13,2006-02-07,Bull Call Diagonal,BCD,nonHV,pre2020,0.3992,4.6399,-5255.57,-6314.74,1059.17,0.0,True,0.8568301097807842,top
2006-03-21,2006-04-25,Bull Call Diagonal,BCD,nonHV,pre2020,0.3984,4.4587,895.61,1047.0,-151.38,0.0,True,0.7138773859817905,top
2006-04-25,2006-05-12,Bull Call Diagonal,BCD,nonHV,pre2020,0.3979,4.4005,-783.79,-1855.56,1071.77,0.0,True,0.6256183770249957,mid
2006-08-15,2006-09-19,Bull Call Diagonal,BCD,nonHV,pre2020,0.3977,3.9506,5818.55,5748.04,70.51,0.0,True,1.0,top
2006-09-19,2006-10-23,Bull Call Diagonal,BCD,nonHV,pre2020,0.4011,4.2615,10283.49,9580.57,702.92,0.0,True,0.8696599923593789,top
2006-10-23,2006-11-27,Bull Call Diagonal,BCD,nonHV,pre2020,0.4011,4.3665,1485.44,1223.38,262.06,0.0,True,1.0,top
2006-11-27,2007-01-03,Bull Call Diagonal,BCD,nonHV,pre2020,0.4018,3.9622,6332.93,5911.77,421.16,0.0,True,0.13076381865353326,bottom
2007-01-03,2007-02-07,Bull Call Diagonal,BCD,nonHV,pre2020,0.3969,3.9668,5951.8,6335.95,-384.15,0.0,True,0.35762287422911604,mid
2007-02-07,2007-02-27,Bull Call Diagonal,BCD,nonHV,pre2020,0.4016,4.4413,-2909.45,-9601.83,6692.38,0.0,True,1.0,top
2007-04-17,2007-05-21,Bull Call Diagonal,BCD,nonHV,pre2020,0.4018,3.7556,8714.39,7773.13,941.26,0.0,True,1.0,top
2007-05-21,2007-06-25,Bull Call Diagonal,BCD,nonHV,pre2020,0.4011,3.3307,-2492.12,-4705.14,2213.02,0.0,True,1.0,top
2008-04-10,2008-04-23,Bull Put Spread,BPS,nonHV,pre2020,0.1492,19.7748,11102.03,8616.83,2485.2,0.0,True,0.7908238671454066,top
2008-05-13,2008-06-06,Bull Call Diagonal,BCD,nonHV,pre2020,0.4008,2.7378,-2644.5,-5425.68,2781.18,0.0,True,0.6029223023003258,mid
2009-06-01,2009-06-19,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1006,20.1394,1549.54,-3515.83,5065.37,0.0,True,1.0,top
2009-11-10,2009-11-25,Bull Put Spread (High Vol),BPS,HV,pre2020,0.0999,22.0295,8647.42,4702.92,3944.5,0.0,True,0.9987704997178372,top
2009-11-27,2009-12-14,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1012,20.5162,10015.46,4737.47,5277.99,0.0,True,0.5368972901129735,mid
2009-12-17,2010-01-04,Bull Put Spread (High Vol),BPS,HV,pre2020,0.0988,22.6501,10784.36,7206.96,3577.4,0.0,True,0.2029163046469836,bottom
2010-01-11,2010-01-22,Bull Call Diagonal,BCD,nonHV,pre2020,0.3993,3.4318,-3191.12,-7364.13,4173.01,0.0,True,1.0,top
2010-03-05,2010-04-09,Bull Call Diagonal,BCD,nonHV,pre2020,0.4046,3.4515,8807.21,7677.69,1129.52,0.0,True,1.0,top
2010-04-09,2010-05-06,Bull Call Diagonal,BCD,nonHV,pre2020,0.4017,3.5505,-959.85,-8795.62,7835.77,0.0,True,1.0,top
2010-11-29,2010-12-10,Bull Put Spread,BPS,nonHV,pre2020,0.1504,23.0331,20741.9,14314.46,6427.45,0.0,True,0.20975365789352085,bottom
2010-12-07,2011-01-11,Bull Call Diagonal,BCD,nonHV,pre2020,0.4023,3.1355,7541.67,6624.63,917.04,0.0,True,0.9792977994698089,top
2011-01-11,2011-02-15,Bull Call Diagonal,BCD,nonHV,pre2020,0.3984,3.2158,7941.73,6596.99,1344.74,0.0,True,0.9052791319477257,top
2011-02-15,2011-03-15,Bull Call Diagonal,BCD,nonHV,pre2020,0.4023,3.1514,-2417.16,-6123.63,3706.47,0.0,True,0.9230093242736399,top
2011-03-07,2011-03-18,Bull Put Spread,BPS,nonHV,pre2020,0.151,21.4475,-11911.82,-10781.93,-1129.89,0.0,True,0.10918519547437386,bottom
2011-03-31,2011-04-18,Bull Call Diagonal,BCD,nonHV,pre2020,0.399,2.9526,-3008.62,-2980.33,-28.29,0.0,True,0.96595610052245,top
2011-04-20,2011-05-24,Bull Call Diagonal,BCD,nonHV,pre2020,0.3976,3.4224,-921.65,-2215.48,1293.83,0.0,True,0.8296036331950674,top
2011-05-31,2011-06-03,Bull Call Diagonal,BCD,nonHV,pre2020,0.3988,3.2996,-4831.78,-5806.88,975.1,0.0,True,0.7074344036382204,top
2011-07-01,2011-07-29,Bull Call Diagonal,BCD,nonHV,pre2020,0.4006,3.2212,-1793.57,-6142.7,4349.14,0.0,True,1.0,top
2011-11-11,2011-12-02,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1017,14.8338,3676.22,1239.55,2436.67,0.0,True,0.6820833645467718,top
2011-12-08,2011-12-22,Bull Put Spread (High Vol),BPS,HV,pre2020,0.1008,15.1141,11922.44,4550.66,7371.77,0.0,True,0.7394953773338471,top
2011-12-22,2012-01-06,Bull Put Spread,BPS,nonHV,pre2020,0.1514,21.9872,11556.99,8430.86,3126.14,0.0,True,0.874056675154123,top
2012-02-10,2012-02-24,Bull Put Spread,BPS,nonHV,pre2020,0.1496,20.9859,14565.73,7147.18,7418.54,0.0,True,0.7645433467835301,top
2012-02-02,2012-03-08,Bull Call Diagonal,BCD,nonHV,pre2020,0.4029,2.8886,5847.79,4592.0,1255.79,0.0,True,0.985934048517627,top
2012-03-06,2012-03-19,Bull Put Spread,BPS,nonHV,pre2020,0.1496,21.0398,22574.24,14644.97,7929.27,0.0,True,0.0042127331342338955,bottom
2012-03-08,2012-04-10,Bull Call Diagonal,BCD,nonHV,pre2020,0.3994,2.8328,122.87,-692.86,815.73,0.0,True,0.7338126638595376,top
2012-04-12,2012-04-23,Bull Call Diagonal,BCD,nonHV,pre2020,0.4005,2.8889,-1838.06,-2546.48,708.42,0.0,True,0.4794035625506102,mid
2012-04-26,2012-05-04,Bull Call Diagonal,BCD,nonHV,pre2020,0.3997,3.0154,-2640.4,-3719.57,1079.17,0.0,True,1.0,top
