form,view,n,stat,unit,t,p,ci,bh_crit,fdr_pass
T3,V2_p10tail,39/39,-1.404,pp p10(top-bot),,0.133,"[-3.49,0.21]",0.008333333333333333,False
T3,V1_mean,194,0.842,pp(hi-lo),1.46,0.145811310809575,,0.016666666666666666,False
T4,V2_p10tail,43/138,-0.831,pp p10(top-bot),,0.155,"[-3.29,0.25]",0.025,False
P2,V1_mean,159,0.712,pp(hi-lo),0.97,0.3335940235145405,,0.03333333333333333,False
T2,V2_p10tail,39/39,-0.823,pp p10(top-bot),,0.362,"[-7.02,1.37]",0.04166666666666667,False
P1,V2_p10tail,30/30,-0.747,pp p10(top-bot),,0.383,"[-7.37,1.38]",0.05,False
P1,V1_mean,150,-0.48,pp(hi-lo),-0.68,0.4977840414694039,,0.05833333333333334,False
T1,V2_p10tail,39/39,-0.683,pp p10(top-bot),,0.579,"[-3.21,1.74]",0.06666666666666667,False
P2,V2_p10tail,32/32,3.54,pp p10(top-bot),,0.683,"[-9.14,7.84]",0.07500000000000001,False
T4,V1_mean,194,0.312,pp(hi-lo),0.39,0.7011881330351492,,0.08333333333333334,False
T2,V1_mean,194,0.111,pp(hi-lo),0.19,0.8482547128832084,,0.09166666666666667,False
T1,V1_mean,194,0.082,pp(hi-lo),0.14,0.887027438811683,,0.1,False
