signal,stratum,vix,pricing,cs_pnl,cs_n,cs_debit,bps_pnl,bps_n,bps_credit,bps_maxloss,hold_td,fwd30,bps_wins
2007-02-27,episode,15.420000076293944,HAIRCUT,4573.0,52,1498.0,12741.0,28,455.0,2745.0,22,0.01116708861660154,True
2007-07-26,episode,24.170000076293945,HAIRCUT,-42906.0,51,1520.0,16921.0,19,891.0,4009.0,21,0.005373788103099519,True
2007-10-19,episode,21.63999938964844,HAIRCUT,-78138.0,45,1736.0,-77750.0,20,812.0,3888.0,22,-0.0442333398569108,True
2013-06-20,episode,18.899999618530273,HAIRCUT,101980.0,45,1734.0,14519.0,22,660.0,3440.0,20,0.0627719633302306,False
2013-08-27,episode,16.489999771118164,HAIRCUT,106752.0,46,1679.0,13637.0,23,593.0,3307.0,21,0.03473481945694634,False
2013-10-08,episode,19.600000381469727,HAIRCUT,102989.0,40,1925.0,15613.0,20,781.0,3919.0,22,0.05478749013669093,False
2014-01-29,episode,17.290000915527344,HAIRCUT,107582.0,41,1876.0,14018.0,20,701.0,3799.0,21,0.028726077363974145,False
2014-10-09,episode,21.239999771118164,HAIRCUT,102493.0,36,2153.0,15648.0,16,978.0,4722.0,21,0.06931846439872591,False
2014-12-15,episode,23.56999969482422,HAIRCUT,-7165.0,40,1946.0,16070.0,14,1148.0,5252.0,20,0.023662547493342734,True
2015-01-15,episode,20.950000762939453,HAIRCUT,103171.0,36,2134.0,15774.0,16,986.0,4814.0,20,0.03974402845804681,False
2015-08-20,episode,28.030000686645508,HAIRCUT,-76979.0,35,2199.0,17632.0,12,1469.0,6131.0,20,-0.014282899707665275,True
2015-11-13,episode,18.15999984741211,HAIRCUT,-10691.0,37,2096.0,14362.0,17,845.0,4455.0,21,0.009682556178659762,True
2016-05-19,episode,15.199999809265137,HAIRCUT,36006.0,34,2266.0,12566.0,20,628.0,3772.0,20,0.01782364970665462,False
2016-06-24,episode,23.850000381469727,HAIRCUT,101400.0,36,2183.0,16686.0,14,1192.0,5408.0,21,0.08299760855589278,False
2016-11-02,episode,22.079999923706055,HAIRCUT,102322.0,36,2158.0,16234.0,14,1160.0,5440.0,21,0.05556196494953736,False
2018-02-05,sudden,29.979999542236328,HAIRCUT,32980.0,25,3078.0,17913.0,8,2239.0,9061.0,21,0.016262635659729296,False
2018-10-10,episode,24.979999542236328,HAIRCUT,-76904.0,27,2848.0,16146.0,9,1794.0,7906.0,22,0.019293530685781102,True
2019-05-13,episode,18.059999465942383,HAIRCUT,70356.0,26,2958.0,13858.0,12,1155.0,6145.0,21,0.02019114462740479,False
2019-08-05,episode,20.170000076293945,HAIRCUT,102754.0,24,3219.0,15088.0,11,1372.0,6828.0,21,0.03269864695312408,False
2019-10-02,episode,19.1200008392334,HAIRCUT,103126.0,24,3203.0,14533.0,11,1321.0,6779.0,22,0.0536928553574334,False
2020-02-24,sudden,27.850000381469727,HAIRCUT,-76054.0,23,3307.0,-70598.0,7,2415.0,10085.0,22,-0.20863366285943152,True
2020-09-04,sudden,31.459999084472656,HAIRCUT,94359.0,20,3782.0,18005.0,6,3001.0,11799.0,22,0.02629173405830665,False
2020-10-19,episode,29.350000381469727,HAIRCUT,95093.0,20,3745.0,16999.0,6,2833.0,11567.0,22,0.03620841493524085,False
2021-03-04,episode,24.65999984741211,HAIRCUT,101789.0,18,4345.0,16832.0,7,2405.0,10695.0,20,0.06038615999683805,False
2021-05-12,episode,23.1299991607666,HAIRCUT,100669.0,17,4578.0,17030.0,7,2433.0,11167.0,21,0.034686906344984836,False
2021-09-21,episode,20.8700008392334,HAIRCUT,99828.0,16,4761.0,16069.0,7,2296.0,11104.0,22,0.03506648489031261,False
2021-12-01,episode,27.950000762939453,HAIRCUT,96282.0,15,5081.0,17175.0,5,3435.0,14365.0,21,0.047947380711616194,False
2022-01-18,episode,23.850000381469727,HAIRCUT,-76756.0,16,4797.0,-11411.0,6,2811.0,12689.0,22,-0.03364396259349789,True
2024-04-17,episode,18.0,HAIRCUT,100263.0,14,5338.0,14689.0,7,2098.0,11102.0,22,0.058300319192452266,False
2024-07-24,episode,18.459999084472656,HAIRCUT,100828.0,13,5744.0,13933.0,6,2322.0,12178.0,22,0.04359697124232076,False
2024-09-06,episode,19.450000762939453,HAIRCUT,104050.0,13,5996.0,15149.0,6,2525.0,12875.0,22,0.051193114324243894,False
2025-01-10,episode,19.190000534057617,HAIRCUT,99519.0,12,6207.0,13000.0,5,2600.0,13300.0,21,0.03696741933268122,False
2025-02-27,sudden,19.6299991607666,HAIRCUT,-76673.0,12,6389.0,-69203.0,5,2759.0,13841.0,21,-0.05754469768137538,True
2025-11-20,episode,23.43000030517578,HAIRCUT,103294.0,11,7110.0,15341.0,4,3835.0,17465.0,20,0.046463767747271234,False
2026-03-12,episode,27.190000534057617,HAIRCUT,95578.0,10,7442.0,14044.0,3,4681.0,19919.0,20,0.050539858533541704,False
