start,len_td,drift,crossings,kind,trend_up
2000-01-03,18,-0.85,3,melt_down,True
2000-03-16,20,0.12,6,oscillation,True
2000-04-18,15,-0.43,2,oscillation,True
2000-05-30,31,0.97,7,melt_up,True
2000-07-21,19,-0.0,2,oscillation,False
2000-08-17,21,-0.55,5,melt_down,True
2000-09-18,16,-0.73,5,melt_down,False
2000-10-19,17,-0.34,2,oscillation,False
2000-11-16,20,-0.48,7,oscillation,False
2000-12-22,19,0.57,5,melt_up,False
2001-01-23,18,-0.57,1,melt_down,True
2001-04-18,20,0.19,3,oscillation,True
2001-05-22,15,-0.87,3,melt_down,True
2001-06-13,19,-1.0,5,melt_down,False
2001-07-11,29,-0.15,4,oscillation,False
2001-10-02,25,0.97,5,melt_up,False
2001-11-06,56,0.25,12,oscillation,True
2002-01-29,23,0.6,5,melt_up,False
2002-03-04,27,-0.45,3,oscillation,True
2002-04-23,18,-0.05,6,oscillation,False
2002-10-17,17,0.35,2,oscillation,True
2002-11-14,16,0.19,4,oscillation,True
2002-12-09,18,0.47,7,oscillation,False
2003-02-04,23,-0.57,9,melt_down,False
2003-03-24,18,0.37,7,oscillation,True
2003-04-17,16,0.94,3,melt_up,True
2003-05-30,65,0.92,19,melt_up,True
2003-09-02,30,0.47,4,oscillation,True
2003-10-14,46,0.57,7,melt_up,True
2003-12-18,21,0.97,1,melt_up,True
2004-01-21,42,-0.71,5,melt_down,True
2004-03-25,31,-0.2,4,oscillation,True
2004-05-10,19,0.87,1,melt_up,False
2004-06-07,32,-0.87,1,melt_down,True
2004-07-23,29,0.44,4,oscillation,False
2004-09-02,44,0.51,7,melt_up,True
2004-11-04,82,0.94,15,melt_up,True
2005-03-04,16,-0.89,1,melt_down,False
2005-03-29,42,0.44,5,oscillation,False
2005-05-26,96,-0.21,8,oscillation,True
2005-10-12,26,0.92,3,melt_up,False
2005-11-17,81,1.0,7,melt_up,True
2006-03-17,46,-0.71,7,melt_down,True
2006-06-05,51,0.33,8,oscillation,True
2006-08-16,40,0.9,3,melt_up,True
2006-10-12,69,0.94,5,melt_up,True
2007-01-24,26,-0.61,3,melt_down,True
2007-03-02,25,0.81,1,melt_up,False
2007-04-09,27,0.77,1,melt_up,True
2007-05-16,50,-0.45,14,oscillation,True
2007-08-17,21,0.54,7,melt_up,False
2007-09-18,36,0.01,6,oscillation,True
2007-11-28,25,-0.31,8,oscillation,False
2008-02-04,22,-0.86,7,melt_down,False
2008-03-20,20,0.63,5,melt_up,True
2008-04-18,37,-0.47,12,oscillation,True
2008-07-16,18,0.82,5,melt_up,False
2008-08-11,17,-0.79,7,melt_down,False
2009-04-09,15,0.39,4,oscillation,True
2009-05-28,17,0.37,2,oscillation,True
2009-07-23,21,0.83,3,melt_up,True
2009-08-21,15,0.34,2,oscillation,True
2009-09-14,22,0.47,5,oscillation,True
2009-11-05,34,1.0,9,melt_up,True
2009-12-24,18,-0.28,2,oscillation,True
2010-01-22,25,0.24,4,oscillation,False
2010-03-01,16,0.99,1,melt_up,True
2010-03-23,31,-0.16,6,oscillation,True
2010-05-20,17,0.34,7,oscillation,False
2010-07-08,17,0.63,3,melt_up,False
2010-08-11,17,0.01,2,oscillation,False
2010-09-08,19,0.77,1,melt_up,True
2010-10-05,22,0.93,5,melt_up,True
2010-11-04,25,0.22,2,oscillation,True
2010-12-10,32,0.92,1,melt_up,True
2011-01-27,16,0.64,1,melt_up,True
2011-02-18,17,-1.0,7,melt_down,True
2011-03-17,27,0.97,3,melt_up,True
2011-04-26,28,-0.74,5,melt_down,True
2011-06-06,19,0.62,3,melt_up,False
2011-07-01,20,-0.78,3,melt_down,False
2011-10-31,15,-0.62,5,melt_down,True
2011-11-30,22,0.18,4,oscillation,False
2012-01-03,22,0.99,1,melt_up,True
2012-02-03,35,0.78,1,melt_up,True
2012-03-26,34,-0.96,7,melt_down,False
2012-05-14,24,0.07,6,oscillation,False
2012-06-18,28,0.24,7,oscillation,True
2012-07-27,29,0.69,1,melt_up,True
2012-09-07,42,-0.61,5,melt_down,True
2012-11-08,22,0.63,1,melt_up,False
2012-12-11,25,0.64,5,melt_up,False
2013-01-17,38,0.98,3,melt_up,True
2013-03-14,37,0.72,3,melt_up,True
2013-05-07,33,-0.41,10,oscillation,True
2013-06-26,15,0.98,1,melt_up,True
2013-07-18,43,0.19,2,oscillation,False
2013-09-18,22,0.1,6,oscillation,False
2013-10-18,47,1.0,7,melt_up,True
2013-12-26,25,-0.8,1,melt_down,True
2014-02-06,17,0.84,1,melt_up,True
2014-03-04,58,0.31,10,oscillation,False
2014-05-27,71,0.91,5,melt_up,True
2014-09-05,25,-0.96,3,melt_down,True
2014-10-23,18,1.0,1,melt_up,True
2014-11-18,19,-0.73,3,melt_down,True
2014-12-17,39,0.77,9,melt_up,False
2015-02-13,131,-0.64,19,melt_down,True
2015-08-26,22,-0.11,8,oscillation,False
2015-10-05,17,0.83,3,melt_up,True
