trigger,window_td,resid_band_pct,slope_pct_yr,channel_holds
2018-02-05,15,4.3,17.0,True
2018-02-05,20,4.8,42.0,True
2018-02-05,30,5.2,59.0,False
2020-02-24,15,2.8,63.0,True
2020-02-24,20,3.2,55.0,True
2020-02-24,30,4.0,25.0,True
2020-09-04,15,4.0,93.0,True
2020-09-04,20,4.0,76.0,True
2020-09-04,30,4.0,78.0,True
2025-02-27,15,2.7,-24.0,True
2025-02-27,20,3.0,-5.0,True
2025-02-27,30,4.4,9.0,True
break_2025-08-13,30,2.9,,True
break_2025-10-01,30,2.0,,True
break_2025-10-28,30,4.2,,True
break_2025-11-20,30,5.5,,False
break_2026-01-06,30,3.4,,True
break_2026-03-13,30,3.4,,True
break_2026-05-05,30,5.4,,False
