brk,dir,poke_pct,dd20_pct,ret20_pct
1999-02-09,down,-0.74,0.0,5.8
1999-03-08,up,0.57,-1.6,2.7
1999-04-07,up,0.44,-2.8,1.5
1999-05-25,down,-1.67,-0.2,3.8
1999-06-21,up,0.46,-2.5,2.1
1999-07-26,down,-0.27,-4.9,0.9
1999-08-23,up,1.19,-3.9,-3.9
1999-09-21,down,-0.79,-4.6,-3.5
1999-12-03,up,0.59,-2.1,1.5
2000-01-28,down,-2.75,-2.0,-0.9
2000-04-13,down,-1.11,-5.8,-1.4
2000-05-10,down,-1.88,-0.7,5.7
2000-07-13,up,0.2,-5.1,-2.4
2000-08-17,up,0.3,-2.0,-2.0
2000-09-18,down,-1.45,-7.9,-4.8
2000-10-10,down,-1.07,-4.1,3.2
2000-11-13,down,-0.97,-2.7,1.5
2000-12-15,down,-0.21,-3.6,1.3
2001-01-23,up,0.92,-7.7,-7.7
2001-02-16,down,-1.01,-11.6,-10.0
2001-05-16,up,1.39,-5.1,-5.1
2001-06-13,down,-0.52,-4.9,-2.7
2001-07-11,down,-0.11,-0.7,0.3
2001-08-21,down,-0.41,-16.5,-12.5
2001-11-06,up,1.29,-0.3,4.6
2002-01-29,down,-1.36,-1.9,0.8
2002-03-04,up,1.95,-1.9,-1.5
2002-04-11,down,-1.26,-4.9,-2.8
2002-05-17,up,0.51,-9.0,-6.4
2002-11-11,down,-0.34,0.0,3.2
2002-12-09,down,-0.53,-1.9,2.0
2003-01-06,up,2.04,-9.1,-8.7
2003-03-10,down,-1.21,-0.8,9.0
2003-04-17,up,0.31,-0.2,5.7
2003-05-12,up,1.15,-2.7,4.2
2003-09-02,up,1.02,-2.5,-2.5
2003-10-14,up,0.4,-2.0,-0.3
2003-12-18,up,1.18,-0.0,4.6
2004-01-21,up,0.68,-1.8,-0.0
2004-03-22,down,-0.82,-0.4,2.1
2004-05-10,down,-1.05,-0.3,5.1
2004-06-07,up,1.37,-2.1,-1.9
2004-07-23,down,-0.7,-2.1,1.1
2004-09-02,up,0.95,-1.3,1.2
2004-11-04,up,1.62,0.0,2.5
