date,kind,struct,pricing,pnl,stride45
2000-01-03,melt_down,IC,FLAT,1219.0,True
2000-01-03,melt_down,IC,HAIRCUT,734.0,True
2000-01-03,melt_down,BPS,FLAT,919.0,True
2000-01-03,melt_down,BPS,HAIRCUT,630.0,True
2000-01-10,melt_down,IC,FLAT,106.0,False
2000-01-10,melt_down,IC,HAIRCUT,-368.0,False
2000-01-10,melt_down,BPS,FLAT,417.0,False
2000-01-10,melt_down,BPS,HAIRCUT,129.0,False
2000-01-18,melt_down,IC,FLAT,1064.0,False
2000-01-18,melt_down,IC,HAIRCUT,584.0,False
2000-01-18,melt_down,BPS,FLAT,-1696.0,False
2000-01-18,melt_down,BPS,HAIRCUT,-1991.0,False
2000-01-25,melt_down,IC,FLAT,1120.0,False
2000-01-25,melt_down,IC,HAIRCUT,653.0,False
2000-01-25,melt_down,BPS,FLAT,-554.0,False
2000-01-25,melt_down,BPS,HAIRCUT,-834.0,False
2000-03-16,oscillation,IC,FLAT,1010.0,True
2000-03-16,oscillation,IC,HAIRCUT,546.0,True
2000-03-16,oscillation,BPS,FLAT,-3282.0,True
2000-03-16,oscillation,BPS,HAIRCUT,-3570.0,True
2000-03-23,oscillation,IC,FLAT,1125.0,False
2000-03-23,oscillation,IC,HAIRCUT,636.0,False
2000-03-23,oscillation,BPS,FLAT,-3582.0,False
2000-03-23,oscillation,BPS,HAIRCUT,-3877.0,False
2000-03-30,oscillation,IC,FLAT,1262.0,False
2000-03-30,oscillation,IC,HAIRCUT,783.0,False
2000-03-30,oscillation,BPS,FLAT,1258.0,False
2000-03-30,oscillation,BPS,HAIRCUT,969.0,False
2000-04-06,oscillation,IC,FLAT,1363.0,False
2000-04-06,oscillation,IC,HAIRCUT,878.0,False
2000-04-06,oscillation,BPS,FLAT,-507.0,False
2000-04-06,oscillation,BPS,HAIRCUT,-798.0,False
2000-04-18,oscillation,IC,FLAT,1264.0,True
2000-04-18,oscillation,IC,HAIRCUT,793.0,True
2000-04-18,oscillation,BPS,FLAT,1285.0,True
2000-04-18,oscillation,BPS,HAIRCUT,998.0,True
2000-04-26,oscillation,IC,FLAT,1322.0,False
2000-04-26,oscillation,IC,HAIRCUT,842.0,False
2000-04-26,oscillation,BPS,FLAT,-1933.0,False
2000-04-26,oscillation,BPS,HAIRCUT,-2230.0,False
2000-05-03,oscillation,IC,FLAT,1504.0,False
2000-05-03,oscillation,IC,HAIRCUT,1038.0,False
2000-05-03,oscillation,BPS,FLAT,1540.0,False
2000-05-03,oscillation,BPS,HAIRCUT,1258.0,False
2000-05-30,melt_up,IC,FLAT,1148.0,True
2000-05-30,melt_up,IC,HAIRCUT,678.0,True
2000-05-30,melt_up,BPS,FLAT,1173.0,True
2000-05-30,melt_up,BPS,HAIRCUT,884.0,True
2000-06-06,melt_up,IC,FLAT,1138.0,False
2000-06-06,melt_up,IC,HAIRCUT,657.0,False
2000-06-06,melt_up,BPS,FLAT,1125.0,False
2000-06-06,melt_up,BPS,HAIRCUT,836.0,False
2000-06-13,melt_up,IC,FLAT,1086.0,False
2000-06-13,melt_up,IC,HAIRCUT,602.0,False
2000-06-13,melt_up,BPS,FLAT,1071.0,False
2000-06-13,melt_up,BPS,HAIRCUT,780.0,False
2000-06-20,melt_up,IC,FLAT,1048.0,False
2000-06-20,melt_up,IC,HAIRCUT,564.0,False
2000-06-20,melt_up,BPS,FLAT,1027.0,False
2000-06-20,melt_up,BPS,HAIRCUT,734.0,False
2000-06-27,melt_up,IC,FLAT,1070.0,False
2000-06-27,melt_up,IC,HAIRCUT,593.0,False
2000-06-27,melt_up,BPS,FLAT,1079.0,False
2000-06-27,melt_up,BPS,HAIRCUT,790.0,False
2000-07-05,melt_up,IC,FLAT,1041.0,False
2000-07-05,melt_up,IC,HAIRCUT,564.0,False
2000-07-05,melt_up,BPS,FLAT,1054.0,False
2000-07-05,melt_up,BPS,HAIRCUT,760.0,False
2000-07-12,melt_up,IC,FLAT,1027.0,False
2000-07-12,melt_up,IC,HAIRCUT,535.0,False
2000-07-12,melt_up,BPS,FLAT,1047.0,False
2000-07-12,melt_up,BPS,HAIRCUT,743.0,False
2000-07-21,oscillation,IC,FLAT,950.0,True
2000-07-21,oscillation,IC,HAIRCUT,478.0,True
2000-07-21,oscillation,BPS,FLAT,925.0,True
2000-07-21,oscillation,BPS,HAIRCUT,639.0,True
2000-07-28,oscillation,IC,FLAT,981.0,False
2000-07-28,oscillation,IC,HAIRCUT,529.0,False
2000-07-28,oscillation,BPS,FLAT,970.0,False
2000-07-28,oscillation,BPS,HAIRCUT,696.0,False
2000-08-04,oscillation,IC,FLAT,915.0,False
2000-08-04,oscillation,IC,HAIRCUT,450.0,False
2000-08-04,oscillation,BPS,FLAT,889.0,False
2000-08-04,oscillation,BPS,HAIRCUT,607.0,False
2000-08-11,oscillation,IC,FLAT,908.0,False
2000-08-11,oscillation,IC,HAIRCUT,443.0,False
2000-08-11,oscillation,BPS,FLAT,873.0,False
2000-08-11,oscillation,BPS,HAIRCUT,595.0,False
2000-08-17,melt_down,IC,FLAT,873.0,True
2000-08-17,melt_down,IC,HAIRCUT,402.0,True
2000-08-17,melt_down,BPS,FLAT,864.0,True
2000-08-17,melt_down,BPS,HAIRCUT,575.0,True
2000-08-24,melt_down,IC,FLAT,-1473.0,False
2000-08-24,melt_down,IC,HAIRCUT,-1944.0,False
2000-08-24,melt_down,BPS,FLAT,-2084.0,False
2000-08-24,melt_down,BPS,HAIRCUT,-2375.0,False
2000-08-31,melt_down,IC,FLAT,-2549.0,False
2000-08-31,melt_down,IC,HAIRCUT,-3028.0,False
2000-08-31,melt_down,BPS,FLAT,-2683.0,False
2000-08-31,melt_down,BPS,HAIRCUT,-2974.0,False
2000-09-08,melt_down,IC,FLAT,-695.0,False
2000-09-08,melt_down,IC,HAIRCUT,-1176.0,False
2000-09-08,melt_down,BPS,FLAT,-2979.0,False
2000-09-08,melt_down,BPS,HAIRCUT,-3269.0,False
2000-09-15,melt_down,IC,FLAT,915.0,False
2000-09-15,melt_down,IC,HAIRCUT,443.0,False
2000-09-15,melt_down,BPS,FLAT,-2829.0,False
2000-09-15,melt_down,BPS,HAIRCUT,-3111.0,False
2000-09-18,melt_down,IC,FLAT,1002.0,True
2000-09-18,melt_down,IC,HAIRCUT,521.0,True
2000-09-18,melt_down,BPS,FLAT,-3198.0,True
2000-09-18,melt_down,BPS,HAIRCUT,-3491.0,True
2000-09-25,melt_down,IC,FLAT,1062.0,False
2000-09-25,melt_down,IC,HAIRCUT,580.0,False
2000-09-25,melt_down,BPS,FLAT,-2445.0,False
2000-09-25,melt_down,BPS,HAIRCUT,-2736.0,False
2000-10-02,melt_down,IC,FLAT,1058.0,False
2000-10-02,melt_down,IC,HAIRCUT,578.0,False
2000-10-02,melt_down,BPS,FLAT,1067.0,False
2000-10-02,melt_down,BPS,HAIRCUT,775.0,False
2000-10-09,melt_down,IC,FLAT,1146.0,False
2000-10-09,melt_down,IC,HAIRCUT,682.0,False
2000-10-09,melt_down,BPS,FLAT,1184.0,False
2000-10-09,melt_down,BPS,HAIRCUT,898.0,False
2000-10-19,oscillation,IC,FLAT,1165.0,True
2000-10-19,oscillation,IC,HAIRCUT,717.0,True
2000-10-19,oscillation,BPS,FLAT,1158.0,True
2000-10-19,oscillation,BPS,HAIRCUT,883.0,True
2000-10-26,oscillation,IC,FLAT,1317.0,False
2000-10-26,oscillation,IC,HAIRCUT,873.0,False
2000-10-26,oscillation,BPS,FLAT,1297.0,False
