date,day,close,drift,crossings,label
2026-05-26,15,7519.1,1.0,3,melt_up
2026-05-27,16,7520.4,1.0,3,melt_up
2026-05-28,17,7563.6,1.0,5,melt_up
2026-05-29,18,7580.1,1.0,3,melt_up
2026-06-01,19,7600.0,1.0,3,melt_up
2026-06-02,20,7609.8,1.0,3,melt_up
2026-06-03,21,7553.7,0.84,3,melt_up
2026-06-04,22,7584.3,0.93,3,melt_up
2026-06-05,23,7383.7,0.36,4,oscillation
2026-06-08,24,7405.7,0.42,4,oscillation
2026-06-09,25,7386.6,0.36,4,oscillation
2026-06-10,26,7267.0,0.02,4,oscillation
2026-06-11,27,7394.3,0.39,4,oscillation
2026-06-12,28,7431.5,0.49,4,oscillation
2026-06-15,29,7554.3,0.84,5,melt_up
2026-06-16,30,7511.4,0.72,5,melt_up
2026-06-17,31,7420.1,0.46,6,oscillation
2026-06-18,32,7500.6,0.69,7,melt_up
2026-06-22,33,7472.8,0.61,7,melt_up
2026-06-23,34,7365.5,0.3,8,oscillation
2026-06-24,35,7358.2,0.28,8,oscillation
2026-06-25,36,7357.5,0.28,8,oscillation
2026-06-26,37,7354.0,0.27,8,oscillation
2026-06-29,38,7440.4,0.52,9,melt_up
2026-06-30,39,7499.4,0.69,9,melt_up
2026-07-01,40,7483.2,0.64,9,melt_up
2026-07-02,41,7483.2,0.64,9,melt_up
2026-07-06,42,7537.4,0.79,9,melt_up
2026-07-07,43,7503.9,0.7,9,melt_up
2026-07-08,44,7482.7,0.64,9,melt_up
2026-07-09,45,7543.6,0.81,9,melt_up
2026-07-10,46,7575.4,0.9,9,melt_up
