policy,entry,exit,pnl
现任 MA20/50,2000-01-11,2000-02-01,-2073.9298111326902
现任 MA20/50,2000-02-03,2000-03-03,11733.588338224065
现任 MA20/50,2000-02-07,2000-03-03,11696.384128375237
现任 MA20/50,2000-02-29,2000-03-22,-20706.30454975033
现任 MA20/50,2000-03-09,2000-04-12,34.70217120988403
现任 MA20/50,2000-03-23,2000-04-12,-13289.993203059947
现任 MA20/50,2000-03-15,2000-04-18,5087.349348323753
现任 MA20/50,2000-04-12,2000-05-03,-5505.645057780616
现任 MA20/50,2000-04-13,2000-05-12,11147.795180183328
现任 MA20/50,2000-04-18,2000-05-15,4435.344941582582
现任 MA20/50,2000-06-05,2000-06-23,67.57701640744767
现任 MA20/50,2000-06-06,2000-06-29,11157.876781863353
现任 MA20/50,2000-06-08,2000-06-30,11207.91053332798
现任 MA20/50,2000-06-26,2000-07-11,8699.844733563614
现任 MA20/50,2000-08-14,2000-09-15,-2945.2430641017722
现任 MA20/50,2000-10-03,2000-11-06,9338.982181823243
现任 MA20/50,2000-10-16,2000-11-14,4667.262126004263
现任 MA20/50,2000-10-19,2000-11-16,4600.845012495782
现任 MA20/50,2001-01-24,2001-02-13,-5782.205313900239
现任 MA20/50,2001-01-25,2001-03-01,-13253.032036234223
现任 MA20/50,2001-01-26,2001-03-02,-13632.71426320208
现任 MA20/50,2001-02-16,2001-03-09,7130.542939832513
现任 MA20/50,2001-03-09,2001-03-23,6963.758153639103
现任 MA20/50,2001-03-06,2001-04-09,-10687.542161499476
现任 MA20/50,2001-05-23,2001-06-13,-7257.509424741794
现任 MA20/50,2001-05-30,2001-06-21,11127.590979076347
现任 MA20/50,2001-05-29,2001-07-02,12159.386238770074
现任 MA20/50,2001-06-14,2001-07-06,7207.003993450212
现任 MA20/50,2001-07-09,2001-08-08,7185.943664578713
现任 MA20/50,2001-08-08,2001-08-28,6054.030626279039
现任 MA20/50,2001-08-28,2001-09-19,6189.897513577915
现任 MA20/50,2001-09-27,2001-10-31,4341.843403104717
现任 MA20/50,2001-09-28,2001-11-01,3984.558366022756
现任 MA20/50,2001-10-26,2001-11-13,10118.43264540566
现任 MA20/50,2001-11-01,2001-11-21,10977.336728848777
现任 MA20/50,2001-11-09,2001-12-07,10906.310683732328
现任 MA20/50,2002-01-02,2002-01-23,-1223.1307507050792
现任 MA20/50,2001-12-31,2002-01-31,11564.178929826332
现任 MA20/50,2002-01-14,2002-02-13,11159.304539232031
