policy,era,kind,BULLISH,NEUTRAL,BEARISH
现任MA20/50,all,melt_down,52.8,18.8,28.5
现任MA20/50,all,melt_up,79.6,9.6,10.8
现任MA20/50,all,oscillation,56.2,18.5,25.3
现任MA20/50,post2020,melt_down,52.2,15.9,31.8
现任MA20/50,post2020,melt_up,88.3,5.9,5.8
现任MA20/50,post2020,oscillation,58.7,20.8,20.5
MA10/20,all,melt_down,53.0,21.0,26.0
MA10/20,all,melt_up,74.3,11.8,13.9
MA10/20,all,oscillation,57.8,13.2,29.0
MA10/20,post2020,melt_down,57.3,17.8,24.8
MA10/20,post2020,melt_up,78.3,10.9,10.9
MA10/20,post2020,oscillation,63.0,9.3,27.7
MA50/200,all,melt_down,76.9,6.2,16.9
MA50/200,all,melt_up,74.0,10.6,15.3
MA50/200,all,oscillation,51.9,19.7,28.4
MA50/200,post2020,melt_down,100.0,0.0,0.0
MA50/200,post2020,melt_up,80.1,9.6,10.3
MA50/200,post2020,oscillation,55.1,19.3,25.6
MOM63,all,melt_down,60.1,18.9,21.0
MOM63,all,melt_up,79.9,8.5,11.5
MOM63,all,oscillation,52.8,19.4,27.8
MOM63,post2020,melt_down,72.6,10.8,16.6
MOM63,post2020,melt_up,90.5,5.1,4.4
MOM63,post2020,oscillation,62.7,11.4,25.9
DONCH100,all,melt_down,60.4,16.9,22.7
DONCH100,all,melt_up,81.0,8.3,10.7
DONCH100,all,oscillation,52.5,22.4,25.1
DONCH100,post2020,melt_down,69.4,16.6,14.0
DONCH100,post2020,melt_up,92.1,3.5,4.4
DONCH100,post2020,oscillation,51.5,29.5,19.0
