policy,era,kind,BULLISH,NEUTRAL,BEARISH
现任MA20/50,all,melt_down,6.4,25.4,68.2
现任MA20/50,all,melt_up,91.8,7.0,1.2
现任MA20/50,all,oscillation,51.8,26.9,21.3
现任MA20/50,post2020,melt_down,4.3,6.5,89.1
现任MA20/50,post2020,melt_up,99.0,0.6,0.3
现任MA20/50,post2020,oscillation,57.6,30.6,11.8
MA10/20,all,melt_down,13.6,30.3,56.1
MA10/20,all,melt_up,83.2,11.7,5.1
MA10/20,all,oscillation,47.0,25.1,28.0
MA10/20,post2020,melt_down,13.0,32.6,54.3
MA10/20,post2020,melt_up,85.4,9.1,5.5
MA10/20,post2020,oscillation,53.8,23.3,22.9
MA50/200,all,melt_down,77.7,8.3,14.0
MA50/200,all,melt_up,81.3,9.1,9.6
MA50/200,all,oscillation,68.0,14.0,18.0
MA50/200,post2020,melt_down,97.8,2.2,0.0
MA50/200,post2020,melt_up,89.6,2.6,7.8
MA50/200,post2020,oscillation,78.1,12.8,9.0
MOM63,all,melt_down,31.4,26.9,41.7
MOM63,all,melt_up,89.9,5.8,4.3
MOM63,all,oscillation,63.3,18.7,18.0
MOM63,post2020,melt_down,54.3,28.3,17.4
MOM63,post2020,melt_up,98.7,0.6,0.6
MOM63,post2020,oscillation,76.4,13.2,10.4
DONCH100,all,melt_down,28.4,39.8,31.8
DONCH100,all,melt_up,92.4,4.9,2.6
DONCH100,all,oscillation,64.2,18.6,17.2
DONCH100,post2020,melt_down,21.7,63.0,15.2
DONCH100,post2020,melt_up,98.4,1.0,0.6
DONCH100,post2020,oscillation,77.1,12.5,10.4
