w_pct,dte,pricing,era,n,wr_pct,total_k,avg_k,worst_k,cvar10_k,per_cash_kday,med_hold,capped_pct,knife5_pct
2.5,30,inc,full,37,70,1001.7,27.07,-62.6,-62.6,20.868,21,62,14
2.5,30,inc,post2020,15,73,488.5,32.57,-62.5,-62.5,24.97,21,73,20
2.5,30,calib,full,37,70,1001.9,27.08,-62.6,-62.6,20.872,21,62,14
2.5,30,calib,post2020,15,73,503.7,33.58,-62.5,-62.5,25.746,21,73,20
2.5,30,stress,full,37,68,104.3,2.82,-62.6,-62.6,2.173,21,62,14
2.5,30,stress,post2020,15,73,116.1,7.74,-62.5,-62.5,5.933,21,73,20
5.0,30,inc,full,37,65,1056.0,28.54,-62.6,-62.5,22.001,21,30,14
5.0,30,inc,post2020,15,73,547.6,36.51,-62.5,-62.5,27.994,21,33,20
5.0,30,calib,full,37,65,1293.5,34.96,-62.6,-62.6,26.949,21,30,14
5.0,30,calib,post2020,15,73,649.7,43.31,-62.5,-62.5,33.211,21,33,20
5.0,30,stress,full,37,65,703.4,19.01,-62.6,-62.5,14.654,21,30,14
5.0,30,stress,post2020,15,73,388.3,25.89,-62.5,-62.5,19.848,21,33,20
7.5,30,inc,full,37,65,687.2,18.57,-62.5,-62.5,14.316,21,3,14
7.5,30,inc,post2020,15,73,342.5,22.84,-62.5,-62.5,17.509,21,7,20
7.5,30,calib,full,37,65,1128.8,30.51,-62.6,-62.5,23.517,21,3,14
7.5,30,calib,post2020,15,73,514.7,34.32,-62.5,-62.5,26.313,21,7,20
7.5,30,stress,full,37,65,714.9,19.32,-62.5,-62.5,14.894,21,3,14
7.5,30,stress,post2020,15,73,339.5,22.63,-62.5,-62.5,17.354,21,7,20
2.5,60,inc,full,32,69,681.2,21.29,-62.6,-62.6,8.314,41,62,25
2.5,60,inc,post2020,13,69,256.9,19.76,-62.5,-62.5,7.713,41,62,31
2.5,60,calib,full,32,69,633.9,19.81,-62.6,-62.6,7.737,41,62,25
2.5,60,calib,post2020,13,69,265.1,20.39,-62.5,-62.5,7.957,41,62,31
2.5,60,stress,full,32,66,-243.2,-7.6,-62.6,-62.5,-2.968,41,62,25
2.5,60,stress,post2020,13,62,-94.2,-7.25,-62.5,-62.5,-2.829,41,62,31
5.0,60,inc,full,32,66,802.4,25.08,-62.6,-62.5,9.793,41,50,25
5.0,60,inc,post2020,13,62,282.2,21.71,-62.5,-62.5,8.471,41,46,31
5.0,60,calib,full,32,66,807.5,25.23,-62.6,-62.5,9.855,41,50,25
5.0,60,calib,post2020,13,62,306.5,23.58,-62.5,-62.5,9.201,41,46,31
5.0,60,stress,full,32,62,218.4,6.82,-62.5,-62.5,2.665,41,50,25
5.0,60,stress,post2020,13,62,69.0,5.31,-62.5,-62.5,2.071,41,46,31
7.5,60,inc,full,32,62,781.0,24.41,-62.5,-62.5,9.531,41,25,25
7.5,60,inc,post2020,13,62,274.2,21.09,-62.5,-62.5,8.232,41,38,31
7.5,60,calib,full,32,62,896.2,28.0,-62.5,-62.5,10.937,41,25,25
7.5,60,calib,post2020,13,62,328.4,25.26,-62.5,-62.5,9.857,41,38,31
7.5,60,stress,full,32,59,446.0,13.94,-62.5,-62.5,5.443,41,25,25
7.5,60,stress,post2020,13,62,148.5,11.42,-62.5,-62.5,4.457,41,38,31
2.5,90,inc,full,27,74,698.5,25.87,-62.6,-62.6,6.721,62,67,26
2.5,90,inc,post2020,11,73,235.6,21.42,-62.5,-62.5,5.551,62,73,27
2.5,90,calib,full,27,74,700.1,25.93,-62.6,-62.6,6.736,62,67,26
2.5,90,calib,post2020,11,73,272.5,24.78,-62.5,-62.5,6.422,62,73,27
2.5,90,stress,full,27,70,-196.4,-7.28,-62.5,-62.5,-1.89,62,67,26
2.5,90,stress,post2020,11,73,-88.4,-8.04,-62.5,-62.5,-2.083,62,73,27
5.0,90,inc,full,27,67,721.0,26.7,-62.5,-62.5,6.937,62,59,26
5.0,90,inc,post2020,11,73,310.0,28.18,-62.5,-62.5,7.304,62,64,27
5.0,90,calib,full,27,67,744.6,27.58,-62.5,-62.5,7.164,62,59,26
5.0,90,calib,post2020,11,73,357.9,32.53,-62.5,-62.5,8.433,62,64,27
5.0,90,stress,full,27,63,157.8,5.85,-62.5,-62.5,1.518,62,59,26
5.0,90,stress,post2020,11,73,102.7,9.33,-62.5,-62.5,2.419,62,64,27
7.5,90,inc,full,27,63,745.8,27.62,-62.5,-62.5,7.176,62,33,26
7.5,90,inc,post2020,11,73,331.3,30.12,-62.5,-62.5,7.807,62,45,27
7.5,90,calib,full,27,63,819.9,30.37,-62.5,-62.5,7.888,62,33,26
7.5,90,calib,post2020,11,73,395.5,35.95,-62.5,-62.5,9.319,62,45,27
7.5,90,stress,full,27,63,365.1,13.52,-62.5,-62.5,3.513,62,33,26
7.5,90,stress,post2020,11,73,196.6,17.87,-62.5,-62.5,4.632,62,45,27
