signal_date,entry_date,settle_date,year,S,KL,KS,vix,hold_td,ST,gap_t1_pct,knife_pct,capped,debit_inc,pnl_inc,debit_calib,pnl_calib,debit_stress,pnl_stress,cash_days,variant
2008-01-28,2008-01-29,2008-04-28,2008,1353.9599609375,1355,1420,27.780000686645508,62,1396.3699951171875,0.0014623626442977766,-0.06527934414113601,False,32.99,15437.0,30.912,20675.0,41.427,-436.0,3875000.0,B现任 reclaim 5%/90
2018-12-31,2019-01-02,2019-04-01,2018,2506.85009765625,2505,2630,25.420000076293945,61,2867.18994140625,-0.011923384149174043,-0.02475673039503723,True,62.558,61737.0,59.968,67104.0,79.303,35504.0,3812500.0,B现任 reclaim 5%/90
2020-03-25,2020-03-26,2020-06-24,2020,2475.56005859375,2475,2600,63.95000076293945,62,3050.330078125,0.010393599775303297,-0.06067141338896498,True,75.578,40335.0,54.642,79735.0,74.073,42424.0,3875000.0,B现任 reclaim 5%/90
2022-05-17,2022-05-18,2022-08-16,2022,4088.85009765625,4090,4295,26.100000381469727,61,4305.2001953125,-0.009017233771576594,-0.06547677603304203,True,102.389,61997.0,97.431,68333.0,128.995,36319.0,3812500.0,B现任 reclaim 5%/90
2025-04-09,2025-04-10,2025-07-09,2025,5456.89990234375,5455,5730,33.619998931884766,60,6263.259765625,-0.01901262655659841,-0.020852044579619533,True,144.863,55545.0,129.065,69994.0,171.721,37082.0,3750000.0,B现任 reclaim 5%/90
2008-01-18,2008-01-22,2008-04-18,2008,1325.18994140625,1325,1390,27.18000030517578,61,1390.3299560546875,-0.009243957878974474,-0.028332701169639485,True,32.921,60237.0,31.029,67723.0,41.301,35335.0,3812500.0,B即时 -15 T+1 5%/90
2018-12-20,2018-12-21,2019-03-21,2018,2467.419921875,2465,2590,28.3799991607666,60,2854.8798828125,-0.0008267903831098433,-0.027112254452099527,True,63.851,59222.0,59.524,68069.0,78.672,36290.0,3750000.0,B即时 -15 T+1 5%/90
2020-03-09,2020-03-10,2020-06-08,2020,2746.56005859375,2745,2885,54.459999084472656,62,3232.389892578125,0.02436499491995936,-0.22372610183595698,True,81.563,44225.0,62.598,76560.0,84.188,40897.0,3875000.0,B即时 -15 T+1 5%/90
2022-05-09,2022-05-10,2022-08-08,2022,3991.239990234375,3990,4190,34.75,61,4140.06005859375,0.011009095297140892,-0.08354807493467442,False,106.101,25440.0,93.677,37103.0,124.912,12197.0,3812500.0,B即时 -15 T+1 5%/90
2025-04-04,2025-04-07,2025-07-07,2025,5074.080078125,5075,5330,45.310001373291016,61,6229.97998046875,-0.023706767967869746,-0.015700524562941354,True,142.559,48728.0,116.3,73842.0,156.189,39022.0,3812500.0,B即时 -15 T+1 5%/90
2008-01-28,2008-01-29,2008-02-28,2008,1353.9599609375,1355,1420,27.780000686645508,21,1367.6800537109375,0.0014623626442977766,-0.02631586021529464,False,28.246,-34640.0,26.472,-32773.0,32.046,-37944.0,1312500.0,B reclaim 5%/30
2018-12-31,2019-01-02,2019-01-31,2018,2506.85009765625,2505,2630,25.420000076293945,20,2704.10009765625,-0.011923384149174043,-0.02475673039503723,True,53.199,83593.0,50.263,92127.0,60.262,66471.0,1250000.0,B reclaim 5%/30
2020-03-25,2020-03-26,2020-04-27,2020,2475.56005859375,2475,2600,63.95000076293945,21,2878.47998046875,0.010393599775303297,-0.06067141338896498,True,67.065,53387.0,54.376,80432.0,65.573,56024.0,1312500.0,B reclaim 5%/30
2022-05-17,2022-05-18,2022-06-17,2022,4088.85009765625,4090,4295,26.100000381469727,21,3674.840087890625,-0.009017233771576594,-0.06547677603304203,False,86.809,-62519.0,81.515,-62520.0,97.87,-62517.0,1312500.0,B reclaim 5%/30
2025-04-09,2025-04-10,2025-05-12,2025,5456.89990234375,5455,5730,33.619998931884766,21,5844.18994140625,-0.01901262655659841,-0.020852044579619533,True,126.102,73108.0,115.64,85375.0,138.983,60539.0,1312500.0,B reclaim 5%/30
2008-01-28,2008-01-29,2008-04-28,2008,1353.9599609375,1355,1390,27.780000686645508,62,1396.3699951171875,0.0014623626442977766,-0.06527934414113601,True,18.892,52626.0,17.828,59496.0,28.491,13839.0,3875000.0,B reclaim 2.5%/90
2018-12-31,2019-01-02,2019-04-01,2018,2506.85009765625,2505,2570,25.420000076293945,61,2867.18994140625,-0.011923384149174043,-0.02475673039503723,True,35.006,52928.0,33.813,57000.0,53.531,12982.0,3812500.0,B reclaim 2.5%/90
2020-03-25,2020-03-26,2020-06-24,2020,2475.56005859375,2475,2535,63.95000076293945,62,3050.330078125,0.010393599775303297,-0.06067141338896498,True,37.146,37907.0,27.187,74690.0,46.56,17605.0,3875000.0,B reclaim 2.5%/90
2022-05-17,2022-05-18,2022-08-16,2022,4088.85009765625,4090,4190,26.100000381469727,61,4305.2001953125,-0.009017233771576594,-0.06547677603304203,True,53.929,52787.0,51.74,57665.0,83.933,11575.0,3812500.0,B reclaim 2.5%/90
2025-04-09,2025-04-10,2025-07-09,2025,5456.89990234375,5455,5595,33.619998931884766,60,6263.259765625,-0.01901262655659841,-0.020852044579619533,True,77.862,49299.0,69.953,61939.0,112.943,14573.0,3750000.0,B reclaim 2.5%/90
