signal_date,ST,KL,KS_25,pnl_25,KS_50,pnl_50,delta
2007-02-27,1420.8599853515625,1400,1435,17331.0,1470.0,-8348.0,-25679.0
2007-07-26,1466.7900390625,1485,1520,-62599.0,1555.0,-62563.0,36.0
2007-10-19,1433.27001953125,1500,1540,-62585.0,1575.0,-62556.0,29.0
2007-11-19,1460.1199951171875,1435,1470,32007.0,1505.0,-6139.0,-38146.0
2013-06-20,1695.530029296875,1590,1630,71513.0,1670.0,111523.0,40010.0
2013-08-27,1691.75,1630,1670,69112.0,1710.0,79492.0,10380.0
2013-10-08,1770.6099853515625,1655,1695,67028.0,1740.0,108460.0,41432.0
2014-01-29,1845.72998046875,1775,1820,72202.0,1865.0,85601.0,13399.0
2014-10-09,2038.260009765625,1930,1975,69549.0,2025.0,116339.0,46790.0
2014-12-15,1992.6700439453125,1990,2040,-55531.0,2090.0,-57994.0,-2463.0
2015-01-15,2100.340087890625,1995,2040,67972.0,2090.0,100633.0,32661.0
2015-08-20,1966.969970703125,2035,2085,-62568.0,2140.0,-62544.0,24.0
2015-11-13,2021.93994140625,2025,2075,-62569.0,2125.0,-62545.0,24.0
2015-12-14,1921.8399658203125,2020,2070,-62567.0,2125.0,-62540.0,27.0
2016-05-19,2083.25,2040,2090,52393.0,2140.0,19050.0,-33343.0
2016-06-24,2168.47998046875,2035,2090,67412.0,2140.0,92556.0,25144.0
2016-11-02,2204.7099609375,2100,2150,70050.0,2205.0,114966.0,44916.0
2018-02-05,2738.969970703125,2650,2715,68407.0,2780.0,37516.0,-30891.0
2018-10-10,2726.219970703125,2785,2855,-62548.0,2925.0,-62530.0,18.0
2019-05-13,2891.639892578125,2810,2880,66972.0,2950.0,34243.0,-32729.0
2019-08-05,2976.0,2845,2915,67611.0,2985.0,84722.0,17111.0
2019-10-02,3078.27001953125,2890,2960,69624.0,3030.0,106521.0,36897.0
2020-02-24,2630.070068359375,3225,3305,-62542.0,3385.0,-62525.0,17.0
2020-09-04,3408.60009765625,3425,3515,-62538.0,3600.0,-62522.0,16.0
2020-10-19,3581.8701171875,3425,3515,67794.0,3600.0,73348.0,5554.0
2021-03-04,4077.909912109375,3770,3865,68449.0,3955.0,89657.0,21208.0
2021-05-12,4255.14990234375,4065,4165,68127.0,4265.0,83534.0,15407.0
2021-09-21,4544.89990234375,4355,4465,68435.0,4570.0,77283.0,8848.0
2021-12-01,4796.56005859375,4515,4625,67920.0,4740.0,88017.0,20097.0
2022-01-18,4348.8701171875,4575,4690,-62529.0,4805.0,-62518.0,11.0
2024-04-17,5308.1298828125,5020,5150,69760.0,5275.0,116252.0,46492.0
2024-07-24,5616.83984375,5425,5565,69878.0,5700.0,62837.0,-7041.0
2024-09-06,5695.93994140625,5410,5545,68707.0,5680.0,101447.0,32740.0
2025-01-10,6066.43994140625,5825,5975,69094.0,6120.0,78676.0,9582.0
2025-02-27,5611.85009765625,5860,6010,-62523.0,6155.0,-62515.0,8.0
2025-11-20,6878.490234375,6540,6700,67585.0,6865.0,92643.0,25058.0
2026-03-12,6886.240234375,6675,6840,68042.0,7005.0,36068.0,-31974.0
