arm,cand,era,n,mean$,total$,worst$,cvar10$,win%,dpbd,med_credit$
FLAT,C1_V3A_broken,full,64,838,53633,-3003,-1019,92,0.0046,1474
FLAT,C1_V3A_broken,2008-09,14,289,4053,-1212,-1212,86,0.0032,728
FLAT,C1_V3A_broken,2011,8,447,3573,112,112,100,0.0048,902
FLAT,C1_V3A_broken,2020,9,668,6009,-3003,-3003,89,0.0025,2261
FLAT,C1_V3A_broken,2022,9,1296,11663,-1724,-1724,89,0.004,2746
FLAT,C1_V3A_broken,2020+,29,1252,36301,-3003,-2364,90,0.0045,2640
FLAT,C2_IC_HV_sym,full,62,1080,66947,-6510,-2251,92,0.0081,2522
FLAT,C2_IC_HV_sym,2008-09,12,340,4078,-2709,-2709,92,0.0054,1063
FLAT,C2_IC_HV_sym,2011,8,658,5260,225,225,100,0.0097,1390
FLAT,C2_IC_HV_sym,2020,9,725,6529,-6510,-6510,78,0.0041,3528
FLAT,C2_IC_HV_sym,2022,9,1458,13121,-3794,-3794,89,0.0069,4130
FLAT,C2_IC_HV_sym,2020+,29,1504,43611,-6510,-5152,86,0.0076,3895
FLAT,C3_BPS_HV,full,95,428,40624,-8184,-3162,78,0.015,1164
FLAT,C3_BPS_HV,2008-09,22,170,3748,-2357,-1416,77,0.011,657
FLAT,C3_BPS_HV,2011,12,196,2347,-564,-564,58,0.0206,855
FLAT,C3_BPS_HV,2020,12,186,2232,-8184,-8184,83,0.0055,2093
FLAT,C3_BPS_HV,2022,14,-137,-1922,-6046,-6046,57,0.0094,2573
FLAT,C3_BPS_HV,2020+,41,608,24919,-8184,-5218,78,0.0122,2435
FLAT,C4_BCS_HV,full,57,382,21800,-8464,-3898,81,0.0036,1106
FLAT,C4_BCS_HV,2008-09,13,150,1950,-1423,-1423,77,0.0024,669
FLAT,C4_BCS_HV,2011,7,367,2572,-415,-415,86,0.0034,878
FLAT,C4_BCS_HV,2020,8,753,6022,-1097,-1097,75,0.0034,2267
FLAT,C4_BCS_HV,2022,8,1159,9274,-1323,-1323,75,0.005,2802
FLAT,C4_BCS_HV,2020+,24,448,10752,-8464,-7822,75,0.0034,2590
SKEW1,C1_V3A_broken,full,63,632,39820,-3471,-1849,89,0.0055,1392
SKEW1,C1_V3A_broken,2008-09,12,151,1816,-1784,-1784,92,0.0028,631
SKEW1,C1_V3A_broken,2011,8,418,3347,-16,-16,88,0.0067,799
SKEW1,C1_V3A_broken,2020,9,431,3883,-3471,-3471,89,0.0025,1989
SKEW1,C1_V3A_broken,2022,9,1066,9594,-2293,-2293,89,0.0046,2526
SKEW1,C1_V3A_broken,2020+,29,899,26065,-3471,-3135,86,0.0052,2337
SKEW1,C2_IC_HV_sym,full,62,826,51205,-7420,-3335,85,0.0075,2345
SKEW1,C2_IC_HV_sym,2008-09,12,104,1249,-3523,-3523,83,0.0026,986
SKEW1,C2_IC_HV_sym,2011,8,572,4574,71,71,100,0.0094,1255
SKEW1,C2_IC_HV_sym,2020,9,381,3425,-7420,-7420,67,0.0031,3365
SKEW1,C2_IC_HV_sym,2022,9,1139,10249,-5086,-5086,78,0.0065,3812
SKEW1,C2_IC_HV_sym,2020+,29,1158,33588,-7420,-6253,79,0.0076,3620
SKEW1,C3_BPS_HV,full,95,371,35229,-9529,-3498,77,0.0117,1150
SKEW1,C3_BPS_HV,2008-09,22,138,3043,-2624,-1586,77,0.0081,637
SKEW1,C3_BPS_HV,2011,12,176,2111,-559,-559,58,0.0169,865
SKEW1,C3_BPS_HV,2020,12,40,477,-9529,-9529,75,0.0036,2104
SKEW1,C3_BPS_HV,2022,14,-231,-3240,-6603,-6603,57,0.0073,2532
SKEW1,C3_BPS_HV,2020+,41,508,20816,-9529,-5780,76,0.0093,2440
SKEW1,C4_BCS_HV,full,57,246,14012,-12442,-3721,79,0.004,870
SKEW1,C4_BCS_HV,2008-09,13,49,642,-1724,-1724,77,0.0016,569
SKEW1,C4_BCS_HV,2011,7,276,1934,-616,-616,86,0.0032,799
SKEW1,C4_BCS_HV,2020,8,470,3764,-1614,-1614,75,0.0033,1931
SKEW1,C4_BCS_HV,2022,8,754,6031,-2142,-2142,75,0.0055,2306
SKEW1,C4_BCS_HV,2020+,24,289,6940,-12442,-7292,79,0.004,2197
SKEW2,C1_V3A_broken,full,64,294,18840,-8913,-3773,83,0.0067,1174
SKEW2,C1_V3A_broken,2008-09,12,60,716,-2008,-2008,75,0.0028,593
SKEW2,C1_V3A_broken,2011,8,300,2400,-551,-551,88,0.0098,739
SKEW2,C1_V3A_broken,2020,9,99,893,-4152,-4152,67,0.0021,1744
SKEW2,C1_V3A_broken,2022,9,1073,9660,-737,-737,89,0.0074,2190
SKEW2,C1_V3A_broken,2020+,29,343,9940,-8913,-7024,79,0.0056,2012
SKEW2,C2_IC_HV_sym,full,62,514,31883,-8513,-4576,82,0.0052,2159
SKEW2,C2_IC_HV_sym,2008-09,12,38,452,-3659,-3659,83,0.001,960
SKEW2,C2_IC_HV_sym,2011,8,468,3748,-204,-204,88,0.0074,1177
SKEW2,C2_IC_HV_sym,2020,9,-112,-1009,-8513,-8513,78,0.0009,2787
SKEW2,C2_IC_HV_sym,2022,9,875,7879,-5784,-5784,78,0.0049,3467
SKEW2,C2_IC_HV_sym,2020+,29,661,19180,-8513,-7149,79,0.0052,3229
SKEW2,C3_BPS_HV,full,94,336,31602,-10504,-3719,79,0.0089,1105
SKEW2,C3_BPS_HV,2008-09,22,136,3002,-2652,-1573,77,0.0066,645
SKEW2,C3_BPS_HV,2011,11,257,2829,-612,-612,82,0.0095,873
SKEW2,C3_BPS_HV,2020,12,-86,-1033,-10504,-10504,75,0.0023,2064
SKEW2,C3_BPS_HV,2022,14,-321,-4499,-7042,-7042,50,0.0059,2494
SKEW2,C3_BPS_HV,2020+,41,419,17188,-10504,-6210,73,0.0074,2368
SKEW2,C4_BCS_HV,full,63,-177,-11126,-11941,-5748,70,0.0037,952
SKEW2,C4_BCS_HV,2008-09,13,4,46,-1436,-1436,54,0.0025,438
SKEW2,C4_BCS_HV,2011,7,156,1095,-986,-986,71,0.0025,637
SKEW2,C4_BCS_HV,2020,9,-239,-2153,-4960,-4960,67,-0.0001,1574
SKEW2,C4_BCS_HV,2022,9,394,3546,-3221,-3221,78,0.0087,1865
SKEW2,C4_BCS_HV,2020+,28,-488,-13667,-11941,-11009,71,0.0026,1810
