rung,sig_i,ent_i,dd_entry,mode
-0.15,268,269,-0.1349327925005941,reclaim
-0.25,432,433,-0.19810884804825946,reclaim
-0.35,453,454,-0.37041177584049056,reclaim
-0.45,459,460,-0.399092741849,reclaim
-0.15,3019,3020,-0.1446387110274674,reclaim
-0.15,3329,3330,-0.26891598718642906,reclaim
-0.25,3329,3330,-0.26891598718642906,reclaim
-0.15,3870,3871,-0.1475453142027342,reclaim
-0.25,3966,3967,-0.2096565277341601,reclaim
-0.15,4596,4597,-0.11185436731252951,reclaim
-0.15,263,264,-0.15331442945710283,immediate
-0.25,430,431,-0.26116346892602227,immediate
-0.35,444,445,-0.3634923394377457,immediate
-0.45,458,459,-0.45761111096812446,immediate
-0.15,3013,3014,-0.1580926650601382,immediate
-0.15,3317,3318,-0.18888409024872255,immediate
-0.25,3320,3321,-0.267415807297506,immediate
-0.15,3864,3865,-0.1678953371836811,immediate
-0.25,3964,3965,-0.2524600811026375,immediate
-0.15,4593,4594,-0.1741607612487711,immediate
