rung,signal,kind,K,debit,settle,ST,pnl,hold_td,ret_on_cash_pct
-0.15,2008-01-18,LEAP_atm_x0.75,1325.0,124.1,2009-01-20,805.0,-62513.0,251.0,-100.0
-0.15,2008-01-18,LEAP_atm_x1.0,1325.0,158.5,2009-01-20,805.0,-62510.0,251.0,-100.0
-0.15,2008-01-18,LEAP_itm85_x0.75,1125.0,250.9,2009-01-20,805.0,-62506.0,251.0,-100.0
-0.15,2008-01-18,LEAP_itm85_x1.0,1125.0,273.7,2009-01-20,805.0,-62506.0,251.0,-100.0
-0.15,2008-01-18,INDEX_365d,,,,,-24098.0,,-38.6
-0.15,2008-01-18,INDEX_90d,,,,,3807.0,,6.1
-0.25,2008-09-17,LEAP_atm_x0.75,1155.0,138.8,2009-09-18,1068.0,-62512.0,252.0,-100.0
-0.25,2008-09-17,LEAP_atm_x1.0,1155.0,178.6,2009-09-18,1068.0,-62509.0,252.0,-100.0
-0.25,2008-09-17,LEAP_itm85_x0.75,985.0,236.5,2009-09-18,1068.0,-40606.0,252.0,-65.0
-0.25,2008-09-17,LEAP_itm85_x1.0,985.0,267.3,2009-09-18,1068.0,-43127.0,252.0,-69.0
-0.25,2008-09-17,INDEX_365d,,,,,-7160.0,,-11.5
-0.25,2008-09-17,INDEX_90d,,,,,-15649.0,,-25.0
-0.35,2008-10-07,LEAP_atm_x0.75,995.0,169.1,2009-10-08,1065.0,-36591.0,252.0,-58.5
-0.35,2008-10-07,LEAP_atm_x1.0,995.0,219.3,2009-10-08,1065.0,-42520.0,252.0,-68.0
-0.35,2008-10-07,LEAP_itm85_x0.75,845.0,244.9,2009-10-08,1065.0,-6508.0,252.0,-10.4
-0.35,2008-10-07,LEAP_itm85_x1.0,845.0,287.3,2009-10-08,1065.0,-14788.0,252.0,-23.7
-0.35,2008-10-07,INDEX_365d,,,,,5111.0,,8.2
-0.35,2008-10-07,INDEX_90d,,,,,-3188.0,,-5.1
-0.45,2008-10-27,LEAP_atm_x0.75,850.0,206.1,2009-10-28,1043.0,-4380.0,252.0,-7.0
-0.45,2008-10-27,LEAP_atm_x1.0,850.0,267.9,2009-10-28,1043.0,-17789.0,252.0,-28.5
-0.45,2008-10-27,LEAP_itm85_x0.75,720.0,262.3,2009-10-28,1043.0,13978.0,252.0,22.4
-0.45,2008-10-27,LEAP_itm85_x1.0,720.0,317.1,2009-10-28,1043.0,773.0,252.0,1.2
-0.45,2008-10-27,INDEX_365d,,,,,6786.0,,10.9
-0.45,2008-10-27,INDEX_90d,,,,,-6907.0,,-11.1
-0.15,2018-12-20,LEAP_atm_x0.75,2465.0,240.6,2019-12-23,3224.0,133655.0,252.0,213.8
-0.15,2018-12-20,LEAP_atm_x1.0,2465.0,307.3,2019-12-23,3224.0,91090.0,252.0,145.7
-0.15,2018-12-20,LEAP_itm85_x0.75,2095.0,472.0,2019-12-23,3224.0,86253.0,252.0,138.0
-0.15,2018-12-20,LEAP_itm85_x1.0,2095.0,517.6,2019-12-23,3224.0,73143.0,252.0,117.0
-0.15,2018-12-20,INDEX_365d,,,,,20881.0,,33.4
-0.15,2018-12-20,INDEX_90d,,,,,11335.0,,18.1
-0.15,2020-03-09,LEAP_atm_x0.75,2745.0,471.5,2021-03-10,3899.0,89674.0,252.0,143.5
-0.15,2020-03-09,LEAP_atm_x1.0,2745.0,611.8,2021-03-10,3899.0,54776.0,252.0,87.6
-0.15,2020-03-09,LEAP_itm85_x0.75,2335.0,676.9,2021-03-10,3899.0,81161.0,252.0,129.9
-0.15,2020-03-09,LEAP_itm85_x1.0,2335.0,796.4,2021-03-10,3899.0,59617.0,252.0,95.4
-0.15,2020-03-09,INDEX_365d,,,,,22044.0,,35.3
-0.15,2020-03-09,INDEX_90d,,,,,7593.0,,12.1
-0.25,2020-03-12,LEAP_atm_x0.75,2480.0,572.0,2021-03-15,3969.0,99365.0,252.0,159.0
-0.25,2020-03-12,LEAP_atm_x1.0,2480.0,743.3,2021-03-15,3969.0,62072.0,252.0,99.3
-0.25,2020-03-12,LEAP_itm85_x0.75,2110.0,735.9,2021-03-15,3969.0,94588.0,252.0,151.3
-0.25,2020-03-12,LEAP_itm85_x1.0,2110.0,887.4,2021-03-15,3969.0,67767.0,252.0,108.4
-0.25,2020-03-12,INDEX_365d,,,,,29000.0,,46.4
-0.25,2020-03-12,INDEX_90d,,,,,6711.0,,10.7
-0.15,2022-05-09,LEAP_atm_x0.75,3990.0,460.6,2023-05-10,4138.0,-42570.0,251.0,-68.1
-0.15,2022-05-09,LEAP_atm_x1.0,3990.0,592.6,2023-05-10,4138.0,-47009.0,251.0,-75.2
-0.15,2022-05-09,LEAP_itm85_x0.75,3395.0,807.5,2023-05-10,4138.0,-5312.0,251.0,-8.5
-0.15,2022-05-09,LEAP_itm85_x1.0,3395.0,907.6,2023-05-10,4138.0,-11618.0,251.0,-18.6
-0.15,2022-05-09,INDEX_365d,,,,,2134.0,,3.4
-0.15,2022-05-09,INDEX_90d,,,,,2171.0,,3.5
-0.25,2022-09-30,LEAP_atm_x0.75,3585.0,381.5,2023-10-02,4288.0,52164.0,250.0,83.5
-0.25,2022-09-30,LEAP_atm_x1.0,3585.0,489.5,2023-10-02,4288.0,26863.0,250.0,43.0
-0.25,2022-09-30,LEAP_itm85_x0.75,3050.0,703.3,2023-10-02,4288.0,47009.0,250.0,75.2
-0.25,2022-09-30,LEAP_itm85_x1.0,3050.0,781.9,2023-10-02,4288.0,35993.0,250.0,57.6
-0.25,2022-09-30,INDEX_365d,,,,,10364.0,,16.6
-0.25,2022-09-30,INDEX_90d,,,,,2737.0,,4.4
-0.15,2025-04-04,LEAP_atm_x0.75,5075.0,737.5,2026-04-06,6612.0,67098.0,249.0,107.4
-0.15,2025-04-04,LEAP_atm_x1.0,5075.0,954.9,2026-04-06,6612.0,37582.0,249.0,60.1
-0.15,2025-04-04,LEAP_itm85_x0.75,4315.0,1142.8,2026-04-06,6612.0,62485.0,249.0,100.0
-0.15,2025-04-04,LEAP_itm85_x1.0,4315.0,1321.5,2026-04-06,6612.0,45590.0,249.0,72.9
-0.15,2025-04-04,INDEX_365d,,,,,19132.0,,30.6
-0.15,2025-04-04,INDEX_90d,,,,,14417.0,,23.1
