rung,signal,dd_entry,w_pct,exit_rule,pnl_calib,pnl_stress,exit,reason,hold_td,capped,cash_days,width
-0.25,2008-09-17,-26.1,5.0,X0,-62558.0,-62544.0,2008-12-17,expiry,63,False,3937500.0,0.05
-0.35,2008-10-07,-36.3,5.0,X0,-62572.0,-62553.0,2009-01-06,expiry,61,False,3812500.0,0.05
-0.45,2008-10-27,-45.8,5.0,X0,-62596.0,-62569.0,2009-01-26,expiry,60,False,3750000.0,0.05
-0.25,2020-03-12,-26.7,5.0,X0,83642.0,44581.0,2020-06-11,expiry,62,True,3875000.0,0.05
-0.25,2022-09-30,-25.2,5.0,X0,69456.0,36734.0,2022-12-30,expiry,62,True,3875000.0,0.05
-0.25,2008-09-17,-26.1,10.0,X0,-62534.0,-62529.0,2008-12-17,expiry,63,False,3937500.0,0.1
-0.35,2008-10-07,-36.3,10.0,X0,-62539.0,-62533.0,2009-01-06,expiry,61,False,3812500.0,0.1
-0.45,2008-10-27,-45.8,10.0,X0,-62548.0,-62540.0,2009-01-26,expiry,60,False,3750000.0,0.1
-0.25,2020-03-12,-26.7,10.0,X0,92746.0,67537.0,2020-06-11,expiry,62,True,3875000.0,0.1
-0.25,2022-09-30,-25.2,10.0,X0,45835.0,29362.0,2022-12-30,expiry,62,False,3875000.0,0.1
-0.25,2008-09-17,-26.1,15.0,X0,-62526.0,-62523.0,2008-12-17,expiry,63,False,3937500.0,0.15
-0.35,2008-10-07,-36.3,15.0,X0,-62528.0,-62525.0,2009-01-06,expiry,61,False,3812500.0,0.15
-0.45,2008-10-27,-45.8,15.0,X0,-62534.0,-62530.0,2009-01-26,expiry,60,False,3750000.0,0.15
-0.25,2020-03-12,-26.7,15.0,X0,102561.0,82755.0,2020-06-11,expiry,62,True,3875000.0,0.15
-0.25,2022-09-30,-25.2,15.0,X0,23902.0,14063.0,2022-12-30,expiry,62,False,3875000.0,0.15
-0.25,2008-09-17,-26.1,20.0,X0,-62523.0,-62521.0,2008-12-17,expiry,63,False,3937500.0,0.2
-0.35,2008-10-07,-36.3,20.0,X0,-62523.0,-62521.0,2009-01-06,expiry,61,False,3812500.0,0.2
-0.45,2008-10-27,-45.8,20.0,X0,-62527.0,-62524.0,2009-01-26,expiry,60,False,3750000.0,0.2
-0.25,2020-03-12,-26.7,20.0,X0,112667.0,95585.0,2020-06-11,expiry,62,True,3875000.0,0.2
-0.25,2022-09-30,-25.2,20.0,X0,14536.0,7448.0,2022-12-30,expiry,62,False,3875000.0,0.2
