entry_date,exit_date,exit_pnl,exit_reason,entry_credit,contracts,pnl_pct,hold_days,gate
2000-02-15,2000-03-07,1946.2857671696631,profit_target,-8.359515027919372,3.5811,65.01432760334252,14,hv_bearish_vix_rising
2000-03-13,2000-03-23,-7442.6166011385685,stop_loss,-8.175113409260888,3.6317,-250.68127515078237,8,hv_bearish_vix_rising
2008-06-09,2008-06-23,1946.1618765448857,profit_target,-8.28780105855563,3.5768,65.65155035425721,10,hv_bearish_vix_rising
2008-06-24,2008-07-09,2026.465444823983,profit_target,-7.711730112616067,3.8682,67.93263489131047,10,hv_bearish_vix_rising
2008-09-05,2008-10-03,1924.6617526534787,profit_target,-7.40652817928833,3.9929,65.08056322954799,20,hv_bearish_vix_rising
2010-02-01,2010-03-08,582.7011954711116,roll_21dte,-6.2801045966203475,4.6959,19.75878301906466,24,hv_bearish_vix_rising
2022-08-31,2022-09-21,1927.4136494521656,profit_target,-26.190198864655144,1.1122,66.16879768542191,14,hv_bearish_vix_rising
2003-09-25,2003-10-21,3354.3082501170225,profit_target,-9.152564385374006,5.8582,62.55989097425182,18,hv_neutral_vix_rising
2003-09-26,2003-10-22,3429.744059995253,profit_target,-8.932977194073104,5.9885,64.1131970002041,18,hv_neutral_vix_rising
2008-09-08,2008-10-07,-12427.227502270927,stop_loss,-11.769597931590823,4.7479,-222.3878513059153,21,hv_neutral_vix_rising
2010-05-04,2010-06-08,-4749.495720503921,roll_21dte,-11.505745497636397,4.7197,-87.46178629705366,24,hv_neutral_vix_rising
2010-11-30,2011-01-04,1897.585239413541,roll_21dte,-11.424463920665204,4.8192,34.46597056951265,24,hv_neutral_vix_rising
2021-02-26,2021-03-12,3205.6217139009545,profit_target,-43.474827336959606,1.1964,61.63082779546936,10,hv_neutral_vix_rising
2021-07-19,2021-08-06,3344.784095516335,profit_target,-38.94131295973989,1.4184,60.55622258201316,14,hv_neutral_vix_rising
2010-04-30,2010-05-20,-10576.511056247517,stop_loss,-6.570437297912477,6.2819,-256.246023070784,14,hv_bullish_vix_rising
2011-10-21,2011-10-27,3145.3553562753586,roll_up,-9.879421288784386,4.4567,71.43726384081582,4,hv_bullish_vix_rising
2011-10-27,2011-11-16,-3310.313882477621,roll_21dte,-8.258238218445541,5.1544,-77.76848714176326,14,hv_bullish_vix_rising
2011-11-16,2011-12-05,3023.1517207836428,profit_target,-10.539069571690064,4.2458,67.56132203325652,12,hv_bullish_vix_rising
2020-09-03,2020-09-24,-1848.848698046973,roll_21dte,-30.25454597682392,1.4815,-41.24858699488635,14,hv_bullish_vix_rising
2021-11-26,2021-12-10,3915.588676700443,profit_target,-32.94499635200549,1.312,90.58864530020911,10,hv_bullish_vix_rising
2025-05-23,2025-06-06,3712.3567173791507,roll_up,-31.948677251905792,1.3039,89.11535328798564,9,hv_bullish_vix_rising
2026-06-10,2026-06-16,3548.276351290786,roll_up,-40.57795803302599,1.0273,85.11967563277648,4,hv_bullish_vix_rising
2004-05-10,2004-06-09,3626.3115650770806,profit_target,-8.723593756588315,6.7615,61.47897662697402,21,nhbe_vix_rising
2006-05-17,2006-06-21,3560.7997843274147,roll_21dte,-8.382477558502998,7.3487,57.804897743184256,24,nhbe_vix_rising
2007-02-27,2007-03-19,4067.3433272061557,profit_target,-10.510848550303919,5.6978,67.91502325388807,14,nhbe_vix_rising
2014-01-24,2014-02-12,3852.7998570236464,profit_target,-13.31448778211319,4.5285,63.899522608662366,13,nhbe_vix_rising
2014-07-31,2014-08-14,4232.396669341524,profit_target,-13.366296012124678,4.6264,68.4434842121469,10,nhbe_vix_rising
2015-03-10,2015-04-02,3694.7085020131944,profit_target,-13.993699180407077,4.3264,61.02685317132918,17,nhbe_vix_rising
2016-11-07,2016-11-21,3826.637016467378,profit_target,-16.04624930644789,3.6913,64.60474106143327,10,nhbe_vix_rising
2017-05-17,2017-06-01,3711.743430289183,profit_target,-14.95906204481048,4.0149,61.80147669950955,10,nhbe_vix_rising
2017-08-10,2017-08-24,3938.750135109791,profit_target,-15.50390810776338,3.8464,66.04847573934477,10,nhbe_vix_rising
2019-08-06,2019-08-21,3721.1593908464124,profit_target,-23.65952351173823,2.5185,62.44969529302977,11,nhbe_vix_rising
2019-10-02,2019-10-16,3815.794437733018,profit_target,-23.94725600713656,2.4711,64.48205844086013,10,nhbe_vix_rising
2025-03-05,2025-03-24,3603.582972888598,profit_target,-52.11375883607673,1.1313,61.122954727675506,13,nhbe_vix_rising
2025-03-26,2025-04-30,-18.745619745018097,roll_21dte,-42.18644673524312,1.4257,-0.31167265903451935,24,nhbe_vix_rising
2026-02-05,2026-03-12,1216.3287334987926,roll_21dte,-60.20547166072038,0.9707,20.81277424820204,24,nhbe_vix_rising
2010-11-01,2010-11-12,2995.528005519937,roll_21dte,-10.455074624553049,6.9135,41.44272271128585,9,nnb_vix_rising
2010-11-17,2010-12-01,3761.334996949593,roll_21dte,-10.346037787587477,6.8904,52.762275875173344,9,nnb_vix_rising
2011-02-22,2011-03-07,511.6052990365031,roll_21dte,-11.09317922330655,6.4457,7.154988105085342,9,nnb_vix_rising
2016-04-08,2016-04-21,4693.630530519202,roll_21dte,-12.505174482130599,5.5563,67.55126060018736,9,nnb_vix_rising
2016-04-29,2016-05-12,1450.4349604319768,roll_21dte,-13.095430537988932,5.2442,21.120258612657434,9,nnb_vix_rising
2019-03-27,2019-04-09,4905.66756057111,roll_21dte,-17.117718317763888,4.0263,71.17805357697819,9,nnb_vix_rising
2019-09-25,2019-10-08,-6383.213218939157,roll_21dte,-19.113529738615057,3.6357,-91.85661022362413,9,nnb_vix_rising
