strategy_key,entry_date,exit_date,exit_reason,pnl,hold_dte,bp_used
StrategyName.BULL_CALL_DIAGONAL,2007-01-03,2007-02-07,roll_21dte,5951.79920191109,24,22000.0
StrategyName.BULL_CALL_DIAGONAL,2007-02-07,2007-02-27,trend_flip,-2909.447704141002,13,22000.0
StrategyName.IRON_CONDOR,2007-02-27,2007-03-09,profit_target,3665.38145039872,8,22500.0
StrategyName.IRON_CONDOR,2007-03-13,2007-04-17,roll_21dte,1041.8909846219458,24,22500.0
StrategyName.BULL_CALL_DIAGONAL,2007-04-17,2007-05-21,roll_21dte,8714.389679792794,24,22000.0
StrategyName.BULL_CALL_DIAGONAL,2007-05-21,2007-06-25,roll_21dte,-2492.116101258164,24,22000.0
StrategyName.IRON_CONDOR,2007-06-07,2007-07-11,profit_target,3735.9011754297535,23,22500.0
StrategyName.IRON_CONDOR,2007-07-11,2007-08-14,roll_21dte,-5355.353312468575,24,22500.0
StrategyName.IRON_CONDOR_HV,2007-08-20,2007-09-18,profit_target,1444.2114615182863,20,21000.0
StrategyName.IRON_CONDOR_HV,2007-08-21,2007-09-20,profit_target,1380.835892603369,21,21000.0
StrategyName.IRON_CONDOR,2007-10-22,2007-11-26,roll_21dte,-2637.0569038190483,24,22500.0
StrategyName.IRON_CONDOR_HV,2007-11-02,2007-12-06,profit_target,3854.6970533086096,23,21000.0
StrategyName.IRON_CONDOR_HV,2007-11-13,2007-12-06,profit_target,1480.8635688601153,16,21000.0
StrategyName.IRON_CONDOR_HV,2007-12-11,2007-12-26,profit_target,3213.8619195515607,10,21000.0
StrategyName.IRON_CONDOR,2007-12-06,2008-01-11,roll_21dte,-2704.207902490598,24,22500.0
StrategyName.IRON_CONDOR_HV,2007-12-12,2008-01-17,roll_21dte,-6052.254175144101,24,21000.0
StrategyName.IRON_CONDOR_HV,2007-12-31,2008-02-05,roll_21dte,-4503.264349946921,24,21000.0
StrategyName.IRON_CONDOR_HV,2008-01-24,2008-02-14,profit_target,1310.3828918546583,15,21000.0
StrategyName.BEAR_CALL_SPREAD_HV,2008-02-27,2008-03-07,profit_target,1834.3003370874687,7,21000.0
StrategyName.IRON_CONDOR_HV,2008-03-11,2008-04-08,profit_target,1476.5102591077928,19,21000.0
StrategyName.IRON_CONDOR_HV,2008-03-18,2008-04-09,profit_target,1346.5250909317892,15,21000.0
StrategyName.BULL_PUT_SPREAD,2008-04-10,2008-04-23,roll_21dte,3330.6076738807415,9,22500.0
StrategyName.IRON_CONDOR_HV,2008-04-11,2008-05-13,profit_target,3302.683013034267,22,21000.0
StrategyName.BEAR_CALL_SPREAD_HV,2008-04-14,2008-05-16,roll_21dte,-1104.4499003221881,24,21000.0
StrategyName.BULL_CALL_DIAGONAL,2008-05-13,2008-06-06,trend_flip,-2644.5006893771497,17,22000.0
StrategyName.BEAR_CALL_SPREAD_HV,2008-06-18,2008-06-27,profit_target,1892.940802810922,7,21000.0
StrategyName.IRON_CONDOR,2008-06-04,2008-07-09,roll_21dte,-6518.943655140697,24,22500.0
StrategyName.IRON_CONDOR_HV,2008-07-16,2008-08-06,profit_target,1352.6857697082582,15,21000.0
StrategyName.BEAR_CALL_SPREAD_HV,2008-07-21,2008-08-21,profit_target,1838.0997225505753,23,21000.0
StrategyName.IRON_CONDOR,2008-09-02,2008-10-06,roll_21dte,-11125.947845903474,24,22500.0
StrategyName.IRON_CONDOR_HV,2009-04-17,2009-05-18,profit_target,3101.4412450508858,21,21000.0
StrategyName.BULL_PUT_SPREAD_HV,2009-05-04,2009-05-22,roll_21dte,663.4351336764314,14,21000.0
StrategyName.BULL_PUT_SPREAD_HV,2009-05-22,2009-06-01,profit_target,3278.760061492735,5,21000.0
StrategyName.BULL_PUT_SPREAD_HV,2009-06-01,2009-06-19,roll_21dte,464.8605546994618,14,21000.0
StrategyName.BULL_PUT_SPREAD_HV,2009-10-21,2009-11-10,roll_21dte,1954.7039765000002,14,21000.0
StrategyName.BULL_PUT_SPREAD_HV,2009-11-10,2009-11-25,profit_target,2594.226378509737,11,21000.0
StrategyName.BULL_PUT_SPREAD_HV,2009-11-27,2009-12-14,profit_target,3004.6368226594586,11,21000.0
StrategyName.BULL_PUT_SPREAD_HV,2009-12-17,2009-12-24,profit_target,2812.6743508414297,5,21000.0
StrategyName.BULL_CALL_DIAGONAL,2010-01-11,2010-01-22,trend_flip,-3191.117274742697,8,22000.0
StrategyName.IRON_CONDOR_HV,2010-01-21,2010-02-19,profit_target,3467.528323471822,20,21000.0
StrategyName.BEAR_CALL_SPREAD_HV,2010-02-16,2010-03-22,roll_21dte,-1157.1090601235176,24,21000.0
StrategyName.BULL_CALL_DIAGONAL,2010-03-05,2010-04-09,roll_21dte,8807.208764772178,24,22000.0
StrategyName.BULL_CALL_DIAGONAL,2010-04-09,2010-05-06,trend_flip,-959.8475129975012,19,22000.0
StrategyName.IRON_CONDOR_HV,2010-05-10,2010-06-14,roll_21dte,1012.5685129675769,24,21000.0
StrategyName.IRON_CONDOR_HV,2010-05-11,2010-06-15,profit_target,1565.04506152851,24,21000.0
StrategyName.BEAR_CALL_SPREAD_HV,2010-06-17,2010-07-01,profit_target,1869.2238034159723,10,21000.0
StrategyName.IRON_CONDOR_HV,2010-06-14,2010-07-08,profit_target,1458.1491903980645,17,21000.0
StrategyName.IRON_CONDOR_HV,2010-06-15,2010-07-13,profit_target,1445.8224348739725,19,21000.0
StrategyName.IRON_CONDOR_HV,2010-07-08,2010-08-10,profit_target,1359.4354740328063,23,21000.0
StrategyName.BULL_PUT_SPREAD_HV,2010-08-09,2010-08-27,roll_21dte,-5392.194185006093,14,21000.0
StrategyName.IRON_CONDOR_HV,2010-08-11,2010-09-03,profit_target,3578.764344335131,17,21000.0
StrategyName.IRON_CONDOR_HV,2010-08-10,2010-09-13,profit_target,3669.4087483249355,23,21000.0
StrategyName.BEAR_CALL_SPREAD_HV,2010-08-27,2010-10-01,roll_21dte,-2680.0115877037097,24,21000.0
StrategyName.IRON_CONDOR_HV,2010-09-07,2010-10-11,roll_21dte,2309.468818040631,24,21000.0
StrategyName.IRON_CONDOR_HV,2010-09-21,2010-10-21,profit_target,3496.803486187903,22,21000.0
StrategyName.BULL_PUT_SPREAD,2010-11-29,2010-12-06,profit_target,4878.554189767582,5,22500.0
StrategyName.BULL_CALL_DIAGONAL,2010-12-07,2011-01-11,roll_21dte,7541.674936093164,24,22000.0
StrategyName.BULL_CALL_DIAGONAL,2011-01-11,2011-02-15,roll_21dte,7941.730497042601,24,22000.0
StrategyName.BULL_CALL_DIAGONAL,2011-02-15,2011-03-15,trend_flip,-2417.159080521306,19,22000.0
StrategyName.BULL_PUT_SPREAD,2011-03-07,2011-03-18,roll_21dte,-3573.5473038674554,9,22500.0
StrategyName.IRON_CONDOR_HV,2011-03-17,2011-03-24,profit_target,1492.9976336206212,5,21000.0
StrategyName.IRON_CONDOR_HV,2011-03-18,2011-04-04,profit_target,1319.9635021701104,11,21000.0
StrategyName.BULL_CALL_DIAGONAL,2011-03-30,2011-04-18,trend_flip,-3348.882825841225,13,22000.0
StrategyName.BULL_CALL_DIAGONAL,2011-04-20,2011-05-24,trend_flip,-921.6475382837292,23,22000.0
StrategyName.BULL_CALL_DIAGONAL,2011-05-31,2011-06-03,trend_flip,-4831.780767855478,3,22000.0
StrategyName.IRON_CONDOR,2011-06-06,2011-07-11,roll_21dte,3203.083916722974,24,22500.0
StrategyName.BULL_CALL_DIAGONAL,2011-07-01,2011-07-29,trend_flip,-1793.5678506387787,19,22000.0
StrategyName.IRON_CONDOR,2011-07-11,2011-08-10,stop_loss,-12043.688912088439,22,22500.0
StrategyName.IRON_CONDOR_HV,2011-08-15,2011-09-15,profit_target,1386.7307521216662,22,21000.0
StrategyName.IRON_CONDOR_HV,2011-08-16,2011-09-15,profit_target,1396.216315182961,21,21000.0
StrategyName.IRON_CONDOR_HV,2011-09-15,2011-10-12,profit_target,1297.0081188199515,19,21000.0
StrategyName.IRON_CONDOR_HV,2011-09-16,2011-10-13,profit_target,1295.5855848245217,19,21000.0
StrategyName.BULL_PUT_SPREAD_HV,2011-10-11,2011-10-21,roll_up,2615.251328797835,8,21000.0
StrategyName.BULL_PUT_SPREAD_HV,2011-10-24,2011-11-11,roll_21dte,1754.1696728085474,14,21000.0
StrategyName.BULL_PUT_SPREAD_HV,2011-11-11,2011-12-02,roll_21dte,1102.8671591956193,14,21000.0
StrategyName.IRON_CONDOR_HV,2011-11-17,2011-12-09,profit_target,3577.4473477163347,15,21000.0
StrategyName.IRON_CONDOR_HV,2011-11-18,2011-12-09,profit_target,1322.6565791545313,14,21000.0
StrategyName.BULL_PUT_SPREAD_HV,2011-12-08,2011-12-20,profit_target,2684.2800898019586,8,21000.0
StrategyName.IRON_CONDOR_HV,2011-12-09,2011-12-23,profit_target,3374.0556221696693,10,21000.0
